Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2012-12-31,7065.8,2742.42,136.25,193.82,2214.62,6639.27,940.64,1320.52,3452.48,368.73,0.0,3083.75,833.51,2250.24,2250.24,1153.36,65961.38,0.01,19.53,0.0,19.51,19.42,9763.39,2181.53,3.31,0.76,1.8,115.33,100.0
2013-03-31,6970.69,2820.4,134.29,439.95,2208.19,6562.11,999.74,1407.55,3604.12,460.02,0.0,3144.1,840.03,2304.07,2304.07,1153.64,65547.84,0.01,0.0,18.74,19.98,19.87,9607.75,2230.56,3.22,0.77,1.82,115.36,100.0
2013-06-30,7195.64,2884.63,57.71,282.7,2484.29,6600.21,1089.43,1401.17,3814.16,593.18,0.0,3220.98,946.77,2274.21,2274.21,1154.11,68920.31,0.01,0.0,18.35,19.71,19.61,10009.41,2462.76,3.23,0.82,1.75,115.41,100.0
2013-09-30,7736.87,2839.08,47.03,190.29,2166.48,6769.76,871.55,1450.56,3887.88,624.8,0.0,3263.08,911.03,2352.05,2352.05,1154.45,71943.42,0.03,0.0,17.63,20.38,20.33,10028.45,2697.63,3.08,0.85,1.72,115.44,100.0
2013-12-31,8223.83,2922.17,33.62,275.33,2801.01,7199.89,996.87,1620.16,4439.04,694.64,0.0,3744.4,1212.19,2532.21,2532.21,1154.59,72895.97,0.03,0.0,17.81,21.93,21.85,10399.13,3118.44,3.05,0.94,1.76,115.45,100.0
2014-03-31,8271.59,2911.17,61.62,244.87,2976.09,7132.73,1262.26,1616.86,4453.49,713.78,0.0,3739.71,1087.7,2652.01,2652.01,1155.04,72051.71,0.03,0.0,19.08,22.97,22.87,10505.84,3297.96,3.03,0.97,1.86,115.48,100.0
2014-06-30,8392.18,2977.19,49.27,348.26,2849.81,7275.01,1246.86,1578.12,4516.72,726.08,0.0,3790.64,1135.34,2655.3,2655.3,1156.22,74735.47,0.04,0.0,0.0,22.98,22.8,10843.3,3428.52,3.05,0.99,1.83,115.6,100.0
2014-09-30,8874.04,2972.19,53.77,250.56,2738.39,7493.92,1086.39,1610.73,4697.91,849.49,0.0,3848.42,1139.41,2709.01,2709.01,1157.46,77712.85,0.05,0.0,0.0,23.42,23.21,11546.7,3942.33,3.12,1.09,1.82,115.73,100.0
2014-12-31,9031.82,3011.99,53.13,338.27,3091.67,7623.55,1117.83,1748.51,5036.99,979.69,0.0,4057.3,1168.26,2889.04,2889.04,1158.51,80654.85,0.06,0.0,0.0,4.99,4.94,13082.62,4773.1,3.4,1.27,1.9,579.15,100.0
2015-03-31,9333.04,2983.2,38.93,383.3,3496.26,7659.05,1298.8,1808.59,5468.29,1344.73,0.0,4123.56,1201.56,2922.0,2922.0,1159.66,79262.26,0.06,0.0,0.0,5.04,4.99,15094.69,6255.53,3.78,1.61,1.92,579.72,100.0
