Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,1151.82,1151.82,0.0,53938.82,53938.82,0.29,55090.94,225602.11,109554.28,15986.35,406233.67,20906.97,13183.11,134685.96,216365.9,4744.26,16347.47,406233.67,2529.0,56969.0,19.54,13.17,6.37,10034.26,0.0,2407.36,1.11,1.0,8530.03,931651.64,0.0,0.0,0.0,0.0,0.0
2012-03-31,1152.77,1152.77,0.0,59250.09,59250.09,2.39,60405.24,255499.96,140164.91,17576.98,473647.09,20461.29,15768.02,159560.04,253727.66,4614.69,19515.39,473647.09,2752.0,58276.0,18.52,12.68,5.84,9475.33,0.0,1860.84,0.73,1.0,7572.06,923037.16,0.0,0.0,0.0,0.0,0.0
2013-03-31,1153.64,1153.64,0.0,65547.84,65547.84,4.48,66705.96,292613.63,145341.49,32133.6,536794.68,19052.73,22364.79,171393.6,290249.44,4647.06,29087.07,536794.68,3100.0,62065.0,18.74,12.8,5.94,9607.75,0.0,2230.56,0.77,1.0,12394.53,802383.84,0.0,0.0,0.0,0.0,0.0
2014-03-31,1155.04,1155.04,0.0,72051.71,72051.71,6.57,73213.33,331913.66,154759.05,34755.55,594641.58,21821.83,19707.77,177021.82,338702.65,4678.14,32709.39,594641.58,3753.0,72226.0,17.7,12.78,4.92,10505.84,0.0,3297.96,0.97,1.0,13534.91,794965.35,0.0,0.0,0.0,0.0,0.0
2015-03-31,1159.66,1159.66,0.0,79262.26,79262.26,7.44,80429.36,361562.73,172417.35,31719.86,646129.29,25652.91,16651.71,186580.03,387522.07,4725.52,24997.05,646129.29,4050.0,66327.0,17.02,12.78,4.24,15094.69,4.0,6255.53,1.61,2.0,16212.97,868190.58,0.0,0.0,0.0,0.0,0.0
2016-03-31,1163.17,1163.17,2817.47,85748.24,88565.72,6.7,89735.58,421425.71,174807.38,34726.44,720695.1,27106.09,32762.65,160411.8,435263.94,7576.92,57573.7,720695.1,4450.0,72175.0,16.64,13.09,3.55,26221.25,6.0,12963.08,2.98,3.0,68932.74,922453.51,0.0,0.0,0.0,0.0,0.0
2017-03-31,1165.11,1165.11,3042.14,95737.57,98779.71,6.26,99951.07,490039.06,147556.15,34245.16,771791.45,31702.41,44010.66,161506.55,464232.08,7805.21,62534.55,771791.45,4850.0,81129.0,17.0,14.0,3.0,42159.38,9.0,25216.81,5.0,5.0,22623.19,1030993.71,0.0,0.0,0.0,0.0,0.0
2018-03-31,1285.81,1285.81,3003.19,100864.37,103867.56,5.57,105158.94,560975.21,182858.62,30196.4,879189.16,33102.38,51067.0,202994.18,512395.29,7903.51,71726.8,879189.16,4867.0,81548.0,18.0,16.0,3.0,53240.18,10.0,27823.56,5.0,5.0,28588.36,1289244.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1289.46,1289.46,3044.51,104029.4,107073.91,4.68,108368.04,652919.67,165319.97,37851.46,964459.15,37858.01,42438.27,207732.68,586646.58,7931.43,81852.17,964459.15,4874.0,86763.0,16.89,15.09,1.8,45676.04,7.0,13449.72,2.29,2.0,49391.99,1922038.29,0.0,0.0,0.0,0.0,0.0
2020-03-31,1294.76,1294.76,3114.87,112091.29,115206.16,3.49,116504.41,770968.99,162896.76,47994.99,1098365.15,35283.96,83871.78,249531.48,645289.97,8410.29,75977.67,1098365.15,5324.0,99319.0,16.11,14.72,1.39,40829.09,6.0,9923.24,1.54,2.0,48216.24,2523825.8,0.0,0.0,0.0,0.0,0.0
