Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1353.92,5.26,1359.18,142.73,11.53,12.2,0.0,88.49,1104.23,6.08,1110.31,708.08,402.23,402.23,132.16,270.07,270.07,371.71,7.27,7.27,7.39,19.88,29.78,100.0,80.12
2013-03-31,1401.12,5.08,1406.2,146.98,11.96,24.27,46.39,92.61,1083.99,5.34,1089.34,742.47,346.87,346.87,126.82,220.04,220.04,371.71,5.92,5.92,7.39,19.88,29.78,100.0,80.12
2013-06-30,1276.98,6.95,1283.93,140.85,10.69,17.02,8.48,85.75,1021.15,1.87,1023.02,729.59,293.44,293.44,99.55,193.89,193.89,371.71,5.22,5.22,7.39,19.88,29.78,100.0,80.12
2013-09-30,1287.58,7.93,1295.5,144.14,11.65,19.48,8.1,92.73,1019.4,6.3,1025.71,702.14,323.57,323.57,112.58,210.99,210.99,371.71,5.67,5.67,7.39,19.88,29.78,100.0,80.12
2013-12-31,1185.55,10.37,1195.93,148.98,12.38,0.0,9.07,104.37,921.13,4.82,925.95,627.73,298.22,298.22,103.97,194.25,194.25,371.71,5.23,5.23,7.39,19.88,29.78,100.0,80.12
2014-03-31,1143.3,9.22,1152.52,157.74,12.75,0.0,18.17,125.56,838.3,6.56,844.87,566.53,278.33,278.33,97.39,180.94,180.94,371.71,4.87,4.87,7.39,19.88,29.78,100.0,80.12
2014-06-30,1076.18,11.38,1087.56,152.33,20.33,15.31,7.98,87.62,803.98,4.46,808.44,535.44,273.0,273.0,92.82,180.18,180.18,397.06,4.63,4.6,9.93,25.0,29.78,100.0,75.0
2014-09-30,1046.81,11.48,1058.29,157.63,21.15,14.42,4.05,95.88,765.16,3.24,768.4,508.44,259.95,259.95,89.24,170.71,170.71,397.06,4.3,4.25,9.93,25.0,29.78,100.0,75.0
2014-12-31,1052.24,15.37,1067.61,162.69,21.68,19.71,3.5,94.79,765.24,1.64,766.88,529.23,237.65,237.65,83.21,154.44,154.44,397.06,3.88,3.85,9.93,25.0,29.78,100.0,75.0
2015-03-31,1087.04,13.31,1100.35,157.77,20.97,15.63,21.61,95.37,789.0,1.5,790.49,533.24,257.25,257.25,92.07,165.19,165.19,397.97,4.16,4.1,10.02,25.17,29.78,100.0,74.83
2015-06-30,1125.58,14.48,1140.06,160.7,14.01,16.83,10.56,90.05,847.92,2.56,850.48,567.0,283.48,283.48,100.32,183.16,183.16,398.0,4.6,4.56,10.02,25.18,29.78,100.0,74.82
2015-09-30,1122.57,13.56,1136.13,162.27,14.3,17.94,14.57,97.27,829.79,3.82,833.61,565.22,268.39,268.39,93.89,174.5,174.5,398.04,4.39,4.34,10.02,25.18,29.78,100.0,74.82
2015-12-31,1123.47,14.8,1138.27,158.2,14.56,12.9,7.42,96.68,848.52,2.89,851.41,561.58,289.83,289.83,103.16,186.67,186.67,398.04,4.69,4.65,0.0,0.0,0.0,0.0,0.0
2016-03-31,1429.06,17.89,1446.95,160.71,14.65,14.95,129.89,92.13,1034.61,4.34,1038.95,563.9,475.05,475.05,209.83,265.22,265.22,399.0,6.67,6.56,0.0,0.0,0.0,0.0,0.0
2016-06-30,1271.22,25.18,1296.39,184.89,11.69,11.8,17.55,94.09,976.37,4.42,980.8,557.08,423.71,423.71,153.44,270.27,270.27,399.05,6.77,6.71,0.0,0.0,0.0,0.0,0.0
2016-09-30,1349.72,32.03,1381.75,189.6,11.07,13.38,17.14,98.94,1051.62,4.49,1056.11,593.74,462.38,462.38,165.66,296.72,296.72,399.05,7.44,7.38,0.0,0.0,0.0,0.0,0.0
2016-12-31,1322.45,18.4,1340.85,173.4,12.17,11.55,3.88,102.84,1037.0,5.57,1042.57,596.98,445.6,445.6,154.54,291.06,291.06,399.46,7.29,7.23,0.0,0.0,0.0,0.0,0.0
2017-03-31,1696.16,13.47,1709.63,180.16,13.32,16.45,0.0,367.99,1131.72,3.59,1135.31,546.02,589.29,589.29,267.51,321.78,321.78,399.48,8.06,8.03,0.0,0.0,0.0,0.0,0.0
2017-06-30,1392.26,0.0,1392.26,177.29,10.43,0.0,6.64,119.81,1078.09,6.32,1084.41,532.6,551.82,551.82,200.75,351.07,351.07,399.54,8.79,8.76,0.0,0.0,0.0,0.0,0.0
2017-09-30,1664.89,0.0,1664.89,194.19,10.58,0.0,116.96,106.62,1236.55,5.04,1241.58,488.94,752.65,752.65,298.49,454.16,454.16,399.57,11.36,11.27,0.0,0.0,0.0,0.0,0.0
2017-12-31,1553.71,0.0,1553.71,184.77,11.5,0.0,56.41,124.96,1176.07,12.96,1189.02,468.85,720.17,720.17,256.52,463.65,463.65,399.91,11.61,11.56,0.0,0.0,0.0,0.0,0.0
2018-03-31,1550.97,0.0,1550.97,209.5,11.35,0.0,59.64,145.55,1124.92,57.06,1181.98,449.55,732.43,732.43,281.05,451.39,451.39,400.04,11.28,11.26,0.0,0.0,0.0,0.0,0.0
2018-06-30,1622.88,0.0,1622.88,216.87,9.11,0.0,2.65,147.8,1246.45,10.11,1256.56,501.56,755.0,755.0,263.44,491.56,491.56,400.09,12.29,12.24,0.0,0.0,0.0,0.0,0.0
2018-09-30,1649.63,0.0,1649.63,208.56,10.02,0.0,2.54,148.36,1280.15,0.48,1280.64,535.35,745.29,745.29,261.45,483.83,483.83,400.21,12.09,12.07,0.0,0.0,0.0,0.0,0.0
2018-12-31,1716.52,0.0,1716.52,198.03,11.01,0.0,1.91,134.96,1370.61,0.59,1371.2,588.88,782.32,782.32,297.07,485.25,485.25,400.58,12.12,12.12,0.0,0.0,0.0,0.0,0.0
2019-03-31,1879.72,0.0,1879.72,274.09,11.94,0.0,20.45,168.66,1404.57,0.69,1405.26,611.05,794.21,794.21,282.71,511.5,511.5,400.66,12.77,12.75,0.0,0.0,0.0,0.0,0.0
2019-06-30,1856.82,0.0,1856.82,229.49,9.59,0.0,3.3,158.09,1456.36,1.87,1458.23,641.61,816.62,816.62,286.59,530.03,530.03,400.7,13.23,13.23,0.0,0.0,0.0,0.0,0.0
