Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1672.83,0.66,1673.49,89.89,4.44,213.79,116.04,1249.33,4.65,1253.98,741.76,512.22,0.0,512.22,166.23,345.99,345.99,226.88,15.25,15.25,16.84,74.21,5.85,100.0,25.79
2013-03-31,1774.43,0.77,1775.2,97.67,5.47,221.35,108.4,1342.31,1.78,1344.09,817.54,526.55,0.0,526.55,171.33,355.22,355.22,226.89,15.66,15.66,16.84,74.21,5.85,100.0,25.79
2013-06-30,1864.42,0.82,1865.24,123.85,5.83,251.44,126.14,1357.98,1.25,1359.23,874.72,484.51,0.0,484.51,143.47,341.04,341.04,226.89,15.03,15.03,16.84,74.21,5.85,100.0,25.79
2013-09-30,1950.48,0.65,1951.13,85.52,7.07,265.54,134.2,1458.8,4.23,1463.03,990.49,472.54,0.0,472.54,145.71,326.83,326.83,226.91,14.41,14.41,16.81,74.08,5.88,100.0,25.92
2013-12-31,2032.33,0.0,2032.33,94.86,8.0,302.15,148.85,1478.47,1.21,1479.68,1052.93,426.75,0.0,426.75,125.37,301.38,301.38,226.91,13.28,13.28,16.81,74.08,5.88,100.0,25.92
2014-03-31,2004.86,0.51,2005.37,102.32,8.24,303.64,140.56,1450.61,1.47,1452.08,1007.84,444.24,0.0,444.24,149.28,294.96,294.96,226.91,13.0,13.0,16.78,73.95,5.91,100.0,26.05
2014-06-30,2015.87,0.0,2015.87,101.23,10.37,323.8,154.28,1426.19,1.32,1427.51,984.32,443.19,0.0,443.19,136.77,306.42,306.42,226.91,13.51,13.51,16.78,73.95,5.91,100.0,26.05
2014-09-30,2107.61,0.12,2107.73,106.6,10.64,302.88,150.22,1537.39,2.28,1539.67,1089.05,450.62,0.0,450.62,148.41,302.21,302.21,226.91,13.32,13.32,16.78,73.95,5.91,100.0,26.05
2014-12-31,2202.64,0.02,2202.66,106.93,10.0,323.85,161.71,1600.17,2.54,1602.71,1132.31,470.4,0.0,470.4,157.95,312.45,312.45,226.91,13.77,13.77,16.78,73.95,5.91,100.0,26.05
2015-03-31,2310.69,0.0,2310.69,114.83,9.5,338.62,186.9,1660.84,1.64,1662.48,1184.3,478.18,0.0,478.18,161.45,316.73,316.73,226.91,13.96,13.96,16.78,73.95,5.91,100.0,26.05
2015-06-30,2351.76,0.0,2351.76,123.36,9.18,382.31,165.92,1670.99,1.58,1672.57,1193.56,479.01,0.0,479.01,157.9,321.11,321.11,226.91,14.15,14.15,16.78,73.95,5.91,100.0,26.05
2015-09-30,2422.64,0.0,2422.64,131.1,9.16,399.65,169.41,1713.32,2.93,1716.25,1202.01,514.24,0.0,514.24,176.14,338.1,338.1,226.91,14.9,14.9,16.78,73.95,5.91,100.0,26.05
2015-12-31,2547.22,0.0,2547.22,146.63,8.81,419.88,182.08,1789.82,1.1,1790.92,1219.96,570.96,0.0,570.96,195.89,375.07,375.07,226.91,16.54,16.54,0.0,0.0,0.0,0.0,0.0
