Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Deferred Tax Liabilities [Net],Capital Work-In-Progress,Inventories,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,41.9,67.21,50.6,50.6,0.0,117.81,887.13,0.0,0.0,926.73,28.18,0.0,135.1,218.54,1276.79,52.51,0.0,0.0,0.0,52.69,0.0,0.67,58.12,0.0,4.89,161.24,295.78,317.58,1218.68,1276.79,36.34,0.56,0.0,0.0,3.19,0.1,0.0,0.0,55.25,4.76,0.0,13.71,39.6,0.17,439.19,25.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,65.43,90.74,131.68,131.68,0.0,222.42,1450.19,0.0,0.0,1503.69,31.73,0.0,181.13,280.73,2007.87,48.91,0.0,0.0,0.0,49.12,0.0,0.44,53.64,0.0,1.95,216.84,1194.15,254.36,1954.23,2007.87,33.91,0.05,0.0,0.0,2.87,0.1,0.0,0.0,67.87,4.07,0.0,1.04,53.5,0.22,286.93,25.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,150.56,150.56,649.77,649.77,0.0,800.33,3847.58,0.0,0.0,3981.72,548.51,0.0,611.52,1398.86,6219.47,129.52,1.98,0.0,0.0,157.22,0.45,0.41,167.23,0.0,7.52,252.88,5126.25,392.46,6052.24,6219.47,75.94,0.05,0.0,0.0,9.35,0.49,0.0,0.0,238.84,9.15,0.0,38.57,134.14,25.73,273.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,184.18,184.18,882.23,882.23,0.0,1066.41,7356.95,0.0,0.0,7447.65,1381.48,30.14,740.57,2305.24,10839.3,125.62,1.98,0.0,0.0,167.47,4.08,0.14,396.25,0.0,3.49,1811.96,8353.47,217.48,10443.05,10839.3,101.29,0.03,0.0,0.0,214.48,9.84,0.0,0.0,153.04,224.57,0.0,20.0,90.7,39.87,56.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,203.16,203.16,1570.72,1570.72,0.0,1773.88,12311.73,0.0,0.0,12356.82,2474.62,70.86,1288.6,4104.38,18277.55,138.37,4.28,0.0,0.0,142.64,9.17,0.0,167.61,0.0,2.48,2743.53,15292.85,70.42,18109.94,18277.55,57.57,0.14,0.0,0.0,9.14,1378.45,0.0,0.0,270.28,15.8,0.0,42.48,45.09,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,203.54,203.54,2067.57,2067.57,0.0,2271.11,16426.0,0.0,0.0,16450.82,3695.31,209.01,1910.07,6247.09,25014.55,128.84,5.42,0.0,0.0,134.27,51.22,0.0,216.11,0.0,3.99,6409.04,18384.15,0.0,24798.45,25014.55,13.66,35.57,4.24,0.0,5.35,649.53,0.0,0.0,432.71,30.63,0.0,45.53,24.82,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,225.54,225.54,3609.22,3609.22,0.0,3834.76,17514.38,0.0,0.0,17521.91,945.53,232.89,3675.72,5619.67,26983.97,40.38,6.07,0.0,0.0,46.45,82.26,37.09,2021.81,0.0,0.0,4537.33,20424.83,0.0,24962.16,26983.97,8.85,0.07,0.0,0.0,40.61,1818.64,0.0,0.0,765.53,1856.02,0.0,7.62,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,226.18,226.18,4678.21,4678.21,0.0,4904.39,12461.03,2357.16,1006.43,15824.62,802.35,333.19,9578.64,10899.63,31628.64,35.95,0.44,0.0,0.0,36.39,153.69,80.55,14914.46,3254.23,0.0,3572.38,9820.69,66.88,16714.18,31628.64,2045.96,0.0,0.0,0.0,166.7,225.4,0.04,3254.2,185.46,391.43,14252.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,226.32,226.32,5765.99,5765.99,0.0,5992.31,14686.84,1836.86,1369.06,17892.75,3040.24,475.64,8105.41,11892.41,35777.48,36.25,1.46,0.0,0.0,37.71,216.68,103.67,16648.04,3394.17,0.0,5308.09,10347.05,80.12,19129.44,35777.48,2420.49,0.0,0.0,0.0,208.1,345.4,114.64,3278.85,271.12,560.27,15729.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,226.89,226.89,6967.85,6967.85,0.0,7194.74,19053.05,1297.64,1510.1,21860.79,4146.87,583.45,10761.94,15777.7,44833.23,58.27,1.79,0.0,0.0,60.05,283.83,170.15,20987.96,2976.6,0.0,6319.33,14472.18,77.16,23845.26,44833.23,2778.43,0.01,0.0,0.0,246.81,351.81,0.87,2975.75,285.45,592.32,19881.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
