Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-12-31,0.0,0.0,1.53,0.0,0.2,-1.73,0.01,-1.72,0.0,-1.72,-1.72,0.0,-1.72,-1.72,276.45,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2017-03-31,0.0,0.0,0.22,0.0,0.16,-0.38,0.18,-0.19,0.0,-0.19,-0.19,-0.05,-0.14,-0.14,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.47,0.0,0.11,-0.57,0.03,-0.54,0.0,-0.54,-0.54,0.0,-0.54,-0.54,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.28,0.0,0.21,-0.49,0.01,-0.48,0.0,-0.48,-0.48,0.0,-0.48,-0.48,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.33,0.0,0.12,-0.45,0.0,-0.45,0.0,-0.45,-0.45,0.0,-0.45,-0.45,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.32,0.0,0.11,-0.43,0.01,-0.42,0.0,-0.42,-0.42,0.0,-0.42,-0.42,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,0.0,0.0,0.32,0.0,0.1,-0.42,0.0,-0.41,0.0,-0.41,-0.41,0.0,-0.41,-0.41,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.3,0.0,0.21,-0.51,0.0,-0.51,0.0,-0.51,-0.51,0.0,-0.51,-0.51,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.09,0.0,0.12,-0.21,0.09,-0.12,0.0,-0.12,-0.12,0.0,-0.12,-0.12,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.04,0.0,0.12,-0.16,0.4,0.24,0.0,0.24,0.24,0.0,0.24,0.24,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,0.0,0.0,0.04,0.0,0.24,-0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,0.0,0.0,0.02,0.0,0.14,-0.15,0.51,0.36,0.97,-0.62,-0.62,0.0,-0.62,-0.62,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.02,0.0,0.17,-0.18,0.6,0.41,1.15,-0.74,-0.74,0.0,-0.74,-0.74,276.45,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.02,0.0,0.08,-0.1,0.18,0.08,-0.9,0.98,0.98,0.0,0.98,0.98,276.45,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.0,0.0,0.02,0.0,0.11,-0.12,0.21,0.09,0.0,0.09,0.09,0.01,0.08,0.08,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.0,0.0,0.02,0.0,0.13,-0.15,0.21,0.06,0.0,0.06,0.06,0.01,0.05,0.05,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.2,0.0,0.31,-0.51,0.63,0.12,0.0,0.12,0.12,0.02,0.1,0.1,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.1,0.1,0.76,0.0,0.27,-0.93,0.67,-0.26,0.0,-0.26,-0.26,-0.04,-0.22,-0.22,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,1.0,1.0,0.63,0.0,0.26,0.1,0.23,0.33,0.0,0.33,0.33,0.05,0.28,0.28,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.5,0.5,0.56,0.0,0.28,-0.33,0.03,-0.31,0.0,-0.31,-0.31,0.0,-0.31,-0.31,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.5,0.5,0.89,0.1,0.46,-0.95,0.03,-0.92,0.03,-0.95,-0.95,-0.05,-0.9,-0.9,276.45,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2022-03-31,0.6,0.6,0.83,0.53,1.02,-1.79,47.31,45.52,1.47,44.05,44.05,0.2,43.84,43.84,276.45,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2022-06-30,1.07,1.07,0.88,0.55,208.45,-208.81,0.17,-208.64,3.51,-212.15,-212.15,0.0,-212.15,-212.15,276.45,-1.53,-1.53,0.0,0.0,0.0,0.0,0.0
2022-09-30,1.01,1.01,0.85,0.55,0.78,-1.18,101.22,100.04,5.38,94.66,94.66,0.0,94.66,94.66,276.45,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,1.08,1.08,1.23,0.55,43.68,-44.38,0.64,-43.74,5.57,-49.31,-49.31,0.0,-49.31,-49.31,276.45,-0.36,-0.36,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.89,0.89,0.9,0.62,106.89,-107.52,1.23,-106.29,6.94,-113.23,-113.23,0.0,-113.23,-113.23,276.45,-0.82,-0.82,0.0,0.0,0.0,0.0,0.0
2023-06-30,1.33,1.33,1.45,0.94,5.45,-6.51,204.19,197.68,7.86,189.82,189.82,0.0,189.82,189.82,276.45,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2023-09-30,1.06,1.06,1.65,0.99,3.27,-4.85,220.86,216.01,8.45,207.56,207.56,0.0,207.56,207.56,276.45,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,2.03,2.03,4.29,0.99,0.39,-3.64,226.98,223.34,9.02,214.32,214.32,20.08,194.24,194.24,276.45,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,2.01,2.01,3.52,0.98,81.24,-83.73,3.8,-79.93,9.02,-88.95,-88.95,-8.21,-80.74,-80.74,276.45,-0.58,-0.58,0.0,0.0,0.0,0.0,0.0
2024-06-30,1024.74,1024.74,5.02,0.98,1.91,1016.83,3.86,1020.69,9.11,1011.58,1011.58,148.49,863.09,863.09,276.45,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2024-09-30,5.59,5.59,3.86,0.79,269.82,-268.87,0.03,-268.84,14.1,-282.94,-282.94,-38.26,-244.68,-244.68,276.45,-1.77,-1.77,0.0,0.0,0.0,0.0,0.0
2024-12-31,5.15,5.15,2.77,0.58,175.05,-173.26,0.12,-173.13,10.13,-183.26,-183.26,-25.04,-158.23,-158.23,276.45,-1.15,-1.15,0.0,0.0,0.0,0.0,0.0
