Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-06-30,0.0,0.0,1.14,0.0,0.04,-1.17,0.66,-0.52,0.0,-0.52,-0.52,0.01,-0.53,-0.53,254.59,0.0,0.0,86.04,67.59,41.26,100.0,32.41
2012-09-30,0.0,0.0,1.01,0.0,0.25,-1.26,0.64,-0.63,0.0,-0.63,-0.63,0.02,-0.65,-0.65,254.59,-0.01,-0.01,86.04,67.59,41.26,100.0,32.41
2012-12-31,0.0,0.0,1.05,0.0,0.09,-1.15,0.61,-0.54,0.0,-0.54,-0.54,-0.03,-0.51,-0.51,254.59,0.0,0.0,86.04,67.59,41.26,100.0,32.41
2013-03-31,0.0,0.0,0.94,0.0,0.12,-1.06,0.57,-0.49,0.0,-0.49,-0.49,-0.02,-0.47,-0.47,254.59,0.0,0.0,86.04,67.59,41.26,100.0,32.41
2013-06-30,0.0,0.0,0.96,0.0,0.08,-1.03,0.55,-0.48,0.0,-0.48,-0.48,0.02,-0.51,-0.51,254.59,0.0,0.0,86.04,67.59,41.26,100.0,32.41
2013-09-30,0.0,0.0,0.59,0.0,0.28,-0.87,0.64,-0.24,0.0,-0.24,-0.24,0.14,-0.38,-0.38,254.59,0.0,0.0,81.57,64.08,45.73,100.0,35.92
2014-03-31,0.0,0.0,0.0,0.0,0.08,-0.08,1.02,0.94,0.0,0.94,0.94,0.27,0.68,0.68,254.59,0.0,0.0,79.74,62.64,47.56,100.0,37.36
2014-06-30,0.0,0.0,0.0,0.0,0.13,-0.13,1.08,0.95,0.0,0.95,0.95,0.29,0.66,0.66,254.59,0.01,0.01,80.09,62.92,47.2,100.0,37.08
2014-09-30,0.0,0.0,0.0,0.0,0.17,-0.17,1.13,0.96,0.0,0.96,0.96,0.33,0.64,0.64,265.29,0.0,0.0,76.89,57.97,55.75,100.0,42.03
2014-12-31,0.0,0.0,1.0,0.0,0.43,-1.43,0.95,-0.48,0.0,-0.48,-0.48,-0.55,0.07,0.07,265.29,0.0,0.0,76.89,57.97,55.75,100.0,42.03
2015-03-31,0.0,0.0,1.47,0.0,0.32,-1.79,0.84,-0.96,0.0,-0.96,-0.96,-0.19,-0.77,-0.77,265.29,0.0,0.0,76.89,57.97,55.75,100.0,42.03
2015-06-30,0.0,0.0,1.25,0.0,0.18,-1.43,1.31,-0.12,0.0,-0.12,-0.12,0.0,-0.12,-0.12,276.45,0.0,0.0,74.45,53.86,63.78,100.0,46.14
2015-09-30,0.0,0.0,1.1,0.0,0.21,-1.31,1.7,0.39,0.0,0.39,0.39,0.04,0.35,0.35,276.45,0.0,0.0,73.24,52.98,64.99,100.0,47.02
2015-12-31,0.0,0.0,1.04,0.0,0.48,-1.52,1.79,0.26,0.0,0.26,0.26,-0.08,0.34,0.34,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.0,0.0,1.62,0.0,0.39,-2.01,2.0,-0.01,0.0,-0.01,-0.01,-0.05,0.05,0.05,276.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,0.0,0.0,1.53,0.0,0.1,-1.64,0.0,-1.64,0.0,-1.64,-1.64,0.0,-1.64,-1.64,276.45,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.0,1.52,0.0,0.11,-1.63,0.03,-1.61,0.0,-1.61,-1.61,0.0,-1.61,-1.61,276.45,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
