Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,7.12,7.12,45.85,45.85,0.0,52.96,37.18,7.06,0.0,0.0,44.24,0.0,82.98,14.27,1.2,98.46,195.66,61.13,0.0,0.16,0.0,0.0,61.29,21.6,1.68,0.0,0.03,84.6,0.0,46.5,43.62,7.25,13.69,0.01,111.06,195.66,2.31,0.2,0.67,0.01,5.25,0.0,21.6,0.0,0.0,0.0,4.33,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.12,7.12,51.9,51.9,0.0,59.02,31.98,5.18,0.0,0.0,37.16,0.0,0.0,121.9,3.95,125.86,222.04,65.13,0.0,0.8,0.0,0.0,65.93,33.5,0.0,0.0,0.02,99.45,0.0,54.97,50.48,8.29,8.85,0.01,122.59,222.04,5.41,0.0,0.0,0.0,5.25,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,7.12,7.12,55.48,55.48,0.0,62.6,133.48,5.06,0.0,0.0,138.53,0.0,0.0,130.3,4.83,135.14,336.27,75.54,0.0,14.64,0.0,0.0,90.18,51.59,0.0,0.0,0.0,141.77,0.0,69.88,63.98,26.74,33.89,0.01,194.51,336.27,91.97,0.0,0.0,0.0,5.25,0.0,51.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.12,10.12,74.11,74.11,0.0,84.23,171.11,4.91,0.0,0.0,176.02,0.0,0.0,149.71,1.73,151.44,411.69,107.71,0.0,5.02,0.0,0.0,112.73,52.41,0.0,0.0,0.0,165.13,0.0,117.96,58.78,9.23,60.58,0.01,246.56,411.69,78.38,2.35,1.39,0.0,5.25,0.0,52.41,0.0,0.0,0.0,8.88,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,12.12,12.12,208.91,208.91,0.0,221.03,171.26,4.31,0.0,0.0,175.56,0.0,0.0,182.23,3.91,186.14,582.74,95.33,0.0,2.48,0.0,0.0,97.81,127.55,0.0,0.0,0.0,225.36,0.0,80.56,72.38,26.73,176.77,0.93,357.37,582.74,84.97,1.61,0.82,0.0,5.25,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,12.12,12.12,256.24,256.24,0.0,268.36,232.65,12.4,0.0,0.0,245.05,0.0,0.0,147.16,4.08,151.24,664.65,67.14,0.0,4.15,0.0,0.0,71.3,166.37,0.0,0.0,0.0,237.67,0.0,119.86,86.86,31.19,189.06,0.01,426.98,664.65,26.79,0.76,1.52,0.0,5.25,0.0,166.37,0.0,0.0,0.0,33.13,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,12.12,12.12,275.11,275.11,0.0,287.23,98.09,10.2,0.0,0.0,108.29,0.0,0.0,261.94,5.88,267.82,663.34,75.43,0.0,7.61,0.0,0.0,83.04,194.97,0.0,0.0,0.0,278.01,0.0,133.5,93.53,9.24,149.06,0.01,385.34,663.34,63.45,0.15,0.73,0.0,5.25,0.0,194.97,0.0,0.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,12.12,12.12,201.82,201.82,0.0,213.94,4.67,20.63,0.6,1.84,27.74,140.22,435.29,101.7,0.56,677.76,919.43,157.38,34.99,109.45,0.74,0.0,302.55,127.53,0.0,43.5,2.11,475.68,0.0,193.63,120.75,18.16,99.18,12.04,443.75,919.43,131.84,0.13,2.86,1.25,0.0,0.0,127.53,0.0,0.0,0.0,45.56,1.59,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,13.22,13.22,405.71,405.71,0.0,418.94,105.03,39.35,0.78,1.66,146.83,370.51,181.82,101.3,7.02,660.65,1226.42,282.32,31.76,124.58,0.0,17.88,456.54,132.39,2.14,21.84,34.11,647.02,0.0,263.48,177.97,21.61,76.68,39.66,579.4,1226.42,103.56,0.0,0.0,0.0,5.25,0.0,112.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,13.22,13.22,473.33,473.33,0.0,486.55,164.98,46.78,8.2,1.72,221.67,455.29,229.39,143.88,10.24,838.8,1547.03,427.08,25.95,149.16,0.07,18.43,620.68,99.43,2.4,8.9,29.75,761.15,0.0,318.71,224.42,113.77,95.05,33.94,785.88,1547.03,135.84,0.0,0.0,0.0,5.25,0.0,112.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
