Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,1014.91,5.79,1020.7,716.11,69.93,-1.01,43.91,11.83,85.71,94.22,0.0,94.22,26.47,67.75,0.0,67.75,20.07,47.68,47.68,91.98,0.0,0.0,0.0
2016-09-30,1078.89,1.71,1080.6,747.08,73.49,15.28,42.08,12.1,85.74,104.83,0.0,104.83,20.38,84.45,0.0,84.45,24.93,59.52,59.52,91.98,0.0,3.56,3.43
2016-12-31,834.87,0.0,834.87,652.86,25.46,-10.6,40.72,12.13,59.62,54.68,35.22,89.9,14.21,75.69,0.0,75.69,20.22,55.47,55.47,91.98,0.0,2.94,2.77
2017-03-31,663.38,16.51,679.88,522.87,14.73,3.75,37.99,12.78,67.82,19.96,18.04,37.99,6.98,31.01,20.0,51.01,6.87,44.14,44.14,185.13,717.88,0.0,0.0
2017-06-30,970.11,3.84,973.95,695.27,45.94,-11.29,49.06,13.29,82.16,99.52,0.0,99.52,7.92,91.6,0.0,91.6,30.38,61.22,61.22,185.13,0.0,3.27,3.27
2017-09-30,1042.2,9.96,1052.16,674.16,74.86,30.34,51.29,13.23,89.45,118.83,0.0,118.83,10.67,108.16,0.0,108.16,32.85,75.31,75.31,185.32,0.0,4.03,4.03
2017-12-31,865.77,0.0,865.77,649.06,23.95,-4.33,48.43,13.39,80.71,54.56,5.6,60.16,7.98,52.18,0.0,52.18,17.76,34.42,34.42,192.03,0.0,1.76,1.76
2018-03-31,796.6,0.0,796.6,599.09,25.88,-6.13,46.38,13.39,91.51,26.48,8.21,34.69,5.31,29.38,0.0,29.38,9.47,19.91,19.91,192.03,0.0,1.0,1.0
2018-06-30,1107.83,2.2,1110.03,773.36,67.51,0.86,55.09,13.28,89.01,110.92,3.89,114.81,4.96,109.85,0.0,109.85,36.9,72.95,72.95,192.03,0.0,3.76,3.76
2018-09-30,1178.17,2.55,1180.72,838.97,105.05,-24.57,48.69,13.96,102.65,95.97,37.1,133.07,5.25,127.82,0.0,127.82,38.56,89.26,89.26,192.03,0.0,4.65,4.65
2018-12-31,1050.34,5.24,1055.58,807.91,32.37,7.62,51.8,15.58,96.77,43.53,5.38,48.91,6.45,42.46,0.0,42.46,14.53,27.93,27.93,192.03,0.0,1.42,1.42
2019-03-31,939.47,0.61,940.08,792.35,18.08,-39.49,47.52,15.82,84.96,20.84,11.82,32.66,5.31,27.35,0.0,27.35,9.62,17.73,17.73,192.03,0.0,0.89,0.89
2019-06-30,1248.54,3.71,1252.25,915.4,58.61,15.21,56.09,19.01,90.38,97.55,9.36,106.91,4.76,102.15,0.0,102.15,33.84,68.31,68.31,192.03,0.0,3.56,3.56
2019-09-30,1376.56,2.94,1379.5,1016.22,101.45,-8.53,59.48,19.69,103.19,88.0,12.42,100.42,7.28,93.14,0.0,93.14,-7.43,100.57,100.57,192.04,0.0,5.24,5.24
2019-12-31,1332.78,0.43,1333.21,1031.26,40.2,29.88,56.49,20.12,93.83,61.43,7.41,68.84,6.72,62.12,0.0,62.12,16.76,45.36,45.36,192.04,0.0,2.36,2.36
2020-03-31,1018.41,135.31,1153.72,826.95,20.19,9.18,44.15,21.03,137.49,94.73,11.82,106.55,4.75,101.8,0.0,101.8,22.74,79.06,79.06,192.04,0.0,4.12,4.12
2020-06-30,1125.28,3.2,1128.48,808.27,71.2,-12.38,56.82,19.81,97.38,87.38,35.12,122.5,9.5,113.0,0.0,113.0,26.54,86.46,86.46,192.07,0.0,4.5,4.5
2020-09-30,1231.77,11.76,1243.53,859.79,91.75,-9.91,61.75,21.71,116.64,101.8,12.42,114.22,7.2,107.02,0.0,107.02,24.25,82.77,82.77,192.07,0.0,4.31,4.31
2020-12-31,1076.46,0.74,1077.2,814.26,32.47,-6.61,61.01,21.61,104.05,50.41,43.02,93.43,4.12,89.31,0.0,89.31,13.1,76.21,76.21,192.07,0.0,3.97,3.97
2021-03-31,956.32,7.51,963.83,697.25,31.48,15.8,49.53,21.96,99.34,48.47,10.21,58.68,15.45,43.23,0.0,43.23,9.68,33.55,33.55,192.07,0.0,1.75,1.75
2021-06-30,1543.38,4.96,1548.34,1129.97,83.71,-3.08,62.68,22.95,125.33,126.78,11.18,137.96,9.71,128.25,0.0,128.25,32.84,95.41,95.41,192.1,0.0,4.97,4.97
2021-09-30,1687.66,2.19,1689.85,1297.77,74.83,-45.18,63.84,22.76,141.78,134.05,9.42,143.47,10.92,132.55,0.0,132.55,33.02,99.53,99.53,192.11,0.0,5.18,5.18
