Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Revaluation Reserves,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,11.73,11.73,195.94,199.64,211.37,243.19,77.34,0.0,0.0,320.52,165.83,119.96,18.03,22.55,326.37,870.25,425.47,8.17,40.6,0.0,474.23,14.89,3.18,0.0,2.19,494.49,128.28,145.51,20.84,81.14,0.0,375.76,870.25,33.11,6.83,0.31,216.17,0.0,4.4,0.0,14.89,0.0,0.0,99.65,0.0,6.52,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.96,12.96,480.27,483.05,496.01,321.08,91.1,0.0,0.0,412.18,44.71,184.78,19.18,69.13,317.79,1225.98,516.68,10.91,92.97,0.0,620.56,99.02,5.33,0.0,5.56,730.48,176.21,178.44,15.96,124.9,0.0,495.51,1225.98,50.04,10.73,0.14,339.38,0.31,4.4,0.0,99.02,0.0,0.0,192.71,0.0,12.2,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,14.25,14.25,810.21,810.21,824.46,523.11,110.23,0.0,0.0,633.34,100.88,205.5,22.6,109.44,438.41,1896.21,686.35,12.3,116.9,0.0,815.55,241.54,4.6,0.0,3.22,1064.91,281.8,246.21,108.23,195.07,0.0,831.3,1896.21,37.36,9.87,0.7,461.45,3.95,4.4,0.0,241.54,0.0,0.0,250.79,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,14.35,14.35,947.32,947.32,961.66,1405.62,142.25,0.0,0.0,1547.86,189.6,226.37,20.25,225.87,662.09,3171.64,821.87,17.55,176.84,0.0,1016.26,1275.81,6.23,0.0,4.09,2302.38,311.77,290.14,13.04,254.31,0.0,869.26,3171.64,118.71,19.39,0.7,614.57,18.95,4.4,0.0,1275.81,0.0,0.0,234.54,0.0,15.08,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,14.62,14.62,1363.97,1363.97,1378.59,1656.13,154.78,0.0,0.0,1810.91,9.37,217.98,23.39,279.49,530.22,3719.8,913.31,9.05,322.55,0.0,1244.91,1378.25,12.08,0.0,1.65,2636.89,321.56,359.1,7.67,394.58,0.0,1082.91,3719.8,160.67,22.44,0.7,856.25,0.03,4.4,0.0,1378.25,0.0,0.0,264.25,0.0,10.38,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,14.76,14.76,1324.63,1324.63,1339.39,2517.97,193.78,0.0,0.0,2711.75,7.67,363.92,39.85,421.78,833.22,4884.35,1387.05,9.74,269.09,0.0,1665.87,1709.54,67.23,0.0,0.33,3442.96,333.43,355.95,278.93,473.08,0.0,1441.39,4884.35,576.66,36.01,0.84,1078.37,0.18,4.4,0.0,1709.54,0.0,0.0,446.83,0.0,38.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,15.88,15.88,2156.97,2156.97,2172.85,2007.44,229.47,0.0,0.0,2236.91,4.83,492.1,27.46,447.43,971.82,5381.58,1426.32,32.94,272.19,0.0,1731.45,1869.2,24.49,0.0,0.0,3625.14,424.71,307.31,434.22,584.34,5.86,1756.44,5381.58,623.25,28.25,0.84,1100.16,1.39,4.4,0.0,1869.2,0.0,0.0,619.92,0.0,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,15.93,15.93,2124.66,2124.66,2140.59,2239.06,189.9,0.0,30.88,2459.84,741.21,415.89,143.23,384.33,1684.66,6285.09,1491.7,46.81,269.5,147.52,1955.53,1852.31,0.0,405.23,0.0,4213.06,404.7,334.52,985.26,331.6,4.2,2072.03,6285.09,966.1,115.52,1.11,1135.69,3.56,4.4,0.0,1852.31,11.75,11.75,398.75,19.26,15.84,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.93,15.93,1973.91,1973.91,1989.84,2422.21,211.41,0.0,156.89,2790.51,484.73,706.7,186.79,88.35,1466.57,6246.92,1766.31,73.76,252.08,166.88,2259.03,1938.02,0.0,417.84,72.01,4686.9,593.33,403.83,203.2,320.34,17.64,1560.03,6246.92,1013.33,343.64,1.11,1357.6,10.33,4.4,0.0,1938.02,21.7,21.7,476.15,12.93,22.71,172.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.93,15.93,1845.89,1845.89,1861.82,2008.38,241.93,0.0,227.35,2477.66,632.56,934.76,471.29,113.6,2152.22,6491.7,2090.12,95.36,25.76,187.6,2398.84,1978.51,0.0,453.24,0.22,4830.81,611.21,393.25,255.89,341.24,59.31,1660.89,6491.7,1442.55,112.44,1.67,1800.85,7.76,4.4,0.0,1978.51,0.0,0.0,564.95,33.51,9.96,115.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
