Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,810.83,5.99,816.82,383.02,49.67,2.33,86.55,63.02,37.85,103.29,91.09,1.84,92.93,39.59,53.34,-72.6,-19.26,5.88,-25.14,-25.14,15.93,-1.58,-1.58,8.12,50.96,7.47,95.68,46.92
2013-03-31,840.66,4.88,845.54,416.5,45.36,20.18,86.54,68.67,41.39,126.94,39.96,2.39,42.35,43.3,-0.95,-24.9,-25.85,2.33,-28.18,-28.18,15.93,-1.77,-1.77,8.12,50.96,7.81,100.0,49.04
2013-06-30,819.22,4.34,823.56,413.12,44.43,-3.95,85.99,66.46,42.54,107.37,67.6,2.01,69.61,48.21,21.4,-123.05,-101.65,4.23,-105.88,-105.88,15.93,-6.65,-6.65,8.12,50.96,7.81,100.0,49.04
2013-09-30,916.91,10.76,927.67,454.36,40.26,-18.16,94.47,76.27,43.91,106.03,130.53,2.82,133.35,65.9,67.45,-148.32,-80.87,-2.29,-78.58,-78.58,15.93,-4.93,-4.93,7.34,46.05,8.59,100.0,53.95
2013-12-31,938.1,12.61,950.71,491.47,46.02,-37.74,92.66,75.82,44.64,111.96,125.88,2.05,127.93,68.94,58.99,6.36,65.35,-99.17,164.52,164.52,15.93,10.33,10.33,7.34,46.05,8.59,100.0,53.95
2014-03-31,959.92,10.93,970.85,474.1,43.31,38.64,87.05,79.68,44.2,131.08,72.79,8.11,80.9,63.83,17.07,31.94,49.01,28.25,20.76,20.76,15.93,1.3,1.3,7.32,45.98,8.61,100.0,54.02
2014-06-30,1026.01,10.23,1036.24,530.34,56.33,10.32,92.53,79.7,41.28,132.44,93.3,7.67,100.97,63.14,37.83,152.94,190.77,-12.95,203.72,203.72,15.93,12.79,12.79,7.32,45.98,7.64,88.73,47.93
2014-09-30,695.95,5.03,700.98,398.58,34.05,6.27,79.3,53.38,20.71,84.01,24.68,52.05,76.73,61.2,15.53,271.19,286.72,69.96,216.76,216.76,15.93,13.61,13.61,7.32,45.98,7.53,87.55,47.3
2014-12-31,703.03,11.79,714.82,405.82,36.41,4.79,80.93,50.99,22.74,88.9,24.24,26.37,50.61,55.51,-4.9,-5.38,-10.28,-1.8,-8.48,-8.48,15.93,-0.53,-0.53,7.32,45.98,7.24,84.15,45.46
2015-03-31,715.63,8.63,724.26,328.46,71.26,52.51,76.07,57.55,22.68,91.46,24.27,22.6,46.87,47.25,-0.38,-220.53,-220.91,-14.02,-206.89,-206.89,15.93,-12.99,-12.99,7.32,45.98,7.49,87.06,47.03
2015-06-30,656.85,12.28,669.13,371.1,29.34,-39.52,85.51,52.7,21.04,96.59,52.37,13.07,65.44,57.67,7.77,5.27,13.04,5.64,7.4,7.4,15.93,0.46,0.46,7.32,45.98,7.49,87.06,47.03
2015-09-30,696.4,11.0,707.4,370.62,29.15,-11.63,80.17,55.24,22.2,87.01,74.64,38.49,113.13,52.95,60.18,-12.0,48.18,-2.73,50.91,50.91,15.93,3.2,3.2,7.32,45.98,7.89,91.71,49.54
2015-12-31,634.16,12.83,646.99,333.49,17.05,9.9,69.16,54.21,21.91,76.78,64.49,6.13,70.62,45.12,25.5,-9.49,16.01,-12.22,28.23,28.23,15.93,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2016-03-31,620.09,12.54,632.63,273.11,41.65,29.86,46.25,63.56,21.82,90.84,65.54,4.05,69.59,55.72,13.87,0.0,13.87,24.23,-10.36,-10.36,15.93,-0.65,-0.65,0.0,0.0,0.0,0.0,0.0
2016-06-30,577.49,9.44,586.93,292.91,18.62,-15.08,64.25,53.0,20.3,81.17,71.76,4.75,76.51,44.36,32.15,0.0,32.15,11.17,20.98,20.98,15.93,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2016-09-30,566.23,9.44,575.67,256.77,32.22,12.93,61.47,56.68,20.19,79.22,56.19,23.87,80.06,45.03,35.03,0.0,35.03,10.91,24.12,24.12,15.93,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2016-12-31,596.92,10.33,607.25,303.28,45.68,-34.31,67.86,56.83,20.83,101.26,45.82,13.21,59.03,42.03,17.0,0.0,17.0,8.74,8.26,8.26,15.93,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2017-03-31,706.54,14.82,721.36,391.38,23.17,-20.55,0.0,59.8,19.81,184.65,63.1,10.07,73.17,42.83,30.34,0.0,30.34,4.51,25.83,25.83,15.93,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2017-06-30,664.15,9.66,673.81,351.97,26.54,15.75,70.44,58.18,20.19,78.77,51.97,10.75,62.72,35.31,27.41,0.0,27.41,5.12,22.29,22.29,15.93,1.4,1.4,0.0,0.0,0.0,0.0,0.0
