Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2023-06-30,252.5,252.5,184.0,8.8,30.9,28.8,12.0,40.8,1.7,39.1,39.1,9.5,29.6,29.6,44.3,134.0,133.0
2023-09-30,260.5,260.5,185.2,8.3,31.9,35.1,6.0,41.1,1.7,39.4,39.4,10.1,29.3,29.3,44.3,1.32,1.31
2023-12-31,260.1,260.1,188.2,6.4,31.3,34.2,9.2,43.4,1.7,41.7,41.7,11.6,30.1,30.1,44.4,1.36,0.0
2024-03-31,272.5,272.5,194.9,7.6,31.2,38.8,23.1,61.9,1.5,60.4,60.4,11.5,48.9,48.9,44.4,2.2,2.19
2024-06-30,258.6,258.6,185.3,6.6,33.8,32.9,13.7,46.6,1.5,45.1,45.1,12.5,32.6,32.6,47.9,1.41,1.39
2024-09-30,281.7,281.7,197.1,6.2,38.2,40.2,22.4,62.6,1.6,61.0,61.0,16.2,44.8,44.8,47.8,1.88,1.86
2024-12-31,286.7,286.7,192.2,6.5,42.6,45.4,22.3,67.7,1.6,66.1,66.1,16.2,49.9,49.9,47.8,2.09,2.07
2025-03-31,266.7,266.7,184.5,6.9,42.6,32.7,35.2,67.9,1.5,66.4,66.4,12.2,54.2,54.2,47.9,2.26,2.25
