Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,317.59,8.45,326.04,142.44,15.5,4.18,20.38,9.0,55.93,37.55,41.05,8.48,49.53,21.65,27.88,0.0,27.88,9.5,18.38,18.38,26.57,1.38,1.38,7.9,59.48,3.01,50.01,22.69
2013-03-31,320.75,10.74,331.49,152.4,21.27,-12.8,20.08,8.81,57.46,53.74,30.53,7.39,37.93,18.21,19.72,0.0,19.72,4.0,15.72,15.72,26.58,1.18,1.24,7.91,59.5,3.79,70.41,28.52
2013-06-30,348.44,8.89,357.34,150.96,10.44,6.24,19.78,9.5,68.56,48.38,43.48,8.47,51.95,20.44,31.51,0.0,31.51,9.0,22.51,22.51,26.58,1.69,1.68,7.91,59.5,3.94,73.26,29.67
2013-09-30,341.65,10.43,352.09,166.56,4.09,-4.2,23.88,9.65,69.22,46.81,36.08,8.85,44.93,19.81,25.11,0.0,25.11,7.79,17.32,17.32,26.59,1.3,1.3,7.91,59.51,3.76,69.85,28.28
2013-12-31,379.43,11.44,390.87,173.95,5.23,4.05,25.84,9.85,77.78,50.06,44.11,9.04,53.15,22.2,30.95,0.0,30.95,9.43,21.52,21.52,26.6,1.62,1.61,7.92,59.52,4.07,76.7,30.64
2014-03-31,342.66,8.74,351.4,175.05,2.28,-41.56,23.67,9.75,70.64,80.5,31.07,10.11,41.18,22.35,18.83,0.0,18.83,8.93,9.9,9.9,26.61,0.74,0.75,7.92,59.54,4.2,78.11,31.6
2014-06-30,360.83,9.09,369.92,168.78,4.08,4.14,24.13,10.5,73.83,46.67,37.79,9.33,47.12,22.57,24.55,0.0,24.55,8.0,16.55,16.55,26.61,1.24,1.24,7.92,59.54,4.17,77.56,31.38
2014-09-30,351.61,10.95,362.56,161.29,1.95,0.86,25.68,10.5,65.99,63.89,32.4,10.45,42.85,22.69,20.16,0.0,20.16,5.25,14.91,14.91,26.61,1.12,1.12,7.92,59.54,3.87,71.98,29.12
2014-12-31,399.56,12.96,412.52,181.4,28.13,11.63,29.73,9.0,76.7,38.93,37.0,10.27,47.27,23.0,24.27,0.0,24.27,3.0,21.27,21.27,26.61,1.6,1.6,7.92,59.54,4.19,77.86,31.5
2015-03-31,332.5,10.89,343.39,159.31,5.05,-9.29,27.72,8.32,67.09,60.3,24.89,14.94,39.84,21.69,18.14,0.0,18.14,3.24,14.9,14.9,26.61,1.12,1.12,7.92,59.54,4.33,80.37,32.52
2015-06-30,386.04,8.71,394.75,176.26,4.22,-1.78,26.84,10.0,72.25,69.84,37.11,9.54,46.65,21.26,25.39,0.0,25.39,7.3,18.09,18.09,26.61,1.36,1.36,7.92,59.54,4.33,80.37,32.52
2015-09-30,361.62,8.2,369.83,166.73,3.73,6.86,28.91,10.0,64.4,49.01,40.18,7.01,47.18,20.78,26.4,0.0,26.4,7.75,18.65,18.65,26.61,1.4,1.4,7.92,59.54,4.59,85.27,34.5
2015-12-31,392.56,8.32,400.88,191.08,1.87,-14.34,29.05,10.0,71.37,63.36,48.48,6.82,55.31,19.68,35.62,0.0,35.62,10.25,25.37,25.37,26.61,1.91,1.91,0.0,0.0,0.0,0.0,0.0
2016-03-31,367.17,10.47,377.64,175.8,3.9,3.35,33.79,10.34,64.8,57.16,28.5,14.77,43.27,22.99,20.28,0.0,20.28,5.51,14.77,14.77,26.61,1.11,1.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,422.01,8.39,430.4,233.25,2.37,-6.86,37.13,10.49,42.07,66.08,45.87,3.85,49.72,21.39,28.33,0.0,28.33,6.8,21.53,21.53,26.61,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2016-09-30,438.75,8.51,447.26,231.94,5.13,23.45,34.18,10.52,58.31,37.48,46.25,4.43,50.68,20.62,30.06,0.0,30.06,7.79,22.26,22.26,26.61,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2016-12-31,405.89,9.26,415.16,230.53,5.09,-26.8,34.88,10.48,48.66,71.41,40.9,5.96,46.86,19.54,27.32,0.0,27.32,7.62,19.7,19.7,26.61,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2017-03-31,383.16,9.85,393.02,212.66,1.94,0.33,34.89,10.21,48.83,47.49,36.65,5.41,42.06,18.84,23.23,0.0,23.23,6.6,16.63,16.63,26.61,1.25,1.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,411.29,0.0,411.29,225.32,2.35,-3.82,33.96,10.15,40.99,50.52,51.83,5.27,57.1,18.86,38.24,0.0,38.24,12.55,25.69,25.69,26.61,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2017-09-30,448.19,0.0,448.19,233.68,3.0,1.85,39.15,10.2,54.05,50.72,55.54,5.12,60.66,17.66,42.99,0.0,42.99,14.39,28.6,28.6,26.63,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2017-12-31,482.52,0.0,482.52,228.55,14.38,6.13,40.47,10.31,59.11,58.34,65.22,6.2,71.43,16.9,54.52,0.0,54.52,19.51,35.01,35.01,26.66,2.63,2.63,0.0,0.0,0.0,0.0,0.0
2018-03-31,480.76,0.0,480.76,251.65,5.82,-16.7,41.35,10.23,61.72,70.38,56.3,10.08,66.38,14.81,51.56,0.0,51.56,17.38,34.19,34.19,26.66,2.56,2.56,0.0,0.0,0.0,0.0,0.0
