Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,286.55,286.55,23.06,0.0,148.53,9.95,47.6,57.41,13.47,70.88,0.26,70.62,0.0,70.62,21.36,49.26,49.26,60.16,8.19,8.09,4.13,68.67,1.88,100.0,31.33
2013-03-31,321.67,321.67,44.1,0.0,149.71,10.98,55.17,61.71,-2.85,58.86,0.26,58.6,0.0,58.6,12.31,46.29,46.29,60.24,7.69,7.62,4.14,68.71,1.88,100.0,31.29
2013-06-30,324.27,324.27,58.94,0.0,161.0,10.38,44.71,49.24,56.62,105.86,0.26,105.6,0.0,105.6,24.47,81.13,81.13,60.35,13.46,13.35,4.15,68.77,1.88,100.0,31.23
2013-09-30,333.75,333.75,47.57,0.0,168.23,10.14,54.52,53.29,23.21,76.5,0.25,76.25,0.0,76.25,19.85,56.4,56.4,60.43,9.34,9.26,4.16,68.81,1.88,100.0,31.19
2013-12-31,328.35,328.35,24.97,0.0,183.07,10.87,56.63,52.81,-1.9,50.91,0.26,50.65,0.0,50.65,11.03,39.62,39.62,60.64,6.54,6.51,4.18,68.92,1.88,100.0,31.08
2014-03-31,322.11,322.11,23.08,0.0,177.81,10.63,67.89,42.7,-3.77,38.93,0.9,38.03,0.0,38.03,6.78,31.25,31.25,60.7,5.16,5.13,4.19,68.95,1.88,100.0,31.05
2014-06-30,331.64,331.64,30.21,0.0,177.55,14.89,66.08,42.91,12.61,55.52,0.88,54.64,0.0,54.64,9.82,44.82,44.82,60.75,7.38,7.33,4.19,68.97,1.88,100.0,31.03
2014-09-30,319.2,319.2,6.53,0.0,180.61,18.23,71.05,42.78,1.25,44.03,0.88,43.15,25.0,68.15,10.0,58.15,58.15,60.82,9.57,9.5,4.2,69.01,1.88,100.0,30.99
2014-12-31,332.15,332.15,20.38,0.0,182.22,16.71,63.01,49.83,5.27,55.1,0.88,54.22,0.0,54.22,9.89,44.33,44.33,61.0,7.28,7.24,4.22,69.1,1.88,100.0,30.9
2015-03-31,363.1,363.1,31.54,0.0,183.13,16.69,104.86,26.88,3.29,30.17,0.81,29.36,-38.48,-9.12,-9.4,0.28,0.28,61.04,0.04,0.04,4.22,69.12,1.88,100.0,30.88
2015-06-30,361.73,361.73,21.67,0.0,202.17,19.32,64.61,53.96,31.91,85.87,1.57,84.3,0.0,84.3,12.03,72.27,72.27,61.06,11.84,11.8,4.22,69.13,1.88,100.0,30.87
2015-09-30,372.62,372.62,6.68,5.68,211.08,19.45,84.51,45.22,2.81,48.03,0.82,47.21,0.0,47.21,6.02,41.19,41.19,61.11,6.74,6.7,4.23,69.16,1.88,100.0,30.84
2015-12-31,381.04,381.04,9.66,1.45,223.2,21.48,67.71,57.54,2.74,60.28,0.78,59.5,-0.65,58.85,9.78,49.07,49.07,61.14,8.03,7.96,0.0,0.0,0.0,0.0,0.0
2016-03-31,352.42,352.42,-15.68,0.05,210.26,22.59,105.08,30.12,3.64,33.76,0.27,33.49,0.0,33.49,2.01,31.48,31.48,61.19,5.15,5.12,0.0,0.0,0.0,0.0,0.0
2016-06-30,367.82,367.82,1.72,0.0,228.19,22.32,76.01,39.58,14.44,54.02,0.73,53.29,-36.13,17.16,-4.24,21.4,21.4,61.21,3.5,3.48,0.0,0.0,0.0,0.0,0.0
2016-09-30,385.84,385.84,0.52,0.0,243.09,22.91,88.43,30.89,5.42,36.31,0.38,35.93,0.0,35.93,7.3,28.63,28.63,61.36,4.67,4.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,383.0,383.0,1.5,0.0,240.5,23.0,87.3,30.7,5.6,36.3,0.6,35.7,0.0,35.7,7.5,28.2,28.2,61.4,4.61,4.61,0.0,0.0,0.0,0.0,0.0
2017-03-31,458.5,458.5,0.6,0.0,238.27,22.61,110.34,86.68,8.3,94.98,1.05,93.93,14.05,107.98,21.42,86.56,86.56,61.36,14.11,14.09,0.0,0.0,0.0,0.0,0.0
2017-06-30,404.6,404.6,0.8,0.0,249.1,21.7,90.0,43.0,83.4,126.4,1.2,125.2,0.0,125.2,20.3,104.9,104.9,61.4,17.09,17.04,0.0,0.0,0.0,0.0,0.0
2017-09-30,418.9,418.9,16.3,0.0,248.6,20.9,90.4,42.7,15.3,58.0,1.9,56.1,0.0,56.1,10.4,45.7,45.7,61.4,7.44,7.41,0.0,0.0,0.0,0.0,0.0
2017-12-31,412.2,412.2,2.4,0.0,254.9,19.7,85.7,49.5,2.7,52.2,1.4,50.8,0.0,50.8,11.3,39.5,39.5,61.4,6.43,6.39,0.0,0.0,0.0,0.0,0.0
2018-03-31,410.2,410.2,1.5,0.0,242.0,20.2,114.3,32.2,14.3,46.5,2.5,44.0,0.0,44.0,7.9,36.1,36.1,61.5,5.87,5.82,0.0,0.0,0.0,0.0,0.0
2018-06-30,444.8,444.8,1.8,0.0,267.4,19.9,116.5,39.2,112.6,151.8,1.3,150.5,0.0,150.5,15.0,135.5,135.5,61.5,22.04,21.79,0.0,0.0,0.0,0.0,0.0
2018-09-30,485.2,485.2,0.3,0.0,300.9,20.3,118.1,45.6,25.4,71.0,1.2,69.8,0.0,69.8,17.1,52.7,52.7,61.6,8.57,8.46,0.0,0.0,0.0,0.0,0.0
2018-12-31,521.4,521.4,2.2,0.0,318.1,19.2,122.1,59.8,5.7,65.5,1.4,64.1,0.0,64.1,16.7,47.4,47.4,61.6,7.7,7.81,0.0,0.0,0.0,0.0,0.0
2019-03-31,547.8,547.8,0.9,0.0,328.2,18.7,123.0,77.0,10.5,87.5,1.5,86.0,0.0,86.0,22.6,63.4,63.4,61.8,10.27,10.17,0.0,0.0,0.0,0.0,0.0
