Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2576.55,7.72,2584.27,1853.82,7.14,24.73,227.01,59.33,170.77,291.54,-50.07,11.6,-38.47,262.82,-301.29,-79.67,-380.96,-123.57,-257.39,-257.39,38.11,0.0,-13.55,-13.55,9.85,56.94,0.92,12.3,4.81
2013-03-31,3014.18,6.86,3021.04,2163.32,0.0,-80.19,319.75,67.01,189.04,405.43,-43.32,8.25,-35.07,269.79,-304.86,54.08,-250.78,-71.02,-179.76,-179.76,40.82,0.0,-9.45,-9.45,9.85,52.8,2.27,25.8,11.13
2013-06-30,2825.34,4.87,2830.21,2121.23,0.0,-237.55,299.3,61.95,167.25,359.02,59.01,8.81,67.82,288.72,-220.9,-254.12,-475.02,0.0,-475.02,-475.02,40.82,0.0,-23.28,-23.28,9.85,52.8,2.27,25.8,11.13
2013-09-30,3032.47,6.32,3038.79,1731.81,0.0,331.33,293.91,62.38,167.84,373.34,78.18,12.79,90.97,296.1,-205.13,-222.77,-427.9,-15.93,-411.97,-411.97,40.82,0.0,-20.19,-20.19,9.85,52.8,2.27,25.8,11.13
2013-12-31,3006.6,8.3,3014.9,1977.44,26.31,73.28,343.21,60.91,175.68,377.35,-19.28,7.1,-12.18,312.88,-325.06,24.47,-300.59,0.0,-300.59,-300.59,40.93,0.0,-14.72,-14.72,9.9,52.94,2.27,25.8,11.1
2014-03-31,3058.15,10.98,3069.13,2039.84,0.0,-47.42,335.64,54.08,176.89,430.02,80.08,11.35,91.43,337.0,-245.57,35.52,-210.05,-7.53,-202.52,-202.52,43.08,0.0,-9.92,-9.92,9.9,50.06,3.35,33.88,15.54
2014-06-30,3232.43,5.32,3237.75,2205.35,0.0,-123.83,344.78,64.01,123.86,407.75,215.83,9.47,225.3,343.74,-118.44,7.84,-110.6,0.0,-110.6,-110.6,43.08,0.0,-5.14,-5.14,9.9,50.06,3.35,33.88,15.54
2014-09-30,3296.62,7.15,3303.77,2211.55,0.0,26.38,382.74,64.35,133.44,404.6,80.71,11.51,92.22,342.63,-250.41,-6.27,-256.68,-1.45,-255.23,-255.23,43.08,0.0,-11.85,-11.85,9.9,50.06,3.35,33.88,15.54
2014-12-31,2965.46,8.09,2973.55,1956.8,0.0,146.91,291.73,64.52,123.06,373.51,17.02,11.31,28.33,338.48,-310.15,-31.83,-341.98,0.0,-341.98,-341.98,45.28,0.0,-15.84,-15.84,9.9,47.43,4.45,40.5,19.64
2015-03-31,3280.16,7.23,3287.39,2053.43,0.0,94.07,283.05,70.44,124.92,439.56,221.92,40.12,262.04,340.23,-78.19,61.25,-16.94,0.0,-16.94,-16.94,45.28,0.0,-0.78,-0.78,9.9,47.43,3.09,28.16,13.65
