Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Preference Share Capital,Share Capital Suspense,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Equity Share Application Money,Revaluation Reserves,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,19.98,19.98,537.25,537.25,0.0,0.0,557.23,617.47,202.12,0.0,0.0,819.59,147.68,541.17,96.48,35.84,821.17,2197.99,1226.27,0.0,85.91,0.0,1312.17,31.21,0.0,2.0,1346.22,0.0,433.88,144.46,31.77,241.65,0.0,851.77,2197.99,340.61,26.37,1.09,970.93,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.83,632.96,0.0,56.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,21.98,21.98,770.79,770.79,0.0,0.0,792.78,1266.65,227.14,0.0,0.0,1493.8,80.05,628.94,162.41,124.23,995.63,3282.21,1375.26,7.98,349.34,0.0,1732.58,193.0,0.0,1.61,1929.07,0.0,520.98,326.59,56.77,448.79,0.0,1353.13,3282.21,962.83,34.47,1.81,1018.33,2.93,0.0,0.04,42.68,0.0,0.0,0.0,1.88,903.29,0.0,122.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,26.11,26.11,983.1,983.1,0.0,0.0,1009.21,1979.9,280.88,0.0,0.0,2260.78,213.92,816.96,163.56,175.54,1369.97,4639.96,1771.4,5.62,628.5,0.0,2405.52,310.22,0.0,2.04,2720.36,0.0,687.36,350.43,197.07,684.75,0.0,1919.6,4639.96,1439.7,81.15,1.08,1120.7,3.68,5.15,0.0,58.13,0.0,0.0,0.0,2.58,977.22,0.0,141.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,27.64,27.64,1374.13,1374.13,0.0,0.0,1401.77,2529.34,394.37,0.0,0.0,2923.71,126.98,1509.65,285.29,211.33,2133.25,6473.87,2716.3,7.39,1057.09,0.0,3780.78,188.56,0.0,2.31,3974.43,0.0,1069.73,580.41,196.24,653.06,0.0,2499.44,6473.87,968.83,108.5,1.45,2261.95,5.0,5.15,2.95,71.93,0.0,0.0,0.0,2.79,1908.7,0.0,135.8,0.0,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,30.92,30.92,1757.14,1757.14,0.0,0.0,1788.06,3819.11,502.72,0.0,0.0,4321.83,470.95,2114.49,441.35,287.55,3314.34,9476.84,3403.69,8.28,1373.77,0.0,4785.74,93.29,0.0,15.88,4909.93,0.0,2194.65,753.66,740.32,878.29,0.0,4566.91,9476.84,2715.05,166.98,3.17,1693.03,53.47,5.15,1.16,81.65,0.0,0.0,0.0,15.02,2651.05,0.0,169.83,0.0,52.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,32.43,32.43,1257.91,1257.91,0.0,0.0,1290.33,4948.47,611.55,0.0,0.0,5560.02,691.29,2144.23,992.68,253.22,4081.42,10931.77,3932.4,23.1,2010.95,0.0,5966.45,896.86,0.0,28.32,7304.03,0.0,1661.76,562.09,657.22,746.67,0.0,3627.74,10931.77,2841.14,217.57,4.64,1230.89,0.32,5.15,0.48,156.01,0.0,0.0,0.0,412.41,1671.58,0.0,203.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,37.12,37.12,1876.48,1876.48,0.0,0.0,1913.59,6635.63,636.01,0.0,0.0,7271.65,892.79,1483.08,750.36,299.02,3425.26,12610.5,3893.78,9.41,3884.98,0.0,7788.17,351.45,0.0,27.79,8412.44,0.0,1632.86,1059.74,687.5,817.96,0.0,4198.06,12610.5,1345.24,112.79,0.0,1110.88,13.26,5.15,1.39,163.94,0.0,0.0,0.0,245.04,1583.36,0.0,1271.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,37.46,37.46,2217.35,2217.35,0.0,0.0,2254.81,7600.51,444.47,12.44,6.97,8064.39,1079.21,1250.95,1071.48,378.43,3780.08,14099.28,4156.75,5.66,4900.96,0.0,9063.37,166.16,293.69,42.75,9565.98,1.08,2108.72,1221.33,307.84,889.34,4.99,4533.3,14099.28,2952.33,77.92,0.0,1426.48,1.44,5.15,0.0,166.16,1.15,0.0,0.0,0.0,2052.78,101.57,1068.26,152.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,37.9,37.9,2144.23,2144.23,0.0,0.0,2182.13,7712.58,394.57,12.65,8.69,8128.48,1531.45,2033.95,1810.75,377.43,5753.57,16064.19,9751.12,4.29,456.64,4.83,10216.88,168.86,206.03,22.14,10613.91,1.04,2702.76,1505.66,164.2,1072.65,3.97,5450.28,16064.19,3437.96,104.36,0.0,1773.55,0.31,5.15,0.0,168.86,1.07,0.0,0.0,0.0,2812.19,111.88,214.04,94.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,40.82,40.82,1435.03,1435.03,0.0,0.0,1475.85,8764.35,15.93,121.24,9.53,8911.05,2023.12,2975.34,1138.1,2.84,6139.4,16526.29,9804.16,2.92,145.9,8.47,9961.45,171.11,155.76,17.73,10306.05,2.2,3276.42,1909.02,87.79,940.32,4.49,6220.24,16526.29,3155.17,244.2,0.0,3047.39,0.33,5.15,0.0,171.11,2.23,0.0,0.0,0.0,4470.76,163.74,39.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
