Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1084.48,1084.48,544.62,195.53,-158.08,104.04,102.81,24.34,139.4,131.82,15.54,147.36,4.2,143.16,143.16,42.26,100.9,100.9,79.7,2.53,2.53,24.77,62.16,15.08,100.0,37.84
2015-09-30,1762.18,1762.18,888.75,414.08,-165.51,132.96,122.12,25.08,163.28,181.42,22.57,203.99,5.71,198.28,198.28,55.64,142.64,142.64,79.7,3.58,3.58,24.77,62.16,15.08,100.0,37.84
2015-12-31,1615.04,1615.04,948.39,93.84,-57.04,133.91,133.05,25.73,186.48,150.68,13.05,163.73,8.29,155.44,155.44,52.2,103.24,103.24,79.7,2.59,2.59,24.77,62.16,15.08,100.0,37.84
2016-03-31,1701.63,1701.63,749.96,37.71,345.04,135.97,177.5,25.54,181.32,48.59,13.67,62.26,12.01,50.25,50.25,17.68,32.57,32.57,79.7,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2016-06-30,1082.1,1082.1,868.63,318.23,-643.82,102.48,123.57,25.33,215.08,72.6,9.7,82.3,17.96,64.34,64.34,18.04,46.3,46.3,79.7,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-09-30,1637.82,1637.82,735.43,89.27,161.72,109.3,126.31,26.67,220.54,168.58,20.13,188.71,14.83,173.88,173.88,48.87,125.01,125.01,79.7,3.14,3.14,0.0,0.0,0.0,0.0,0.0
2016-12-31,1102.7,1102.7,515.55,30.15,64.71,115.03,133.21,27.16,165.52,51.37,13.34,64.71,14.47,50.24,50.24,-10.93,61.17,61.17,79.7,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2017-03-31,1541.84,1541.84,605.22,42.39,357.96,116.08,127.13,24.27,178.18,90.61,13.48,104.09,17.67,86.42,86.42,-100.6,187.02,187.02,79.7,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2017-06-30,1137.57,1137.57,753.66,205.96,-318.08,100.93,133.21,29.16,180.69,52.04,12.78,64.82,13.0,51.82,51.82,11.3,40.52,40.52,79.7,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2017-09-30,1540.29,1540.29,710.12,166.72,154.73,115.56,131.17,29.66,165.02,67.31,43.25,110.56,8.98,101.58,101.58,22.35,79.23,79.23,79.7,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2017-12-31,1537.45,1537.45,871.93,111.47,-52.59,147.44,129.72,30.33,167.97,131.18,8.27,139.45,16.48,122.97,122.97,-76.6,199.57,199.57,79.7,5.01,5.01,0.0,0.0,0.0,0.0,0.0
2018-03-31,2055.26,2055.26,895.44,311.36,173.3,158.2,115.16,29.98,174.87,196.95,30.37,227.32,12.9,214.42,214.42,58.01,156.41,156.41,79.7,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2018-06-30,1770.32,1770.32,1055.05,742.97,-630.56,142.55,129.55,30.61,217.55,82.6,25.28,107.88,16.73,91.15,91.15,20.41,70.74,70.74,79.7,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2018-09-30,2671.87,2671.87,953.23,661.52,243.73,157.69,124.51,30.95,212.95,287.29,44.28,331.57,19.83,311.74,311.74,87.49,224.25,224.25,79.7,5.63,5.63,0.0,0.0,0.0,0.0,0.0
2018-12-31,1993.93,1993.93,881.92,284.02,165.78,196.47,128.57,30.96,184.76,121.45,19.98,141.43,10.92,130.51,130.51,31.57,98.94,98.94,79.7,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2019-03-31,2138.42,2138.42,1335.82,374.41,-266.63,180.01,138.6,33.08,212.69,130.44,15.36,145.8,13.78,132.02,132.02,32.26,99.76,99.76,79.7,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2019-06-30,1707.7,1707.7,1061.19,690.21,-650.85,134.6,132.48,41.47,192.82,105.78,8.32,114.1,29.95,84.15,84.15,20.81,63.34,63.34,79.7,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2019-09-30,2350.4,2350.4,951.22,205.64,572.17,167.35,138.53,42.0,231.54,41.95,52.87,94.82,32.18,62.64,62.64,6.72,55.92,55.92,79.7,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2019-12-31,1716.94,1716.94,1083.3,440.47,-402.97,190.72,233.7,43.37,229.5,-101.15,29.84,-71.31,26.45,-97.76,-97.76,-24.63,-73.13,-73.13,79.7,-1.84,-1.84,0.0,0.0,0.0,0.0,0.0
2020-03-31,1845.78,1845.78,501.3,79.47,583.84,159.64,209.55,43.37,182.69,85.92,18.16,104.08,26.11,77.97,77.97,25.38,52.59,52.59,79.7,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2020-06-30,1613.82,1613.82,780.84,66.07,264.84,110.38,139.08,43.66,160.44,48.51,10.45,58.96,19.42,39.54,39.54,7.73,31.81,31.81,79.7,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2020-09-30,2071.51,2071.51,1057.54,245.16,29.4,152.95,146.26,44.32,235.12,160.76,66.87,227.63,11.2,216.43,216.43,45.6,170.83,170.83,79.7,4.29,4.29,0.0,0.0,0.0,0.0,0.0
2020-12-31,2086.47,2086.47,1238.56,162.4,-17.63,191.04,171.8,44.26,223.25,72.79,32.82,105.61,6.0,99.61,99.61,16.58,83.03,83.03,79.7,2.08,2.08,0.0,0.0,0.0,0.0,0.0
2021-03-31,1727.81,1727.81,874.81,67.5,24.96,195.61,227.17,44.21,202.9,90.65,73.21,163.86,6.12,157.74,157.74,25.74,132.0,132.0,79.7,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2021-06-30,1872.67,1872.67,1069.33,78.04,-2.7,0.0,163.71,44.29,360.05,159.95,19.86,179.81,2.05,177.76,177.76,40.0,137.76,137.76,79.7,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2021-09-30,2511.0,2511.0,1325.89,80.43,167.83,249.22,170.82,44.83,193.28,278.7,65.01,343.71,2.65,341.06,341.06,114.9,226.16,226.16,79.7,5.67,5.67,0.0,0.0,0.0,0.0,0.0
2021-12-31,2566.84,2566.84,1280.47,327.18,-15.44,0.0,169.91,44.87,444.67,315.18,29.98,345.16,1.74,343.42,343.42,108.7,234.72,234.72,79.7,5.89,5.89,0.0,0.0,0.0,0.0,0.0
2022-03-31,2045.12,2045.12,1205.91,95.69,-318.58,288.46,151.41,44.19,199.85,378.19,67.65,445.84,3.19,442.65,442.65,150.39,292.26,292.26,79.7,7.34,7.34,0.0,0.0,0.0,0.0,0.0
2022-06-30,3061.39,3061.39,1559.46,19.13,221.41,306.79,162.31,44.68,256.13,491.48,30.19,521.67,3.11,518.56,518.56,162.73,355.83,355.83,79.7,8.93,8.93,0.0,0.0,0.0,0.0,0.0
2022-09-30,2405.32,2405.32,1374.56,413.26,-484.1,350.2,160.43,46.15,196.47,348.35,72.23,420.58,2.55,418.03,418.03,128.79,289.24,289.24,79.7,7.26,7.26,0.0,0.0,0.0,0.0,0.0
2022-12-31,3421.13,3421.13,1471.14,563.32,303.23,322.89,163.85,45.94,252.05,298.71,17.67,316.38,6.14,310.24,310.24,-97.28,407.52,407.52,79.7,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2023-03-31,2410.19,2410.19,1446.18,24.41,-35.13,169.87,269.77,44.74,192.94,297.41,26.39,323.8,3.09,320.71,320.71,80.22,240.49,240.49,79.7,6.03,6.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,2031.53,2031.53,1275.42,33.46,-3.45,151.42,229.82,45.08,206.38,93.4,48.74,142.14,1.85,140.29,140.29,34.04,106.25,106.25,79.7,2.67,2.67,0.0,0.0,0.0,0.0,0.0
2023-09-30,3017.37,3017.37,1355.01,485.4,187.13,252.02,290.99,45.58,231.92,169.32,194.76,364.08,1.58,362.5,362.5,77.67,284.83,284.83,79.7,7.14,7.14,0.0,0.0,0.0,0.0,0.0
2023-12-31,1943.49,1943.49,1066.16,192.57,-91.99,314.3,175.49,45.88,183.12,57.96,80.91,138.87,0.63,138.24,138.24,26.12,112.12,112.12,79.7,2.82,2.82,0.0,0.0,0.0,0.0,0.0
2024-03-31,1939.73,1939.73,1064.54,55.4,47.54,259.4,257.44,46.48,230.21,-21.28,51.76,30.48,7.13,23.35,23.35,2.23,21.12,21.12,79.7,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2024-06-30,2143.95,2143.95,1382.71,37.58,-58.14,259.23,196.75,47.14,208.36,70.32,49.44,119.76,1.7,118.06,118.06,25.42,92.64,92.64,79.7,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2024-09-30,2622.9,2622.9,1440.19,30.97,151.75,290.18,185.72,47.81,234.76,241.52,152.04,393.56,2.13,391.43,391.43,88.76,302.67,302.67,79.7,7.6,7.6,0.0,0.0,0.0,0.0,0.0
2024-12-31,2755.15,2755.15,1153.57,860.67,-114.74,285.03,200.68,48.6,221.23,100.11,55.52,155.63,2.2,153.43,153.43,33.96,119.47,119.47,79.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1906.71,1906.71,1020.1,177.97,-61.48,191.4,219.73,48.02,285.59,25.38,55.95,81.33,4.06,77.27,77.27,18.87,58.4,58.4,79.7,1.46,1.46,0.0,0.0,0.0,0.0,0.0
