Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1729.43,1729.43,908.56,448.63,-214.13,100.29,101.87,34.83,153.38,196.0,19.38,215.38,10.84,204.54,204.54,68.05,136.49,136.49,79.7,3.43,3.43,24.77,62.16,15.08,100.0,37.84
2013-03-31,1696.01,1696.01,729.08,93.44,337.41,99.03,146.63,34.0,163.29,93.13,17.97,111.1,12.66,98.44,98.44,40.0,58.44,58.44,79.7,1.47,1.47,24.77,62.16,15.08,100.0,37.84
2013-06-30,1017.98,1017.98,625.65,35.07,-29.49,100.38,98.25,33.3,146.81,8.01,13.95,21.96,14.03,7.93,7.93,2.39,5.54,5.54,79.7,0.14,0.14,24.77,62.16,15.08,100.0,37.84
2013-09-30,1418.02,1418.02,963.37,48.34,-158.39,117.23,99.75,36.15,195.33,116.24,41.27,157.51,12.33,145.18,145.18,43.84,101.34,101.34,79.7,2.54,2.54,24.77,62.16,15.08,100.0,37.84
2013-12-31,1458.4,1458.4,745.19,39.41,98.55,150.29,98.88,37.79,188.65,99.64,52.28,151.92,14.08,137.84,137.84,36.64,101.2,101.2,79.7,2.54,2.54,24.77,62.16,15.08,100.0,37.84
2014-03-31,1518.09,1518.09,809.56,55.64,72.84,161.19,37.55,38.08,183.62,159.61,49.55,209.16,4.7,204.46,204.46,70.37,134.09,134.09,79.7,3.37,3.37,24.77,62.16,15.08,100.0,37.84
2014-06-30,1243.2,1243.2,687.88,189.87,-115.9,106.34,95.79,27.26,120.11,131.85,25.58,157.43,3.6,153.83,153.83,45.6,108.23,108.23,79.7,2.72,2.72,24.77,62.16,15.08,100.0,37.84
2014-09-30,1481.6,1481.6,740.9,40.83,182.35,120.83,91.03,24.87,142.37,138.42,39.02,177.44,3.88,173.56,173.56,49.25,124.31,124.31,79.7,3.12,3.12,24.77,62.16,15.08,100.0,37.84
2014-12-31,1309.39,1309.39,847.83,85.78,-150.0,137.53,93.34,25.68,153.77,115.46,35.25,150.71,4.31,146.4,146.4,42.93,103.47,103.47,79.7,2.6,2.6,24.77,62.16,15.08,100.0,37.84
2015-03-31,1290.38,1290.38,678.1,18.14,104.37,123.7,107.17,22.85,156.67,79.38,26.96,106.34,6.22,100.12,100.12,35.62,64.5,64.5,79.7,1.62,1.62,24.77,62.16,15.08,100.0,37.84
