Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Long Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,79.74,79.74,671.53,671.53,751.27,856.88,456.61,0.0,0.0,1313.48,534.1,633.04,72.07,60.55,1299.75,3364.5,1723.69,0.0,2.89,1726.58,120.88,318.76,4.72,2170.93,372.81,533.57,41.54,245.65,0.0,1193.57,3364.5,69.0,542.44,0.0,0.0,0.0,8.61,80.86,31.24,258.45,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,79.74,79.74,807.6,807.6,887.34,780.46,450.72,0.0,0.0,1231.18,378.9,553.11,94.04,83.4,1109.46,3227.98,1575.68,0.66,5.84,1582.17,129.13,217.79,1.62,1930.7,383.65,587.4,55.34,270.89,0.0,1297.28,3227.98,102.7,643.25,0.0,0.0,0.0,5.25,176.48,31.24,372.19,25.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,79.74,79.74,1060.51,1060.51,1140.25,251.66,385.23,0.0,0.0,636.9,834.05,546.14,75.48,118.53,1574.2,3351.35,1447.26,0.74,6.33,1454.33,129.85,49.28,0.57,1634.04,535.06,904.04,25.18,253.04,0.0,1717.31,3351.35,100.95,879.8,0.0,0.0,0.54,5.57,206.76,31.24,502.82,25.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,79.7,79.7,1285.51,1285.51,1365.2,118.41,353.67,0.0,0.0,472.09,846.38,342.55,80.82,126.44,1396.18,3233.47,1328.58,0.98,6.22,1335.78,139.31,27.64,0.0,1502.73,538.04,778.93,194.46,219.31,0.0,1730.74,3233.47,73.36,1121.47,0.0,0.0,1.52,16.93,71.83,31.24,411.87,37.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,79.7,79.7,1393.64,1393.64,1473.34,54.26,328.07,0.0,0.0,382.33,505.24,363.05,62.48,256.95,1187.73,3043.4,1256.47,1.0,11.95,1269.41,221.34,65.07,0.0,1555.82,624.05,559.2,81.92,222.41,0.0,1487.58,3043.4,147.25,1271.88,0.0,0.0,0.0,19.17,33.71,31.24,653.98,108.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,79.7,79.7,1851.78,1851.78,1931.47,16.52,312.22,0.0,0.0,328.74,307.47,417.55,51.41,426.43,1202.86,3463.07,1201.31,1.01,50.95,1253.26,606.09,140.58,0.0,1999.94,745.58,480.68,38.14,198.74,0.0,1463.14,3463.07,122.13,2766.19,0.0,0.0,8.4,32.03,72.6,31.24,304.35,497.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,79.7,79.7,2064.43,2064.43,2144.12,7.06,282.17,0.0,0.0,289.23,680.52,362.24,59.48,388.94,1491.18,3924.53,1080.46,1.02,181.9,1263.38,424.98,132.47,0.0,1820.83,611.1,621.58,60.12,810.91,0.0,2103.7,3924.53,184.19,1371.92,0.0,0.0,0.0,80.19,83.33,31.24,647.2,316.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,79.7,79.7,2748.96,2748.96,2828.65,0.0,204.33,0.0,201.21,405.54,392.33,307.39,231.75,167.44,1098.9,4333.1,1261.16,0.12,233.2,1494.48,424.98,0.0,42.78,2204.88,564.79,865.46,612.67,57.07,28.22,2128.22,4333.1,387.48,1355.9,11.85,0.0,26.13,53.36,83.68,31.24,534.98,316.68,242.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,79.7,79.7,3437.06,3437.06,3516.76,0.0,247.4,0.0,191.08,438.47,616.99,492.06,239.31,262.81,1611.17,5566.4,1425.08,0.08,345.5,1770.67,432.73,0.0,40.73,2462.14,642.34,1426.54,897.55,63.87,73.95,3104.26,5566.4,487.66,1537.48,17.63,0.0,1.29,8.52,145.0,31.24,434.18,324.43,218.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,79.7,79.7,3861.92,3861.92,3941.61,239.31,239.18,0.0,197.24,675.73,1265.79,537.76,208.35,288.4,2300.3,6917.64,1358.67,9.36,684.07,2052.1,672.42,0.0,32.12,2964.59,687.83,2908.36,163.22,142.81,50.83,3953.06,6917.64,899.85,1359.42,27.7,0.0,0.98,28.19,78.49,31.24,695.28,326.43,207.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,79.7,79.7,4110.85,4110.85,4190.55,224.37,261.66,0.0,162.97,649.01,524.54,535.48,325.26,284.87,1670.14,6509.69,2007.78,8.52,184.99,2201.3,827.42,0.0,35.3,3280.52,691.19,1984.09,386.39,108.39,59.11,3229.17,6509.69,730.07,1196.06,53.68,178.27,40.36,36.85,46.52,31.24,481.58,481.43,216.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,79.7,79.7,4384.51,4384.51,4464.21,191.95,276.15,0.0,174.72,642.81,510.68,347.98,280.76,283.13,1422.55,6529.57,1948.49,9.43,259.89,2217.81,857.73,0.0,38.4,3353.23,631.92,1972.37,354.99,148.37,68.71,3176.35,6529.57,1047.91,1021.06,11.5,312.27,5.83,12.39,41.3,31.24,482.69,511.74,239.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,79.7,79.7,5426.23,5426.23,5505.92,106.13,151.26,0.0,399.91,657.31,1084.22,561.13,443.45,85.01,2173.81,8337.04,1643.43,9.37,403.45,2056.24,1694.07,0.0,442.74,4302.8,584.94,3289.61,40.33,16.71,102.66,4031.16,8337.04,982.2,1349.49,9.55,638.14,4.77,35.96,31.34,31.24,1078.53,615.55,109.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,79.7,79.7,6495.46,6495.46,6575.16,51.87,76.51,0.0,494.38,622.76,701.5,599.93,436.68,92.48,1830.59,9028.51,2012.36,6.6,271.68,2290.64,2478.68,0.0,513.01,5282.34,703.21,799.88,53.67,149.05,2040.36,3746.17,9028.51,1245.28,0.0,0.0,0.0,0.0,0.0,0.0,31.24,1949.82,528.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,79.7,79.7,7182.25,7182.25,7261.95,200.0,50.46,0.0,468.55,719.0,840.9,823.79,495.44,98.92,2259.05,10240.01,2101.07,3.77,761.33,2866.17,2740.46,0.0,505.67,6112.3,806.4,967.08,62.15,160.1,2131.98,4127.7,10240.01,895.07,1608.31,20.39,541.95,188.61,6.76,47.57,31.24,2299.07,441.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,79.7,79.7,7188.15,7188.15,7267.84,146.67,20.07,0.0,471.9,638.64,868.69,999.51,471.16,105.37,2444.74,10351.22,2810.3,2.97,187.02,3000.29,2315.29,0.0,476.38,5791.97,1430.26,951.06,49.0,174.46,1954.48,4559.25,10351.22,940.96,1990.34,37.4,1505.73,12.57,16.96,66.14,31.24,1937.2,378.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,79.7,79.7,6718.15,6718.15,6797.85,93.33,0.0,0.0,801.46,894.79,1412.41,406.97,378.96,133.3,2331.65,10024.29,2893.6,1.48,106.85,3001.93,2023.4,67.63,504.09,5597.05,1262.64,2722.76,25.21,192.27,224.35,4427.23,10024.29,1090.9,120.39,9.63,970.05,0.0,36.41,99.69,31.24,1610.17,413.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,79.7,79.7,9064.45,9064.45,9144.15,0.0,239.74,0.0,651.6,891.34,35.01,452.45,320.99,132.07,940.53,10976.01,2796.78,1.51,116.99,2915.29,4283.62,0.0,410.99,7609.89,908.04,1014.12,212.09,214.08,1017.78,3366.12,10976.01,1004.24,1982.49,2.3,43.23,14.37,10.07,106.94,31.24,3772.97,510.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
