Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-12-31,467.12,467.12,107.39,8.08,-0.72,126.25,22.16,0.0,114.78,89.18,7.64,96.82,6.98,89.84,0.0,89.84,21.69,68.15,68.15,50.64,2.69,2.69
2022-03-31,411.07,411.07,95.44,7.5,-0.8,124.86,22.0,-1.25,118.44,44.87,12.15,57.03,6.49,50.53,0.0,50.53,12.43,38.11,38.11,50.64,1.5,1.5
2022-06-30,472.67,472.67,106.18,9.44,-0.85,131.9,21.84,4.68,120.51,78.98,7.88,86.86,6.65,80.21,0.0,80.21,22.01,58.2,58.2,53.64,2.17,0.0
2022-09-30,494.08,494.08,105.1,7.72,1.39,134.85,22.27,0.0,141.86,80.87,13.18,94.05,6.64,87.41,0.0,87.41,22.09,65.32,65.32,50.66,2.58,2.58
2022-12-31,489.79,489.79,106.35,8.15,0.95,133.61,21.62,0.0,145.25,73.86,12.52,86.39,6.49,79.89,0.0,79.89,21.12,58.77,58.77,53.64,2.25,2.25
2023-03-31,502.91,502.91,112.47,10.6,-1.9,131.28,20.35,2.78,144.85,82.47,28.1,110.57,6.38,104.19,0.0,104.19,23.24,80.96,80.96,53.64,3.02,3.02
2023-06-30,544.59,544.59,120.33,11.15,-1.02,145.72,20.43,0.0,159.06,88.92,33.2,122.12,6.38,115.74,0.0,115.74,29.53,86.21,86.21,53.65,3.21,3.21
2023-09-30,580.15,580.15,126.57,11.13,0.04,148.58,21.54,0.0,165.52,106.76,26.24,133.0,6.11,126.89,0.0,126.89,31.8,95.1,95.1,53.68,3.54,3.54
2023-12-31,561.68,561.68,125.45,10.11,0.52,147.12,21.73,0.0,155.96,100.8,25.83,126.63,5.76,120.87,0.0,120.87,33.53,87.34,87.34,53.69,3.25,3.25
2024-03-31,578.65,578.65,133.8,9.95,-0.16,149.17,23.39,10.78,152.89,98.83,32.55,131.38,6.21,125.17,0.0,125.17,32.93,92.24,92.24,53.7,3.43,3.43
2024-06-30,611.45,611.45,140.56,11.69,-0.52,157.5,23.3,0.0,169.92,109.0,26.7,135.7,5.95,129.74,0.0,129.74,33.46,96.28,96.28,53.7,3.58,3.58
2024-09-30,664.61,664.61,152.11,11.78,0.22,168.1,24.91,0.0,182.09,125.4,23.58,148.98,5.37,143.61,0.0,143.61,39.14,104.47,104.47,53.71,3.89,3.89
2024-12-31,624.4,624.4,148.92,11.09,-0.27,158.23,23.44,0.0,166.91,116.09,22.17,138.25,5.94,132.31,0.0,132.31,33.01,99.31,99.31,53.72,3.7,3.7
2025-03-31,802.87,802.87,172.38,5.82,3.21,185.42,37.98,0.0,240.85,157.22,25.67,182.88,7.1,175.78,-49.9,125.89,32.48,93.41,93.41,53.72,3.48,3.48
