Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Revaluation Reserves,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,29.67,29.67,247.95,255.57,285.25,41.08,0.0,0.0,264.72,76.72,132.39,1.93,17.96,228.99,778.97,259.58,0.0,16.47,0.0,276.04,24.03,0.0,35.86,340.86,0.0,163.18,186.14,10.69,78.09,0.0,438.11,778.97,43.38,98.83,287.1,0.41,1.96,93.02,19.09,0.0,223.65,0.0,3.68,8.8,7.62,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,29.67,29.67,163.15,170.44,200.11,28.01,0.0,0.0,278.64,104.86,154.67,3.43,31.31,294.26,773.0,231.93,0.36,16.67,0.0,248.97,69.03,0.0,0.0,321.62,0.0,171.22,202.63,14.25,63.28,0.0,451.38,773.0,47.69,90.69,340.25,0.61,1.96,172.99,21.36,0.0,250.62,0.0,3.24,8.1,7.29,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,29.67,29.67,236.04,243.33,273.01,27.43,0.0,0.0,240.59,135.65,171.44,2.97,33.35,343.41,857.0,226.8,4.44,42.07,0.0,273.31,65.15,0.0,0.0,348.76,0.0,209.28,222.37,13.79,62.81,0.0,508.24,857.0,95.76,133.74,414.54,0.0,1.96,167.47,14.91,0.0,213.15,0.0,1.33,9.49,7.29,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,29.67,29.67,262.48,269.77,299.44,27.1,0.0,0.0,256.6,138.44,192.3,2.81,24.37,357.93,913.98,233.7,5.79,55.38,0.0,294.86,65.13,0.0,0.0,371.62,0.0,172.32,258.9,37.13,74.0,0.0,542.36,913.98,109.47,105.39,463.89,0.0,1.96,100.81,14.89,0.0,229.51,0.0,1.67,9.55,7.29,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,29.67,29.67,282.08,396.84,426.52,28.27,0.0,0.0,292.1,164.55,221.42,1.83,24.7,412.51,1131.13,365.33,5.9,61.89,0.0,433.12,65.13,0.0,0.0,503.8,0.0,209.28,281.11,23.35,113.59,0.0,627.33,1131.13,101.72,168.83,485.74,0.0,1.96,98.7,14.89,0.0,263.84,0.0,1.78,10.68,114.76,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,29.67,29.67,316.35,429.05,458.73,30.99,0.0,0.0,329.28,69.62,188.57,2.36,25.35,285.9,1073.9,420.58,6.75,15.68,0.0,443.02,65.13,0.0,0.0,521.41,0.0,196.68,222.67,23.3,109.84,0.0,552.49,1073.9,107.14,198.85,560.83,0.0,1.96,98.7,14.89,0.0,298.29,0.0,9.67,15.13,112.7,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,29.68,29.68,344.29,454.93,484.61,29.05,0.0,0.0,275.38,48.45,260.09,3.27,49.89,361.7,1121.69,404.02,8.22,11.41,0.0,423.65,65.02,0.0,0.0,495.14,0.0,211.29,270.61,14.84,129.81,0.0,626.55,1121.69,122.64,158.3,491.25,0.0,1.96,159.63,14.78,0.0,246.33,0.0,0.8,11.74,110.64,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,29.68,29.68,428.83,537.41,567.09,23.06,0.0,2.6,136.02,161.27,223.46,106.02,52.01,542.76,1245.87,389.26,0.81,29.46,0.0,419.53,83.32,26.66,24.46,553.97,0.0,261.39,299.54,15.15,102.82,13.0,691.9,1245.87,138.88,332.88,636.84,0.0,1.96,192.27,33.08,0.0,110.36,2.84,2.16,20.09,108.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,29.68,29.68,505.73,612.25,641.93,22.31,0.0,3.33,170.54,199.63,275.64,104.97,53.35,633.59,1446.06,417.55,0.22,55.95,0.0,473.72,125.0,28.11,27.56,654.39,0.0,292.99,368.22,17.46,95.49,17.51,791.67,1446.06,134.44,309.54,777.55,0.0,1.96,198.05,73.51,0.0,144.9,11.03,5.47,12.82,106.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,29.68,29.68,621.95,726.41,756.09,27.16,0.0,5.04,186.63,160.45,275.32,102.91,45.99,584.67,1527.39,480.45,0.0,45.93,0.0,526.38,128.56,31.58,40.99,727.51,0.0,307.53,361.6,7.84,106.0,16.91,799.88,1527.39,157.9,313.91,952.4,0.0,1.96,197.27,78.36,0.0,154.43,10.98,4.45,21.39,104.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
