Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2008-03-31,10.79,10.79,208.33,208.33,0.0,219.12,9.17,1.1,0.0,0.0,10.27,0.0,0.0,83.82,43.66,127.49,356.87,58.59,0.0,1.17,0.0,0.0,59.76,16.52,0.0,0.0,0.03,76.31,0.0,93.65,59.6,57.47,69.83,0.0,280.56,356.87,0.0,0.63,0.0,0.0,0.0,0.0,11.52,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,14.84,14.84,318.76,318.76,0.0,333.59,7.27,1.81,0.0,0.0,9.09,0.0,0.0,107.16,64.6,171.76,514.44,58.26,0.0,0.21,0.0,0.0,58.47,90.08,0.0,0.0,0.07,148.62,0.0,116.63,70.77,59.61,118.81,0.0,365.81,514.44,0.0,0.92,0.0,0.0,4.05,0.0,3.53,0.0,0.0,7.41,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,14.84,14.84,485.0,485.0,0.0,499.84,3.71,2.07,0.0,0.0,5.78,0.0,0.0,154.26,78.99,233.24,738.86,84.62,0.0,7.3,0.0,0.0,91.92,156.42,0.0,0.0,0.0,248.34,0.0,153.55,93.3,99.55,144.12,0.0,490.52,738.86,2.43,8.59,0.0,0.0,4.05,152.79,3.65,0.0,0.0,0.69,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.03,20.03,900.69,900.69,0.0,920.72,0.0,6.4,20.11,1.98,28.49,0.0,203.89,51.51,219.13,474.53,1423.74,166.52,11.2,0.0,0.09,0.0,178.15,27.01,0.0,110.92,67.05,383.14,149.15,361.73,141.39,89.15,299.18,0.0,1040.6,1423.74,0.0,1.56,0.74,0.0,5.19,6.29,20.35,149.7,0.0,0.0,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,20.03,20.03,1191.26,1191.26,0.0,1211.29,0.0,6.11,21.27,2.08,29.46,0.0,149.57,65.19,325.58,540.34,1781.09,190.95,11.6,0.0,1.35,0.0,208.99,87.66,0.0,167.59,64.77,529.02,350.46,312.67,112.41,104.51,372.02,0.0,1252.07,1781.09,0.0,2.64,2.16,0.0,5.19,9.01,80.11,353.39,0.0,1.18,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,20.03,20.03,1535.47,1535.47,0.0,1555.5,0.0,4.45,22.07,4.84,31.36,0.03,175.79,108.74,309.42,593.98,2180.84,195.37,7.31,0.0,1.11,0.0,224.06,109.51,0.0,218.84,16.05,568.46,689.05,337.19,131.59,99.96,354.58,0.0,1612.38,2180.84,0.0,3.81,3.71,0.0,5.19,7.01,102.5,694.23,0.0,9.66,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,20.03,20.03,1938.62,1938.62,0.0,1958.65,0.04,0.29,23.41,9.88,33.62,0.0,193.61,112.56,468.21,774.38,2766.65,216.64,4.91,0.0,3.5,0.0,265.94,256.01,0.0,200.99,181.56,904.5,688.47,436.41,169.01,26.73,541.53,0.0,1862.15,2766.65,0.0,4.94,90.62,0.0,5.19,0.0,256.01,731.4,2.41,0.02,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,20.03,20.03,2046.56,2046.56,0.0,2066.59,0.0,0.0,0.0,14.9,14.9,0.0,326.67,67.37,1.46,395.49,2476.98,241.45,6.11,0.0,0.0,0.0,324.14,315.49,1.26,552.76,0.17,1193.82,533.16,410.15,157.39,71.81,95.81,14.83,1283.15,2476.98,0.0,9.41,11.43,33.05,5.19,0.0,315.49,571.05,0.0,0.0,0.98,15.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,20.03,20.03,2618.66,2618.66,0.0,2638.69,0.0,39.21,4.92,21.72,65.85,0.0,368.49,85.11,12.29,465.89,3170.43,474.44,6.99,141.12,0.0,187.85,810.39,291.83,0.0,0.0,234.13,1336.36,694.41,522.26,137.3,91.95,320.75,67.4,1834.07,3170.43,0.0,0.0,0.0,24.04,5.19,0.0,291.83,0.0,694.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,40.06,40.06,2956.89,2956.89,0.0,2996.95,0.0,29.08,7.56,25.61,62.25,360.0,452.33,113.71,40.98,967.03,4026.22,506.01,6.43,322.41,0.0,11.4,846.25,854.07,0.0,0.0,66.9,1767.22,547.66,468.81,242.52,81.35,358.87,559.8,2259.0,4026.22,110.63,32.31,0.0,90.04,5.19,0.0,854.07,0.0,547.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,40.06,40.06,3024.76,3024.76,0.0,3064.82,0.0,18.0,10.18,32.43,60.6,190.0,397.89,81.32,77.32,746.53,3871.95,762.16,5.36,211.11,0.0,10.39,989.02,1383.85,60.13,0.0,37.2,2470.21,314.17,481.5,149.78,72.48,251.34,132.48,1401.75,3871.95,0.0,4723000.0,0.0,4677000.0,5.19,0.0,1383.85,0.0,314.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,40.06,40.06,3611.39,3611.39,0.0,3651.45,0.0,0.0,17.47,46.41,63.89,0.0,487.23,159.31,169.23,815.77,4531.11,917.35,21.9,143.93,3.69,5.51,1092.39,1389.51,21.05,0.0,79.56,2582.5,394.16,533.48,418.62,197.95,211.88,192.51,1948.6,4531.11,0.0,31950.0,0.0,52160.0,5.19,0.0,1389.51,0.0,394.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,40.06,40.06,4694.21,4694.21,0.0,4734.27,0.0,0.0,10.77,56.39,67.15,95.0,594.08,203.04,186.79,1078.91,5880.33,965.38,16.58,165.51,0.06,5.46,1152.98,1500.86,13.04,0.0,123.47,2790.35,896.03,826.91,369.17,476.95,227.17,293.75,3089.98,5880.33,0.0,65.28,0.0,192.42,5.19,0.0,1500.86,0.0,896.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,40.06,40.06,6028.72,6028.72,0.0,6068.77,2.44,35.71,15.23,62.69,116.06,685.45,924.88,383.04,234.63,2228.01,8412.85,1039.87,1841.27,355.28,31.28,5.38,3273.08,1760.67,0.0,0.0,122.32,5156.07,387.77,1225.79,517.29,73.19,145.75,906.98,3256.78,8412.85,275.47,102.84,0.0,195.02,5.19,0.0,1760.67,387.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,40.06,40.06,7743.85,7743.85,0.0,7783.91,0.0,55.85,23.4,88.87,168.12,0.0,801.96,322.53,294.59,1419.09,9371.12,1435.81,1701.08,437.83,56.95,5.32,3637.0,2040.76,0.0,0.0,176.45,5854.21,1061.47,1032.22,492.64,155.15,98.34,677.09,3516.91,9371.12,168.37,87.07,0.0,179.52,5.19,0.0,2040.76,1061.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,40.06,40.06,9560.5,9560.5,23.25,9623.81,0.0,71.59,17.16,111.79,200.54,0.0,849.52,370.73,373.11,1593.36,11417.71,1811.33,1587.75,112.88,74.7,5.27,3591.92,2190.62,0.0,8.74,136.01,5927.3,2239.51,1075.59,749.47,761.01,39.92,624.91,5490.41,11417.71,449.91,164.91,0.0,649.5,5.19,0.0,2190.62,2239.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
