Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-03-31,1644.82,1644.82,219.92,620.53,-271.04,372.86,36.41,0.0,393.34,272.79,8.15,280.94,10.61,270.32,270.32,52.84,217.48,0.0,217.48,40.06,5.43,5.43
2022-06-30,2061.25,2061.25,179.44,479.69,74.83,409.59,65.22,0.0,497.32,355.16,18.78,373.94,9.43,364.51,364.51,66.35,298.16,0.0,298.16,40.06,7.44,7.44
2022-09-30,2257.55,2257.55,206.28,462.17,143.32,440.23,66.04,0.0,483.21,456.3,69.15,525.45,8.19,517.25,517.25,97.02,420.23,0.0,420.23,40.06,10.49,10.49
2022-12-31,1936.23,1936.23,161.4,460.35,28.74,420.49,71.02,0.0,491.76,302.48,32.4,334.88,9.24,325.64,325.64,76.76,248.87,0.0,248.87,40.06,6.21,6.21
2023-03-31,1872.12,1872.12,163.93,463.62,21.0,431.07,67.3,0.0,411.34,313.86,42.46,356.32,0.88,355.43,355.43,74.45,280.99,0.0,280.99,40.06,7.01,7.01
2023-06-30,2300.21,2300.21,213.41,555.98,19.91,481.2,68.54,0.0,490.24,470.93,57.44,528.36,1.97,526.39,526.39,117.11,409.28,0.0,409.28,40.06,10.22,10.21
2023-09-30,2453.35,2453.35,229.96,538.46,-2.08,500.29,77.04,0.0,551.52,558.15,58.12,616.27,4.31,611.96,611.96,139.08,472.88,0.0,472.88,40.06,11.8,11.79
2023-12-31,2358.57,2358.57,205.21,500.36,24.14,492.68,89.73,0.0,533.07,513.38,67.23,580.61,4.26,576.35,576.35,89.28,487.07,0.0,487.07,40.06,12.16,12.14
2024-03-31,2152.69,2152.69,213.15,477.13,-67.33,507.93,82.29,0.0,474.47,465.04,83.85,548.89,4.03,544.86,544.86,90.69,454.17,0.0,454.17,40.06,11.34,11.32
2024-06-30,2403.26,2403.26,204.24,503.96,-21.71,522.1,83.4,0.0,622.47,488.8,94.83,583.63,6.26,577.37,577.37,93.12,484.25,29.24,513.49,40.06,12.82,12.8
2024-09-30,2529.74,2529.74,182.12,484.31,36.94,525.86,85.42,0.0,548.48,666.61,105.76,772.37,1.92,770.45,770.45,168.01,602.44,31.99,634.43,40.06,15.83,15.8
2024-12-31,2396.57,2396.57,179.72,445.6,34.08,521.79,87.03,0.0,474.45,653.9,69.82,723.72,199.47,524.25,524.25,107.87,416.38,0.0,416.38,40.06,10.35,10.33
2025-03-31,2126.59,2126.59,216.76,384.25,-43.53,536.75,105.24,15.82,539.62,371.68,219.32,591.0,162.25,428.75,428.75,46.29,382.46,0.0,382.46,41.26,9.27,9.25
