Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2011-03-31,30.7,34.37,68.37,68.37,0.0,102.74,0.0,806.98,569.28,13.38,1389.63,54.03,107.62,684.57,580.86,1427.08,2919.45,831.01,0.13,0.0,0.0,831.14,0.0,0.82,126.87,11.9,970.73,802.24,44.67,16.66,775.69,249.13,60.32,1948.72,2919.45,11317.01,0.0,0.0,0.0,0.0,0.0,0.0,802.24,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,30.7,34.37,208.96,208.96,0.0,243.33,0.0,905.55,1154.22,15.83,2075.6,30.56,158.48,1120.44,18.65,1328.13,3647.06,881.31,4.7,0.0,0.0,886.01,0.0,66.51,297.31,88.53,1338.36,523.42,37.39,38.92,1308.83,317.95,82.2,2308.7,3647.06,54459.72,0.0,0.0,0.0,0.0,0.0,0.0,523.42,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,30.7,34.37,354.68,354.68,0.0,389.05,0.0,1617.33,1891.24,23.16,3585.45,81.43,264.79,1500.99,30.79,1878.0,5852.49,1754.79,9.67,6.85,0.0,1771.31,0.04,0.0,524.7,485.77,2781.81,1138.34,52.28,68.52,1340.59,358.66,112.3,3070.68,5852.49,55351.95,0.0,0.0,0.0,0.0,0.0,0.04,1138.34,3.67,53.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,30.7,34.37,387.37,387.37,0.0,421.74,0.0,3080.74,2661.22,36.83,5831.65,0.0,382.76,2002.78,464.51,2850.05,9103.44,3940.72,15.25,0.0,0.0,3955.97,0.05,0.0,801.21,1431.52,6188.74,1271.48,67.29,89.12,1101.53,223.13,162.14,2914.69,9103.44,57923.22,0.0,0.0,0.0,0.0,0.0,0.05,1271.48,3.67,52.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,30.7,34.37,386.32,386.32,0.0,424.37,0.0,3588.4,3348.7,52.29,7398.52,0.0,475.48,2320.7,152.85,2949.03,10768.25,4866.4,9.64,0.45,0.0,4876.49,0.05,0.0,1118.13,1605.56,7600.23,516.75,130.55,104.55,1999.38,155.56,261.22,3168.01,10768.25,58804.48,0.0,0.0,0.0,0.0,0.0,0.05,516.75,3.67,409.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,360.36,360.36,2362.83,2362.83,0.0,2723.18,0.0,3007.07,2975.02,86.23,6215.1,0.0,741.23,2882.44,56.74,3680.41,12618.69,4727.43,19.97,23.73,8.23,4779.37,0.03,0.0,421.72,1810.06,7011.18,986.13,76.28,157.11,3718.67,9.05,660.27,5607.51,12618.69,148787.84,4667.62,533.19,1148.47,0.0,309.34,0.03,986.13,0.0,146.78,118.32,108.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,361.47,361.47,3417.75,3417.75,0.0,3779.22,0.0,2395.71,3966.02,122.39,6645.93,0.0,774.59,3943.31,66.71,4784.61,15209.76,3747.47,46.37,23.3,1.88,3819.03,0.03,0.0,544.03,1400.27,5763.35,3713.41,163.15,158.7,4632.54,3.98,774.63,9446.41,15209.76,143536.88,0.0,0.0,0.0,0.0,309.34,0.03,3713.41,0.0,161.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,384.41,384.41,6693.04,6693.04,0.0,7077.45,0.0,2241.37,5121.12,196.89,7928.91,0.0,1000.16,5019.58,103.25,6122.99,21129.34,4534.76,44.05,29.42,3.07,4611.3,0.13,0.0,683.13,1203.28,6497.84,6343.91,183.23,226.32,6580.6,191.5,1105.95,14631.5,21129.34,150374.33,7554.56,0.0,1852.88,0.0,309.34,0.13,6343.91,0.0,369.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,384.41,384.41,6513.82,6513.82,40.68,6938.91,5.88,2193.67,7536.77,273.65,10068.5,0.0,1455.24,6379.66,163.54,7998.44,25011.73,5631.55,30.49,22.02,1.61,5685.67,0.13,0.0,583.91,638.73,6908.44,6516.57,211.44,362.47,8606.36,466.96,1939.5,18103.3,25011.73,153366.31,10821.64,0.0,0.0,2858.5,309.34,0.13,6516.57,0.0,64.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,384.8,384.8,5461.25,5461.25,10.51,5856.56,5.88,346.59,18875.6,553.32,19775.51,0.0,1565.47,13449.96,1395.09,16410.51,42048.46,16744.61,33.59,129.27,10.97,16918.44,0.19,294.94,1274.15,1149.28,19637.0,9499.17,286.13,259.61,10829.41,455.12,1082.02,22411.46,42048.46,320857.87,15173.42,0.0,0.0,4544.71,309.34,0.19,9499.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,384.91,384.91,-354.9,-354.9,35.02,65.03,5.88,381.63,23082.68,537.27,24001.57,2124.0,1556.06,13614.98,1606.74,18901.77,42974.25,18782.24,33.23,66.35,5.39,18887.21,0.19,294.94,1578.83,1452.54,22213.72,7289.98,316.42,219.17,11227.06,128.6,1579.31,20760.53,42974.25,293933.59,11054.18,0.0,0.0,1681.76,309.25,0.19,7289.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,385.26,385.26,-6474.98,-6474.98,48.56,-6041.17,5.88,416.17,28527.66,566.24,29510.07,3480.57,3151.91,14994.47,758.39,22385.33,45860.11,21260.67,21.4,119.32,5.99,21407.37,0.12,294.94,0.0,4010.58,25713.02,8032.49,408.06,332.92,10116.52,0.0,1257.09,20147.09,45860.11,296780.14,14080.68,0.0,0.0,2762.04,309.25,0.12,8032.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,385.55,385.55,-6742.68,-6742.68,48.12,-6309.02,5.88,0.0,40228.74,1303.24,41531.98,2252.34,3212.98,18060.96,287.57,23813.85,59042.68,27639.3,10.67,0.0,20.77,27670.74,0.18,294.94,0.0,5005.48,32971.34,11514.17,591.07,519.9,11810.57,0.0,1635.63,26071.35,59042.68,309497.77,19172.64,0.0,0.0,8138.22,309.25,0.18,11514.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,385.98,385.98,1545.95,1545.95,0.0,1931.93,0.0,0.0,47199.66,2192.14,49391.8,1891.71,3186.64,25084.71,582.03,30745.1,82068.82,35988.55,48.02,0.14,1.34,36038.05,974.96,419.19,85.24,8798.83,46316.26,15478.2,624.8,642.52,16709.34,12.5,2285.21,35752.56,82068.82,615184.43,23765.81,0.0,0.0,10349.46,309.25,974.96,15478.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
