Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,758.0,2.9,760.9,391.5,35.7,7.3,37.0,8.0,37.7,82.3,161.4,15.2,176.6,1.0,175.6,0.0,175.6,57.7,117.9,117.9,494.6,2.38,2.38,14.33,28.97,35.13,100.0,71.03
2013-03-31,781.4,3.3,784.7,419.3,31.8,-8.2,33.5,7.1,54.5,82.1,164.6,21.2,185.8,0.5,185.3,0.0,185.3,61.0,124.3,124.3,494.6,2.51,2.51,14.33,28.97,35.13,100.0,71.03
2013-06-30,858.8,3.2,862.0,430.5,32.7,0.6,38.5,7.3,68.3,97.6,186.5,19.4,205.9,0.3,205.6,19.8,225.4,71.8,153.6,153.6,494.6,3.11,3.11,14.33,28.97,35.13,100.0,71.03
2013-09-30,719.6,3.8,723.4,400.3,31.0,-22.2,43.2,7.9,42.7,78.5,142.0,15.9,157.9,0.1,157.8,3.0,160.8,56.3,104.5,104.5,494.6,2.11,2.11,14.33,28.97,35.13,100.0,71.03
2013-12-31,806.3,3.2,809.5,431.3,43.0,-1.6,30.8,8.2,50.9,82.9,164.0,27.1,191.1,0.8,190.3,0.0,190.3,64.1,126.2,126.2,494.6,2.55,2.55,14.33,28.97,35.13,100.0,71.03
2014-03-31,815.1,1.9,817.0,458.7,36.4,-6.9,39.1,8.4,62.1,81.4,137.8,15.6,153.4,0.4,153.0,0.0,153.0,52.8,100.2,100.2,247.3,2.03,2.03,14.33,28.97,35.13,100.0,71.03
2014-06-30,910.3,3.4,913.7,461.6,48.0,12.5,43.3,8.4,71.4,89.5,179.0,10.2,189.2,0.4,188.8,0.0,188.8,64.4,124.4,124.4,247.3,2.52,2.52,14.33,28.97,35.13,100.0,71.03
2014-09-30,799.5,2.8,802.3,420.4,40.2,-10.1,41.9,8.4,48.6,85.2,167.7,11.5,179.2,1.0,178.2,0.0,178.2,60.3,117.9,117.9,247.3,2.38,2.38,14.33,28.97,35.13,100.0,71.03
2014-12-31,855.9,3.4,859.3,419.8,35.6,21.3,37.3,10.9,51.2,87.1,196.1,10.8,206.9,0.6,206.3,0.0,206.3,74.3,132.0,132.0,247.3,2.67,2.67,14.33,28.97,35.13,100.0,71.03
2015-03-31,795.8,3.4,799.2,383.7,35.6,-17.1,42.2,11.1,75.9,88.2,179.6,43.5,223.1,0.3,222.8,0.0,222.8,76.1,146.7,146.7,247.3,2.97,2.97,14.33,28.97,35.13,100.0,71.03
2015-06-30,920.2,3.4,923.6,371.6,64.5,8.0,44.5,9.4,60.4,98.4,266.8,15.2,282.0,0.2,281.8,0.0,281.8,97.3,184.5,184.5,247.3,3.73,3.73,14.33,28.97,35.13,100.0,71.03
2015-09-30,781.1,3.2,784.3,335.2,54.9,-8.2,46.7,9.4,49.6,90.2,206.5,14.9,221.4,0.1,221.3,0.0,221.3,78.1,143.2,143.2,247.3,2.9,2.9,14.33,28.97,35.13,100.0,71.03
2015-12-31,788.2,2.7,790.9,297.9,42.6,32.1,43.2,9.1,53.6,109.5,202.9,22.3,225.2,0.2,225.0,0.0,225.0,84.2,140.8,140.8,247.3,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2016-03-31,855.7,0.0,855.7,352.2,47.5,-7.8,44.1,8.6,0.0,164.5,246.6,18.7,265.3,0.4,264.9,0.0,264.9,92.5,172.4,172.4,247.3,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2016-06-30,967.9,2.9,970.8,350.8,72.9,-5.8,42.6,14.9,80.7,112.3,302.4,17.3,319.7,0.7,319.0,0.0,319.0,112.1,206.9,206.9,247.3,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,758.9,2.8,761.7,311.6,48.8,-2.2,45.8,10.7,55.2,89.6,202.2,15.5,217.7,0.1,217.6,0.0,217.6,77.8,139.8,139.8,247.3,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2016-12-31,779.1,3.1,782.2,305.7,57.1,0.8,40.1,10.8,49.2,109.8,208.7,35.8,244.5,0.3,244.2,0.0,244.2,88.4,155.8,155.8,247.3,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,882.2,0.0,882.2,364.9,66.5,-27.2,49.8,12.3,0.0,164.9,251.0,18.5,269.5,0.3,269.2,0.0,269.2,90.2,179.0,179.0,247.3,3.62,3.62,0.0,0.0,0.0,0.0,0.0
2017-06-30,870.4,0.0,870.4,388.7,51.9,-11.2,48.9,11.8,0.0,182.6,197.7,15.5,213.2,0.1,213.1,0.0,213.1,75.2,137.9,137.9,247.3,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2017-09-30,861.4,0.0,861.4,351.6,31.3,10.7,46.2,11.1,0.0,168.0,242.5,33.3,275.8,0.2,275.6,0.0,275.6,97.4,178.2,178.2,247.28,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2017-12-31,970.3,0.0,970.3,369.5,47.0,22.3,50.7,10.3,0.0,174.2,296.3,16.4,312.7,0.6,312.1,0.0,312.1,115.4,196.7,196.7,494.6,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2018-03-31,927.1,0.0,927.1,412.3,48.0,-30.9,46.9,14.3,0.0,176.5,260.0,22.8,282.8,0.7,282.1,0.0,282.1,100.3,181.8,181.8,494.6,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2018-06-30,1017.2,0.0,1017.2,450.9,64.5,1.9,52.5,13.2,0.0,195.7,238.5,17.3,255.8,0.3,255.5,0.0,255.5,91.3,164.2,164.2,494.6,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2018-09-30,926.9,0.0,926.9,455.3,48.8,-30.9,48.1,13.5,0.0,178.2,213.9,18.6,232.5,-0.2,232.7,0.0,232.7,82.3,150.4,150.4,494.6,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2018-12-31,1033.4,0.0,1033.4,439.4,52.0,-4.7,55.9,14.6,0.0,173.4,302.8,25.6,328.4,0.3,328.1,0.0,328.1,116.2,211.9,211.9,494.6,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2019-03-31,976.2,0.0,976.2,398.2,61.5,-3.0,50.1,16.2,0.0,186.4,266.8,21.1,287.9,0.3,287.6,0.0,287.6,102.6,185.0,185.0,494.6,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2019-06-30,1039.6,0.0,1039.6,407.7,48.4,23.1,53.7,16.6,0.0,222.4,267.7,15.9,283.6,0.3,283.3,0.0,283.3,100.6,182.7,182.7,494.6,1.85,1.85,0.0,0.0,0.0,0.0,0.0
