Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-12-31,123.64,123.64,236.43,236.43,360.07,0.0,0.0,30.81,189.32,7.7,85.98,283.0,673.88,145.11,0.0,4.66,149.77,128.91,9.68,0.0,0.0,288.36,166.24,131.26,29.69,58.33,0.0,385.52,673.88,69.63,33.58,72.46,0.64,1.63,116.35,0.32,128.59,308.47,0.66,3.72,27.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,123.64,123.64,266.42,266.42,390.06,0.0,0.0,23.84,232.97,6.87,83.93,323.77,737.67,132.5,0.0,5.83,138.33,108.14,9.2,0.0,0.0,255.67,213.9,151.64,39.85,76.61,0.0,482.0,737.67,131.68,32.54,72.46,0.85,8.6,116.35,0.31,107.84,354.19,1.04,2.79,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,123.64,123.64,294.02,294.02,417.66,0.0,0.0,25.16,263.02,7.34,91.54,361.9,804.72,124.94,0.0,4.74,129.68,42.52,16.24,0.0,0.0,188.44,255.52,188.99,89.22,82.55,0.0,616.28,804.72,205.14,43.23,72.46,1.69,12.05,116.35,0.3,42.2,417.02,0.33,2.79,22.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,123.64,123.64,306.54,306.54,430.18,0.0,0.0,2.79,334.63,7.2,169.78,511.61,944.58,118.31,0.0,14.95,133.26,20.58,18.22,0.0,0.0,172.06,224.98,147.95,317.91,81.68,0.0,772.52,944.58,188.1,48.89,0.0,1.63,17.43,116.35,0.3,20.28,338.98,1.51,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,123.64,123.64,351.93,351.93,475.57,0.0,0.0,16.79,296.19,7.7,165.08,468.97,961.33,119.48,0.0,24.97,144.45,0.52,40.82,0.0,0.0,185.79,267.3,162.31,255.63,90.3,0.0,775.54,961.33,127.39,66.3,52.69,3.24,19.75,116.35,0.0,0.52,542.56,2.01,2.79,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,123.64,123.64,371.36,371.36,495.0,0.0,0.0,7.17,375.33,56.39,249.45,681.17,1183.34,111.33,0.0,26.13,137.46,0.52,41.79,0.0,0.0,179.77,208.63,160.6,525.76,108.58,0.0,1003.57,1183.34,141.88,96.69,166.86,2.98,18.23,116.35,0.0,0.52,406.26,1.6,0.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,247.28,247.28,306.22,306.22,553.5,0.0,0.0,8.02,432.08,62.78,274.34,769.2,1330.72,114.27,6.05,16.57,136.89,0.0,45.13,0.0,0.0,182.02,244.2,178.43,619.26,106.81,0.0,1148.7,1330.72,153.95,122.62,254.68,1.96,15.39,239.99,0.0,0.0,548.29,3.63,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,247.28,247.28,356.92,356.92,604.2,12.42,3.42,15.84,392.73,102.94,277.11,772.78,1392.82,110.83,1.69,29.3,141.82,0.0,56.24,68.32,0.0,266.38,300.92,218.95,549.0,49.06,8.51,1126.44,1392.82,88.77,132.26,0.0,4.91,20.67,239.99,0.0,0.0,777.67,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,494.56,494.56,154.67,154.67,649.23,8.29,3.43,11.72,436.63,118.58,263.41,818.62,1479.57,125.07,1.05,30.96,157.08,0.0,65.09,84.85,0.26,307.28,315.76,219.63,574.59,48.02,14.29,1172.29,1479.57,79.09,150.8,0.0,4.81,16.27,487.27,0.0,0.0,773.19,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,494.56,494.56,256.86,256.86,751.42,10.83,2.48,13.31,472.83,120.95,256.5,850.28,1615.01,143.22,0.24,31.87,175.33,0.0,52.96,87.59,0.0,315.88,374.01,237.24,594.22,86.44,7.22,1299.13,1615.01,69.69,163.51,245.9,3.2,13.18,487.27,0.0,0.0,758.79,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
