Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-12-31,247.28,247.28,249.5,249.5,496.78,11.03,2.64,13.67,539.86,137.35,304.18,981.39,1491.84,162.21,9.86,15.67,187.74,0.0,61.81,85.03,0.0,334.58,365.47,271.5,431.45,86.21,2.63,1157.26,1491.84,67.08,205.38,421.55,2.79,11.13,243.63,0.0,0.0,828.57,13.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,247.28,247.28,328.33,328.33,575.61,12.3,2.64,14.94,549.39,148.5,373.18,1071.07,1661.62,140.21,8.63,36.41,185.25,0.0,49.92,93.24,0.0,328.41,304.58,236.46,696.5,88.97,6.7,1333.21,1661.62,32.0,209.55,281.04,2.29,13.34,243.63,0.0,0.0,659.93,24.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,247.28,247.28,348.47,348.47,595.75,11.43,2.66,14.09,645.6,163.73,468.1,1277.43,1887.27,141.94,5.04,37.26,184.24,0.0,67.17,94.36,0.0,345.77,343.88,255.22,821.88,112.59,7.93,1541.5,1887.27,71.22,205.68,333.74,1.32,12.98,243.63,0.0,0.0,652.79,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,494.56,494.56,525.59,525.59,1020.15,0.06,15.88,15.94,606.64,296.62,37.6,940.86,1976.95,136.35,2.62,57.27,196.24,0.0,55.15,10.81,143.01,405.21,319.57,284.97,784.23,0.5,182.47,1571.74,1976.95,95.51,99.77,0.0,25.65,0.0,490.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,494.56,494.56,671.1,671.1,1165.66,0.0,15.87,15.87,584.05,311.02,30.17,925.24,2106.77,184.4,1.64,35.04,221.08,0.0,53.27,9.24,96.55,380.14,456.79,391.8,743.85,0.45,133.74,1726.63,2106.77,74.76,231.28,0.0,0.0,27.72,490.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,494.56,494.56,872.39,872.39,1366.95,0.0,21.39,21.39,471.79,340.33,28.32,840.44,2228.78,197.37,2.33,27.33,227.03,0.0,58.5,8.97,98.82,393.32,304.72,482.03,946.0,0.64,102.07,1835.46,2228.78,67.74,999.81,0.0,0.0,21.95,490.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,494.56,494.56,919.67,919.67,1414.23,13.8,18.84,32.64,545.53,365.58,35.52,946.63,2393.5,207.46,1.75,43.54,252.75,0.0,62.24,6.12,128.76,449.87,366.87,180.49,1274.19,1.46,120.62,1943.63,2393.5,66.87,720.76,0.0,0.0,14.28,490.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,494.56,494.56,1150.95,1150.95,1645.51,5.68,18.5,24.18,620.65,380.63,33.05,1034.33,2704.02,195.77,5.41,50.04,251.22,0.0,71.35,6.62,130.9,460.09,491.65,311.65,1300.21,1.94,138.48,2243.93,2704.02,104.81,1047.69,0.0,0.0,63.41,490.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,494.56,494.56,1391.47,1391.47,1886.03,45.14,18.73,63.87,678.86,406.26,33.99,1119.11,3069.01,257.02,3.77,60.76,321.55,325.0,68.55,0.73,119.37,835.2,534.44,350.36,1217.71,0.36,130.94,2233.81,3069.01,109.66,1686.22,0.0,0.0,29.12,490.91,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,494.56,494.56,1627.13,1627.13,2121.69,59.36,23.44,82.8,706.43,474.85,34.16,1215.44,3419.93,256.66,2.19,108.36,367.21,487.5,78.1,0.57,162.73,1096.11,532.92,422.82,1199.79,0.28,168.01,2323.82,3419.93,100.62,1718.62,0.0,0.0,31.99,490.91,0.0,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,494.56,494.56,1783.81,1783.81,2278.37,61.98,24.71,86.69,703.65,532.55,34.03,1270.23,3635.29,317.12,1.52,60.26,378.9,487.5,85.03,0.95,120.11,1072.49,524.21,437.69,1398.97,0.52,201.41,2562.8,3635.29,121.99,1539.41,0.0,0.0,34.12,490.91,0.0,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,494.56,494.56,1783.81,1783.81,2278.37,61.98,24.71,86.69,703.65,532.55,34.03,1270.23,3635.29,317.12,1.52,60.26,378.9,487.5,85.03,0.95,120.11,1072.49,524.21,437.69,1398.97,0.52,201.41,2562.8,3635.29,121.99,1539.41,0.0,0.0,34.12,490.91,0.0,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
