headline,link,date_str,parsed_date_iso,sentiment_score
TVS Motor’s 1000% dividend bonanza: 3 things you must know,https://www.financialexpress.com/market/tvs-motors-1000-dividend-bonanza-3-things-you-must-know-3783960/,2025-03-21T13:25:35+05:30,2025-03-21T07:55:35,0.0
TVS Apache RTX 300 design patent filed: Here’s what we know,https://www.financialexpress.com/auto/bike-news/tvs-apache-rtx-300-design-patent-filed-heres-what-we-know/3777935/,2025-03-15T13:43:51+05:30,2025-03-15T08:13:51,0.0
TVS Apache RTX 300 vs KTM 390 Adventure X comparison,https://www.financialexpress.com/auto/bike-news/tvs-apache-rtx-300-vs-ktm-390-adventure-x-comparison/3766575/,2025-03-04T11:31:55+05:30,2025-03-04T06:01:55,0.3182
TVS launched updated Jupiter 110: Here’s what’s changed,https://www.financialexpress.com/auto/bike-news/tvs-launched-updated-jupiter-110-heres-whats-changed/3765718/,2025-03-03T14:00:27+05:30,2025-03-03T08:30:27,0.128
"Honda Hornet 2.0 vs TVS Apache RTR 200 4V: Price, Specs, Features",https://www.financialexpress.com/auto/bike-news/honda-hornet-2-0-vs-tvs-apache-rtr-200-4v-price-specs-features/3755393/,2025-02-20T15:21:21+05:30,2025-02-20T09:51:21,0.0
TVS Ronin 2025 Edition launched at Rs 1.35 lakh: All you need to know,https://www.financialexpress.com/auto/bike-news/tvs-ronin-2025-edition-launched-at-rs-1-35-lakh-all-you-need-to-know/3752825/,2025-02-18T13:47:37+05:30,2025-02-18T08:17:37,0.128
"Valentine’s Day deals: Get TVS iQube at Rs 86,000 on Flipkart",https://www.financialexpress.com/auto/electric-vehicles/valentines-day-deals-get-tvs-iqube-at-rs-86000-on-flipkart/3745691/,2025-02-11T11:13:16+05:30,2025-02-11T05:43:16,0.0
Ola S1 vs TVS iQube range comparison: Which one can go the distance?,https://www.financialexpress.com/auto/electric-vehicles/ola-s1-vs-tvs-iqube-range-comparison-which-one-can-go-the-distance/3735947/,2025-02-12T10:44:49+05:30,2025-02-12T05:14:49,0.0
TVS Motor rallies 9%. Nuvama expects further 24% upside,https://www.financialexpress.com/market/tvs-motor-rallies-9-nuvama-expects-further-24-upside-3729989/,2025-01-29T15:20:23+05:30,2025-01-29T09:50:23,0.0
"Flipkart Republic Day Bonanza Sale: TVS iQube available at Rs 88,349",https://www.financialexpress.com/auto/electric-vehicles/flipkart-republic-day-bonanza-sale-tvs-iqube-available-at-rs-88349/3725922/,2025-01-25T15:52:28+05:30,2025-01-25T10:22:28,0.0
"Hero Xoom 125 vs TVS Ntorq 125: Specs, Features, Prices compared",https://www.financialexpress.com/auto/bike-news/hero-xoom-125-vs-tvs-ntorq-125-specs-features-prices-compared/3724201/,2025-01-23T18:57:15+05:30,2025-01-23T13:27:15,0.5574
TVS RTS X Supermoto concept — New supermoto in the works?,https://www.financialexpress.com/auto/bike-news/tvs-rts-x-supermoto-concept-new-supermoto-in-the-works/3722991/,2025-01-22T20:07:07+05:30,2025-01-22T14:37:07,0.0
TVS King EV MAX launched — India’s first Bluetooth-connected e3W,https://www.financialexpress.com/business/express-mobility-tvs-king-ev-max-launched-indias-first-bluetooth-connected-e3w-3721745/,2025-01-21T17:40:49+05:30,2025-01-21T12:10:49,0.128
TVS RTX 300 leaked! Interesting details revealed,https://www.financialexpress.com/auto/bike-news/tvs-rtx-300-leaked-interesting-details-revealed/3719266/,2025-01-19T09:37:35+05:30,2025-01-19T04:07:35,0.1759
2025 Honda Dio vs TVS Jupiter 110 comparison — Style or practicality?,https://www.financialexpress.com/auto/bike-news/2025-honda-dio-vs-tvs-jupiter-110-comparison-style-or-practicality/3717760/,2025-01-17T10:27:14+05:30,2025-01-17T04:57:14,0.0
Flipkart Monumental Sale: Best time to buy TVS iQube?,https://www.financialexpress.com/auto/electric-vehicles/flipkart-monumental-sale-best-time-to-buy-tvs-iqube/3714755/,2025-01-14T14:13:12+05:30,2025-01-14T08:43:12,0.6369
Top 5 tech-savvy electric scooters you need to know about,https://www.financialexpress.com/auto/bike-news/top-5-feature-loaded-electric-scooters-of-2024/3712466/,2025-01-11T10:31:27+05:30,2025-01-11T05:01:27,0.2023
"TVS iQube ST vs 2025 Ather 450X comparison: Specs, Price, Features",https://www.financialexpress.com/auto/electric-vehicles/tvs-iqube-st-vs-2025-ather-450x-comparison-specs-price-features/3709205/,2025-01-07T13:11:48+05:30,2025-01-07T07:41:48,0.0
