Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2023-06-30,836.96,0.0,836.96,264.01,75.14,-16.57,177.3,38.72,225.61,72.75,21.42,94.17,46.3,47.87,0.0,47.87,11.65,36.22,36.22,181.15,2.0,2.0
2023-09-30,887.99,0.0,887.99,274.68,71.73,9.1,178.23,47.98,254.65,51.63,30.13,81.76,45.87,35.89,0.0,35.89,8.56,27.34,27.34,180.85,1.51,1.51
2023-12-31,841.48,28.68,870.16,250.22,89.64,-12.82,176.53,78.67,242.08,45.83,52.55,98.38,17.71,80.68,0.0,80.68,12.38,68.3,68.3,181.15,3.77,0.0
2024-03-31,902.55,0.0,902.55,298.9,140.34,-81.41,174.35,39.46,264.05,66.85,34.16,101.01,56.22,44.79,-9.32,35.47,6.5,28.98,28.98,181.15,1.6,1.6
2024-06-30,970.29,0.0,970.29,266.07,158.46,-8.42,195.09,55.08,243.91,60.11,32.51,92.62,37.57,55.05,0.0,55.05,14.6,40.45,40.45,181.15,2.23,2.23
2024-09-30,1104.63,0.0,1104.63,325.99,232.11,-53.3,191.12,56.34,256.56,95.82,54.93,150.76,31.4,119.36,0.0,119.36,32.44,86.92,86.92,189.1,4.62,4.62
2024-12-31,1028.81,0.0,1028.81,350.91,175.31,-47.69,196.01,56.65,229.86,67.77,19.41,87.18,19.93,67.25,0.0,67.25,17.05,50.2,50.2,189.43,2.65,2.65
