Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,126.01,126.01,78.65,-4.73,4.3,3.16,24.73,19.9,1.54,21.45,6.75,14.69,0.0,14.69,5.8,8.89,0.0,8.89,6.48,176.32,2.74,2.74,1.49,46.13,1.07,61.43,33.09
2012-12-31,107.75,107.75,60.73,5.03,4.58,3.17,20.89,13.35,0.31,13.65,6.14,7.52,2.11,9.63,2.4,7.23,0.0,7.23,6.48,176.32,2.23,2.23,1.49,46.13,1.07,61.43,33.09
2013-03-31,141.48,141.48,72.8,15.49,4.54,3.21,31.01,14.42,0.58,15.0,5.96,9.03,0.0,9.03,3.34,5.7,0.0,5.7,6.48,176.32,1.76,1.76,1.49,46.07,1.04,60.66,32.4
2013-06-30,140.1,140.1,87.46,2.69,4.52,3.77,22.73,18.93,0.81,19.74,7.36,12.39,0.0,12.39,3.88,8.51,0.0,8.51,6.48,205.82,2.63,2.63,1.49,46.01,1.08,61.52,33.58
2013-09-30,161.01,161.01,111.36,-15.33,4.7,3.79,32.53,23.97,0.72,24.69,7.13,17.56,0.0,17.56,5.83,11.74,0.0,11.74,6.48,205.82,3.62,3.62,1.48,45.76,1.08,61.7,33.46
2013-12-31,137.51,137.51,100.15,-14.51,5.29,4.5,27.14,14.94,0.54,15.48,8.7,6.78,0.0,6.78,2.58,4.2,0.0,4.2,6.48,205.82,1.3,1.3,1.48,45.66,1.09,61.76,33.56
2014-03-31,171.5,171.5,104.45,4.7,6.27,4.41,34.95,16.72,0.54,17.26,8.33,8.93,0.0,8.93,-0.16,9.09,0.0,9.09,6.48,166.0,2.81,2.81,1.48,45.66,1.09,61.76,33.56
2014-06-30,164.47,164.47,103.28,-2.08,5.71,4.9,32.6,20.06,0.78,20.84,8.36,12.48,0.0,12.48,3.17,9.31,0.0,9.31,6.48,195.76,2.87,2.87,1.48,45.66,1.09,61.76,33.56
2014-09-30,150.45,150.45,80.4,4.91,5.54,4.93,31.43,23.24,0.85,24.09,7.94,16.15,0.0,16.15,5.81,10.34,-1.25,9.09,6.48,195.76,2.81,2.81,1.48,45.66,1.09,61.76,33.56
2014-12-31,141.67,141.67,90.0,-5.5,6.16,4.98,30.68,15.35,0.52,15.87,7.66,8.21,0.0,8.21,2.02,6.19,0.0,6.19,6.48,195.76,1.91,1.91,1.48,45.66,1.09,61.76,33.56
2015-03-31,148.27,148.27,75.66,4.04,7.05,3.78,32.62,25.12,1.24,26.36,7.46,18.9,0.0,18.9,7.13,11.77,0.0,11.77,6.48,231.24,3.63,3.63,1.48,45.56,1.09,61.8,33.61
2015-06-30,159.64,159.64,82.48,12.33,6.55,4.39,29.3,24.59,0.68,25.27,5.73,19.54,0.0,19.54,6.72,12.82,0.0,12.82,6.48,231.24,3.96,3.96,1.48,45.57,1.09,61.8,33.62
2015-09-30,158.82,158.82,87.48,4.46,6.88,4.39,32.06,23.56,0.76,24.31,5.19,19.13,0.0,19.13,7.31,11.81,0.0,11.81,6.48,231.25,3.64,3.64,1.48,45.6,1.12,63.5,34.55
2015-12-31,150.01,150.01,77.13,1.89,7.66,4.39,32.24,26.7,0.15,26.85,5.19,21.66,0.0,21.66,8.35,13.31,0.0,13.31,6.48,231.25,4.11,4.11,1.48,45.6,1.12,63.5,34.55
2016-03-31,166.46,166.46,79.68,3.42,10.44,4.72,32.06,36.15,0.67,36.81,3.98,32.83,0.0,32.83,9.5,23.34,0.0,23.34,6.48,231.25,7.2,7.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,165.72,165.72,94.49,-8.15,8.07,4.49,30.99,35.83,0.55,36.38,3.48,32.9,1.63,34.53,8.19,26.34,0.0,26.34,6.48,285.21,8.13,8.13,0.0,0.0,0.0,0.0,0.0
2016-09-30,172.15,172.15,74.17,5.91,8.49,4.49,43.92,35.18,1.06,36.23,3.01,33.22,0.0,33.22,11.49,21.73,0.0,21.73,6.48,285.21,6.71,6.71,0.0,0.0,0.0,0.0,0.0
2016-12-31,180.22,180.22,84.44,-1.35,9.67,4.49,50.87,32.1,0.59,32.69,2.71,29.98,0.24,30.22,10.59,19.63,0.0,19.63,6.48,285.21,6.05,6.05,0.0,0.0,0.0,0.0,0.0
2017-03-31,193.14,193.14,92.85,-1.26,12.5,4.75,50.87,33.43,0.85,34.28,2.48,31.8,0.72,32.52,14.65,17.87,0.0,17.87,6.48,285.21,5.52,5.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,200.07,200.07,91.46,8.95,9.29,4.39,49.81,36.18,0.94,37.13,2.73,34.4,0.0,34.4,11.65,22.75,0.0,22.75,6.48,0.0,7.02,7.02,0.0,0.0,0.0,0.0,0.0
2017-09-30,201.19,201.19,99.96,0.53,11.79,4.37,37.39,47.15,1.27,48.42,1.95,46.47,0.0,46.47,17.3,29.16,0.0,29.16,6.48,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,218.84,218.84,115.7,1.18,12.87,4.37,38.52,46.2,0.57,46.77,1.78,44.99,0.6,45.59,17.5,28.09,0.0,28.09,6.48,0.0,8.67,8.67,0.0,0.0,0.0,0.0,0.0
2018-03-31,256.9,256.9,153.86,-7.54,11.14,6.16,52.59,40.7,1.26,41.96,2.58,39.38,0.0,39.38,6.21,33.18,0.0,33.18,6.48,0.0,10.24,10.24,0.0,0.0,0.0,0.0,0.0
2018-06-30,260.19,260.19,150.13,-8.9,12.6,4.71,47.68,53.97,0.98,54.94,3.21,51.73,0.0,51.73,17.91,33.82,0.0,33.82,6.48,460.58,10.44,10.44,0.0,0.0,0.0,0.0,0.0
2018-09-30,216.54,216.54,117.55,-3.73,12.83,4.73,45.1,40.06,1.33,41.39,3.02,38.37,3.56,41.93,10.95,30.98,0.0,30.98,6.48,460.58,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2018-12-31,239.71,239.71,142.07,-2.61,12.06,4.72,45.6,37.88,1.15,39.03,3.52,35.5,0.0,35.5,9.23,26.27,0.0,26.27,6.48,460.58,8.11,8.11,0.0,0.0,0.0,0.0,0.0
2019-03-31,234.79,234.79,138.11,-10.41,10.8,5.4,48.95,41.95,1.76,43.71,3.27,40.43,0.0,40.43,13.44,27.0,0.0,27.0,6.48,460.58,8.33,8.33,0.0,0.0,0.0,0.0,0.0
2019-06-30,231.42,231.42,133.48,7.88,10.72,4.95,42.27,32.12,2.31,34.43,2.68,31.75,0.0,31.75,11.78,19.96,0.0,19.96,6.48,568.52,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2019-09-30,230.38,230.38,111.43,16.69,11.49,5.81,45.1,39.85,2.9,42.76,3.76,38.99,0.0,38.99,4.28,34.71,0.0,34.71,6.48,568.52,10.71,10.71,0.0,0.0,0.0,0.0,0.0
2019-12-31,221.76,221.76,108.04,11.59,14.0,5.69,44.61,37.82,2.29,40.12,2.9,37.22,0.0,37.22,10.49,26.73,0.0,26.73,6.48,568.52,8.25,8.25,0.0,0.0,0.0,0.0,0.0
2020-03-31,235.5,235.5,129.22,-7.16,13.41,7.72,46.52,45.78,2.76,48.54,2.79,45.75,0.0,45.75,13.4,32.35,0.0,32.35,6.48,568.52,9.98,9.98,0.0,0.0,0.0,0.0,0.0
2020-06-30,210.52,210.52,110.6,1.08,10.83,5.6,36.96,45.45,2.45,47.9,1.32,46.59,0.0,46.59,11.94,34.65,0.0,34.65,6.48,661.16,10.7,10.7,0.0,0.0,0.0,0.0,0.0
2020-09-30,280.86,280.86,152.85,-5.49,15.14,6.61,48.57,63.19,2.42,65.61,1.54,64.08,0.0,64.08,16.41,47.66,0.0,47.66,6.48,661.16,14.71,14.71,0.0,0.0,0.0,0.0,0.0
2020-12-31,364.73,364.73,162.84,26.65,18.6,5.64,59.99,91.02,2.11,93.13,1.61,91.52,0.0,91.52,21.36,70.16,0.0,70.16,6.48,661.16,21.66,21.66,0.0,0.0,0.0,0.0,0.0
2021-03-31,371.67,371.67,186.07,-11.89,21.1,5.5,67.28,103.62,5.04,108.66,0.88,107.78,0.0,107.78,28.55,79.23,0.0,79.23,6.48,661.16,24.45,24.45,0.0,0.0,0.0,0.0,0.0
2021-06-30,391.64,391.64,251.58,-53.67,18.09,6.81,61.33,107.5,2.62,110.12,0.62,109.5,0.0,109.5,27.69,81.81,0.0,81.81,6.48,661.16,25.25,25.25,0.0,0.0,0.0,0.0,0.0
2021-09-30,435.12,435.12,246.0,-4.15,18.99,7.59,76.42,90.26,4.21,94.46,1.48,92.98,0.0,92.98,23.39,69.59,0.0,69.59,6.48,0.0,21.48,21.48,0.0,0.0,0.0,0.0,0.0
2021-12-31,472.29,472.29,280.79,-16.91,23.08,7.49,78.42,99.43,2.42,101.85,2.19,99.66,0.0,99.66,24.81,74.85,0.0,74.85,6.48,0.0,23.1,23.1,0.0,0.0,0.0,0.0,0.0
2022-03-31,619.0,619.0,347.41,22.02,28.56,7.28,92.87,120.86,2.89,123.75,2.75,120.99,0.0,120.99,39.31,81.68,0.0,81.68,6.48,0.0,25.21,25.21,0.0,0.0,0.0,0.0,0.0
2022-06-30,514.85,514.85,330.82,-52.49,24.85,7.4,81.74,122.53,2.62,125.15,1.01,124.14,0.0,124.14,31.47,92.67,0.0,92.67,6.48,0.0,28.6,28.6,0.0,0.0,0.0,0.0,0.0
2022-09-30,450.93,450.93,217.71,42.88,20.52,7.45,81.71,80.67,1.05,81.71,0.64,81.07,0.0,81.07,20.34,60.73,0.0,60.73,6.48,0.0,18.74,18.74,0.0,0.0,0.0,0.0,0.0
2022-12-31,413.17,413.17,291.71,-27.25,18.22,8.58,75.1,46.81,2.49,49.29,0.12,49.17,0.0,49.17,12.76,36.41,0.0,36.41,6.48,0.0,11.24,11.24,0.0,0.0,0.0,0.0,0.0
2023-03-31,347.01,347.01,174.99,26.74,16.61,7.83,73.29,47.55,3.93,51.48,0.49,51.0,0.0,51.0,13.27,37.73,0.0,37.73,6.48,0.0,11.59,11.59,0.0,0.0,0.0,0.0,0.0
2023-06-30,337.23,337.23,222.69,-20.39,15.42,8.11,67.91,43.49,4.29,47.78,0.43,47.35,0.0,47.35,12.89,34.47,0.0,34.47,6.48,0.0,10.64,10.64,0.0,0.0,0.0,0.0,0.0
2023-09-30,325.07,325.07,174.88,18.48,16.45,8.28,67.48,39.49,5.0,44.5,0.54,43.95,0.0,43.95,11.26,32.69,0.0,32.69,6.48,0.0,10.09,10.09,0.0,0.0,0.0,0.0,0.0
2023-12-31,308.38,308.38,163.08,6.79,18.22,7.9,61.99,50.4,5.82,56.21,0.61,55.61,0.0,55.61,14.05,41.55,0.0,41.55,6.48,0.0,12.82,12.82,0.0,0.0,0.0,0.0,0.0
2024-03-31,367.17,367.17,207.8,-17.82,22.25,9.35,66.07,79.52,5.78,85.31,0.6,84.71,0.0,84.71,22.11,62.6,0.0,62.6,6.48,0.0,19.33,19.32,0.0,0.0,0.0,0.0,0.0
2024-06-30,332.84,332.84,175.74,11.14,17.41,9.07,69.68,49.8,5.23,55.03,0.42,54.61,0.0,54.61,14.08,40.52,0.0,40.52,6.48,0.0,12.51,12.51,0.0,0.0,0.0,0.0,0.0
2024-09-30,319.96,319.96,184.44,-8.12,17.84,0.56,67.96,57.27,6.3,63.57,9.09,54.48,0.0,54.48,14.08,40.4,0.0,40.4,6.48,0.0,12.47,12.47,0.0,0.0,0.0,0.0,0.0
