Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Loans And Advances,Raw Materials,Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,6.48,6.48,195.76,195.76,202.24,42.44,5.04,0.0,133.43,139.46,86.97,41.52,17.73,285.68,621.35,325.08,8.12,0.0,0.0,333.19,0.71,0.74,2.28,336.93,19.94,90.63,131.53,9.74,0.0,284.43,621.35,6.56,2.49,145.75,0.46,3.24,0.71,19.94,85.95,32.58,157.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,6.48,6.48,231.25,231.25,237.73,49.47,8.0,0.0,130.34,135.55,44.19,37.61,17.85,235.21,603.28,321.08,3.15,0.0,0.0,324.23,0.71,0.74,2.21,327.89,29.44,89.53,114.98,6.69,0.0,275.39,603.28,0.37,1.04,141.09,0.37,3.24,0.71,29.44,72.88,34.75,164.36,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,6.48,6.48,285.21,285.21,291.69,56.35,12.03,0.0,112.96,89.49,47.78,30.66,34.29,202.22,606.88,322.29,16.26,0.0,0.0,338.55,30.15,15.08,2.21,386.0,0.0,59.21,120.08,8.48,0.0,220.88,606.88,0.18,2.43,118.55,0.53,3.24,30.15,0.0,44.58,33.11,90.97,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,6.48,6.48,370.79,370.79,377.27,58.26,5.96,0.0,79.23,66.21,51.43,65.14,16.11,198.9,655.39,308.54,25.08,0.0,0.0,333.63,30.15,27.82,4.81,396.41,0.0,81.97,121.8,3.45,51.75,258.98,655.39,4.65,0.0,0.0,0.0,3.24,30.15,0.0,15.01,0.0,188.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,6.48,6.48,460.58,460.58,467.06,50.22,39.67,0.0,95.99,99.68,71.84,63.08,21.71,256.31,819.36,316.06,66.49,0.0,0.0,382.55,66.0,0.0,40.23,488.77,0.01,89.1,172.68,7.11,61.69,330.59,819.36,0.0,0.0,0.0,0.0,3.24,66.0,0.0,6.1,0.0,248.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,6.48,6.48,568.52,568.52,575.0,45.75,119.94,0.0,165.69,94.83,83.41,56.36,21.97,256.57,997.26,318.35,63.24,0.0,0.0,381.6,66.0,32.66,121.0,601.25,0.0,142.62,167.22,20.36,65.81,396.01,997.26,2.0,270.37,0.0,209.5,3.24,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6.48,6.48,661.16,661.16,667.64,49.99,164.18,0.0,214.17,102.36,56.19,43.47,20.64,222.66,1104.48,363.4,46.27,0.0,0.0,409.66,66.0,46.35,189.44,711.46,47.5,92.18,190.85,7.26,55.23,393.02,1104.48,2.0,134.7,0.0,181.95,3.24,66.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6.48,6.48,890.93,890.93,897.41,48.67,145.87,0.0,194.54,0.0,73.52,87.33,39.0,199.85,1291.79,344.34,173.28,0.0,0.0,517.61,66.0,77.35,144.62,805.58,0.0,95.93,272.35,17.66,100.28,486.21,1291.79,2.0,206.65,0.0,177.97,3.24,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6.48,6.48,1185.91,1185.91,1192.39,52.62,122.8,0.0,175.42,0.0,162.9,115.57,52.49,330.97,1698.77,495.03,140.94,0.0,0.0,635.96,66.0,66.0,114.91,882.87,0.0,202.63,436.13,48.12,129.01,815.9,1698.77,2.0,206.65,0.0,177.97,3.24,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6.48,6.48,1393.85,1393.85,1400.33,58.91,1.97,1.81,62.69,0.0,36.03,52.03,0.25,88.3,1551.31,599.2,73.74,0.0,5.22,678.16,66.0,0.0,33.1,777.26,62.32,267.23,260.29,161.12,23.1,774.06,1551.31,73.08,405.51,0.0,333.35,3.24,66.0,62.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6.48,6.48,1527.91,1527.91,1534.39,67.2,1.66,4.26,73.12,0.0,73.0,52.59,2.87,128.47,1735.98,718.76,141.42,1.92,5.02,867.11,66.0,0.0,39.02,972.13,0.0,262.64,262.24,205.72,33.24,763.85,1735.98,47.91,136.49,0.0,200.89,3.24,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
