Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Loans And Advances,Raw Materials,Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,3.0,3.0,18.18,18.18,21.18,7.92,0.0,0.0,26.81,15.73,6.31,2.78,2.32,27.14,75.13,40.97,0.0,0.0,0.0,40.97,0.73,0.0,0.0,41.73,0.0,9.63,16.87,2.93,0.0,33.4,75.13,0.0,0.0,4.74,0.0,0.0,0.73,0.0,18.89,3.97,5.85,0.66,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.0,3.0,21.81,21.81,24.81,8.91,0.0,0.0,30.22,20.12,12.12,2.72,2.69,37.65,92.98,46.57,0.59,0.0,0.0,47.16,0.72,0.0,0.0,47.9,0.0,15.69,22.25,2.09,0.0,45.08,92.98,0.0,0.09,12.57,0.0,0.0,0.72,0.0,21.3,5.05,7.27,0.0,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,3.0,3.0,29.17,29.17,32.17,9.62,0.0,0.0,30.08,33.08,12.22,3.98,4.02,53.3,115.86,54.89,0.46,0.0,0.0,55.35,0.72,0.0,0.0,56.09,0.0,22.55,28.99,2.07,0.0,59.77,115.86,0.05,0.17,20.46,0.0,0.0,0.72,0.0,20.46,6.16,31.68,0.26,0.3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.48,6.48,37.97,37.97,44.45,11.78,0.0,0.0,30.1,48.09,16.31,4.74,4.77,73.92,148.46,59.36,0.0,0.0,0.0,59.36,1.02,0.0,0.0,60.38,0.0,32.13,40.23,4.39,0.0,88.08,148.46,0.0,0.37,31.29,0.0,3.24,1.02,0.0,18.32,11.33,35.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,6.48,6.48,50.12,50.12,56.6,14.91,0.0,0.0,47.82,50.5,27.1,6.46,3.43,87.49,191.91,70.62,11.14,0.0,0.0,81.76,1.32,0.0,0.0,83.08,0.0,33.41,59.43,5.51,0.0,108.83,191.91,0.0,1.69,46.53,0.0,3.24,1.32,0.0,32.91,10.47,53.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,6.48,6.48,63.97,63.97,70.45,21.23,0.0,0.0,73.74,49.28,19.33,5.75,4.83,79.19,223.38,77.02,37.28,0.0,0.0,114.29,4.29,0.0,0.0,118.59,0.0,33.1,58.51,2.37,0.0,104.79,223.38,0.0,4.22,53.31,0.0,3.24,4.29,0.0,52.51,10.81,83.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,6.48,6.48,82.72,82.72,89.2,26.85,0.0,0.0,72.25,54.29,27.22,5.25,7.2,93.95,255.4,120.32,2.36,0.0,0.0,122.68,4.4,0.0,0.0,127.08,0.0,32.0,66.73,3.62,0.0,128.32,255.4,1.52,1.61,61.27,0.0,3.24,4.4,0.0,45.4,25.97,56.62,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,6.48,6.48,107.07,107.07,113.55,33.66,0.65,0.0,98.45,83.6,33.45,21.33,15.98,154.36,366.36,159.67,11.84,0.0,0.0,171.51,4.71,0.77,0.72,177.72,3.84,70.6,73.75,9.03,0.0,188.65,366.36,1.52,3.31,70.18,0.0,3.24,4.71,3.84,64.15,31.43,118.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,6.48,6.48,139.72,139.72,146.2,36.61,3.69,0.0,126.44,111.05,34.71,25.78,22.56,194.1,466.74,195.63,24.67,0.0,0.0,220.3,4.71,0.76,1.05,226.82,3.84,107.4,82.14,4.48,0.0,239.92,466.74,1.0,1.26,118.62,2.72,3.24,4.71,3.84,86.15,42.06,160.64,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,6.48,6.48,166.0,166.0,172.48,39.82,5.85,0.0,149.4,105.58,35.51,36.34,21.14,198.57,520.45,234.05,62.92,0.0,0.0,296.97,0.71,0.75,2.05,300.49,19.94,56.75,102.28,2.68,0.0,219.96,520.45,2.52,1.01,120.81,0.26,3.24,0.71,19.94,103.72,38.31,107.34,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
