Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,6745.48,0.0,6745.48,6883.78,-336.92,3.17,0.51,0.33,194.62,0.0,194.62,82.17,112.45,112.45,0.0,112.45,0.0,112.45,29.53,0.0,3.81,3.81,14.12,47.82,15.41,100.0,52.18
2012-12-31,7823.16,0.0,7823.16,7408.73,219.33,3.93,0.51,1.26,189.41,0.1,189.51,58.04,131.47,131.47,0.0,131.47,0.0,131.47,29.53,0.0,4.45,4.45,14.03,47.51,15.5,100.0,52.49
2013-03-31,12338.16,5.66,12343.82,12165.67,-86.17,3.74,0.53,7.3,252.74,0.05,252.8,106.77,146.02,146.02,35.1,110.93,0.0,110.93,29.53,2415.08,3.76,3.76,13.91,47.1,15.62,100.0,52.9
2013-06-30,5503.17,0.0,5503.17,5207.62,127.25,3.9,0.54,4.41,159.45,0.0,159.46,51.33,108.12,108.12,0.0,108.12,0.0,108.12,29.53,0.0,3.66,3.66,13.91,47.1,15.62,100.0,52.9
2013-09-30,6440.57,0.0,6440.57,6240.82,-33.5,3.97,0.55,0.49,228.26,0.07,228.33,127.86,100.46,100.46,0.0,100.46,0.0,100.46,29.53,0.0,3.4,3.4,13.87,46.97,15.66,100.0,53.03
2013-12-31,5022.99,0.0,5022.99,4826.98,17.21,3.84,0.54,2.1,172.33,0.05,172.38,80.71,91.67,91.67,0.0,91.67,0.0,91.67,29.53,0.0,3.1,3.1,13.87,46.97,15.66,100.0,53.03
2014-03-31,12230.47,0.0,12230.47,11650.38,133.04,9.22,14.78,215.7,207.35,0.51,207.86,103.57,104.29,104.29,44.4,59.9,-0.56,59.34,29.53,2744.63,2.0,2.0,13.87,46.97,0.16,100.0,53.03
2014-06-30,6699.76,0.0,6699.76,6641.26,-113.27,4.75,0.51,6.87,159.64,2.14,161.78,89.74,72.05,72.05,0.0,72.05,0.0,72.05,29.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-30,9155.91,0.0,9155.91,9174.15,-205.22,5.21,0.52,6.75,174.5,1.97,176.47,65.52,110.95,110.95,0.0,110.95,0.0,110.95,29.53,0.0,3.76,3.76,13.65,46.25,15.87,100.0,53.75
2014-12-31,9642.32,0.0,9642.32,9182.19,291.16,5.47,0.52,8.13,154.85,0.0,154.85,76.78,78.07,78.07,0.0,78.07,0.0,78.07,29.53,0.0,2.64,2.64,13.62,46.14,15.9,100.0,53.86
2015-03-31,12421.27,0.0,12421.27,12120.54,41.25,2.32,0.36,-1.45,258.25,0.19,258.45,186.68,71.76,71.76,68.88,2.88,0.0,2.88,29.53,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2015-06-30,8452.5,0.0,8452.5,8215.8,47.02,2.5,0.45,2.19,184.55,0.0,184.55,63.1,121.46,121.46,0.0,121.46,0.0,121.46,29.53,0.0,4.11,4.11,13.62,46.14,15.9,100.0,53.86
2015-09-30,10709.46,0.0,10709.46,10366.69,99.16,-0.38,0.48,4.23,239.29,0.09,239.38,100.66,138.72,138.72,0.0,138.72,0.0,138.72,29.53,0.0,4.7,4.7,13.61,46.11,15.91,100.0,53.89
2015-12-31,9049.92,0.0,9049.92,8850.65,45.03,1.43,0.48,3.72,148.62,0.03,148.65,8.9,139.75,139.75,0.0,139.75,0.0,139.75,29.53,0.0,4.73,4.73,13.61,46.11,15.91,100.0,53.89
2016-03-31,10406.74,0.0,10406.74,10205.38,-108.51,1.94,0.45,65.92,241.55,3.89,245.44,135.32,110.13,110.13,33.54,76.59,0.0,76.59,29.53,0.0,2.59,2.59,13.61,46.1,15.92,100.0,53.9
