Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,739.73,739.73,287.88,0.89,-62.1,105.31,44.02,58.67,226.88,78.18,13.85,92.03,88.05,3.98,0.0,3.98,1.54,2.44,0.0,2.44,30.54,0.08,0.08,17.02,55.84,13.46,100.0,44.16
2013-03-31,801.6,801.6,268.83,1.08,10.43,98.98,47.09,63.65,218.02,93.52,8.47,101.99,88.61,13.38,0.0,13.38,4.38,9.0,0.0,9.0,30.54,0.3,0.3,15.95,52.33,14.53,100.0,47.67
2013-06-30,739.95,739.95,218.19,1.02,-36.42,83.36,49.99,65.58,285.56,72.67,23.13,95.8,91.78,4.02,0.0,4.02,1.82,2.2,0.0,2.2,30.54,0.07,0.07,15.95,52.33,14.53,100.0,47.67
2013-09-30,709.59,709.59,219.73,0.83,-56.39,85.67,50.67,73.51,251.51,84.06,19.82,103.88,100.86,3.02,0.0,3.02,1.32,1.7,0.0,1.7,30.54,0.06,0.06,15.75,51.67,14.73,100.0,48.33
2013-12-31,827.91,827.91,298.83,1.09,-97.85,100.36,52.37,80.47,294.89,97.75,16.91,114.66,113.19,1.47,0.0,1.47,0.48,0.99,0.0,0.99,30.54,0.03,0.03,15.52,50.92,14.96,100.0,49.08
2014-03-31,1009.67,1009.67,330.98,14.94,103.31,83.33,52.68,83.95,283.48,57.0,17.97,74.97,120.34,-45.37,0.0,-45.37,-14.8,-30.57,0.0,-30.57,30.54,-1.0,-1.0,15.31,50.25,15.16,100.0,49.75
2014-06-30,920.11,920.11,297.44,52.86,-37.59,92.24,60.16,107.49,288.18,59.33,12.25,71.58,123.85,-52.27,0.0,-52.27,-16.12,-36.15,0.0,-36.15,30.54,-1.19,-1.19,15.26,50.07,15.22,100.0,49.93
2014-09-30,955.53,955.53,297.02,1.63,19.25,106.38,58.32,80.96,306.42,85.55,10.64,96.19,127.26,-31.07,-70.67,-101.74,-28.86,-72.88,0.0,-72.88,30.54,-2.39,-2.39,15.27,50.11,15.2,100.0,49.89
2014-12-31,888.39,888.39,293.69,1.67,-86.69,118.36,60.91,94.09,345.31,61.05,4.87,65.92,130.03,-64.11,-7.74,-71.85,-28.26,-43.59,0.0,-43.59,30.54,-1.43,-1.43,15.27,50.11,15.2,100.0,49.89
2015-03-31,982.02,982.02,350.22,1.59,38.98,64.25,60.49,100.46,347.26,18.77,10.92,29.69,126.25,-96.56,-21.75,-118.31,21.48,-139.79,0.0,-139.79,30.54,-4.59,-4.59,15.26,50.09,15.21,100.0,49.91
