Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Government/Other Grants,Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,93.04,93.04,688.69,712.14,805.18,487.99,360.21,0.0,848.2,596.49,330.5,4.73,47.95,979.67,2633.05,1386.74,0.0,120.65,0.0,0.0,1507.39,72.25,157.34,0.0,25.37,1762.35,0.0,469.52,209.22,37.52,154.44,0.0,870.7,2633.05,139.29,37.27,338.42,23.43,87.89,14.85,57.71,0.0,0.0,0.0,0.0,145.3,0.0,20.12,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,93.04,93.04,659.05,681.03,774.07,424.77,329.45,0.0,754.22,464.54,318.99,7.85,66.54,857.92,2386.21,1333.76,0.0,33.64,0.0,0.0,1367.4,27.94,86.42,0.0,19.21,1500.97,0.0,442.56,207.8,31.09,203.79,0.0,885.24,2386.21,557.89,37.85,294.53,27.96,87.89,30.19,12.7,0.0,0.0,0.0,0.0,99.9,0.0,10.24,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,93.04,93.04,735.34,756.65,849.69,280.71,306.91,0.0,587.62,649.4,365.17,8.92,122.09,1145.58,2582.89,1394.6,0.0,104.08,0.0,0.0,1498.68,15.94,29.73,0.0,22.96,1567.31,0.0,490.93,168.28,38.35,318.02,0.0,1015.58,2582.89,533.67,35.84,230.63,128.6,87.89,50.06,0.7,0.0,0.0,0.0,0.0,105.93,0.0,69.35,21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,93.04,93.04,963.25,980.56,1073.6,969.99,302.25,0.0,1272.24,330.39,406.09,6.76,176.17,919.41,3265.25,1726.48,0.0,123.3,0.0,0.0,1849.78,15.94,43.82,0.0,219.76,2129.3,0.0,474.37,196.9,139.19,325.49,0.0,1135.95,3265.25,412.52,19.63,224.02,0.18,87.89,53.35,0.7,0.0,0.0,0.0,0.0,130.69,0.0,189.93,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,93.04,93.04,1193.69,1210.86,1303.9,1018.12,301.68,0.0,1319.8,381.04,574.99,6.85,278.12,1241.0,3882.32,1714.28,0.0,627.14,0.0,0.0,2341.42,27.7,50.85,0.0,181.51,2601.48,0.0,612.88,164.91,47.46,455.59,0.0,1280.84,3882.32,666.37,16.57,197.57,0.06,87.89,65.29,0.7,0.0,0.0,0.0,0.0,214.31,0.0,352.42,17.17,17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,93.04,93.04,1385.43,1402.48,1495.52,1418.36,365.19,0.0,1783.55,339.93,673.32,7.7,327.74,1348.69,4627.76,2579.75,0.0,231.08,0.0,0.0,2810.83,46.54,75.11,0.0,101.26,3033.74,0.0,670.57,150.89,66.54,706.02,0.0,1594.02,4627.76,1504.33,32.12,229.29,0.11,87.89,50.55,0.7,0.0,0.0,0.0,0.0,221.75,0.0,169.76,17.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,93.04,93.04,1665.22,1682.16,1775.2,1373.08,357.55,0.0,1730.63,993.71,807.43,17.17,552.53,2370.84,5876.67,2479.97,4.4,1287.38,0.0,0.0,3771.75,58.43,106.21,0.0,6.22,3942.61,0.0,868.51,225.11,57.41,783.03,0.0,1934.06,5876.67,1061.09,13.44,237.4,3.8,87.89,147.65,3.44,0.0,0.0,0.0,0.0,268.44,0.0,601.29,16.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,93.04,93.04,1843.23,1860.06,1953.1,1240.05,263.94,17.01,1797.05,1381.47,411.74,764.38,79.98,2637.57,6387.72,2395.01,3.72,1997.58,1.16,0.0,4397.47,68.36,0.0,265.82,4.98,4736.63,0.0,1070.66,307.15,40.64,201.6,31.04,1651.09,6387.72,2137.04,27.78,288.22,0.23,87.89,103.8,1.08,0.0,0.0,0.0,276.05,198.4,44.17,101.62,16.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,93.04,93.04,1805.88,1805.88,1898.92,1977.1,262.74,20.08,2579.51,1444.8,307.55,968.83,92.5,2813.68,7292.11,4103.99,3.48,1111.92,1.73,0.0,5221.12,69.28,0.0,288.03,16.69,5595.12,2.07,1095.24,333.45,50.09,198.86,17.28,1696.99,7292.11,1940.6,41.45,296.08,0.74,87.89,81.76,1.08,0.0,2.07,0.0,319.59,253.97,42.34,103.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,93.04,93.04,1711.91,1711.91,1804.95,3148.15,242.92,38.8,3793.48,1212.5,359.87,987.22,102.4,2661.99,8260.42,4229.28,3.11,1710.76,0.48,0.0,5943.63,73.78,0.0,290.45,19.64,6327.5,0.0,1203.79,408.01,53.49,237.76,29.87,1932.92,8260.42,2045.6,25.14,322.03,0.17,87.89,74.86,1.08,0.0,0.0,0.0,363.61,278.87,45.72,116.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
