Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1499.79,20.32,1520.11,508.71,6.45,29.96,352.5,121.3,87.32,0.0,386.11,27.76,7.63,35.39,82.58,-47.19,0.0,-47.19,-18.0,-29.19,0.0,0.0,-29.19,93.04,-3.14,-3.14,5.52,59.28,3.74,99.65,40.24
2013-03-31,1577.34,32.46,1609.8,558.6,3.35,-12.29,332.46,133.67,89.34,0.0,431.11,73.56,4.56,78.12,72.89,5.23,0.0,5.23,4.18,1.05,16.9,0.0,17.95,93.04,1.93,1.93,5.52,59.28,3.74,99.65,40.24
2013-06-30,1573.42,17.41,1590.83,586.44,1.27,-52.1,318.56,128.46,89.67,-1.59,392.73,127.39,4.76,132.15,87.5,44.65,0.0,44.65,7.0,37.65,0.0,0.0,37.65,93.04,4.05,4.05,5.52,59.29,3.74,99.55,40.24
2013-09-30,1551.19,35.5,1586.69,546.63,1.59,42.62,345.27,131.07,89.29,-2.82,373.75,59.29,8.98,68.27,91.13,-22.86,0.0,-22.86,8.75,-31.61,0.0,0.0,-31.61,93.04,-3.4,-3.4,5.52,59.29,3.74,99.65,40.24
2013-12-31,1584.23,55.1,1639.33,580.99,1.56,18.19,354.62,133.12,86.88,-1.93,384.73,81.17,6.63,87.8,90.47,-2.67,0.0,-2.67,-4.25,1.58,0.0,0.0,1.58,93.04,0.17,0.17,5.52,59.3,3.52,93.81,37.88
2014-03-31,1767.54,81.53,1849.07,680.44,0.54,1.71,368.44,108.89,88.78,-1.81,507.39,94.69,7.89,102.58,93.7,8.88,0.0,8.88,12.37,-3.49,-1.41,0.0,-4.9,93.04,-0.53,-0.53,5.53,59.44,3.47,92.65,37.28
2014-06-30,1838.93,48.44,1887.37,776.9,1.62,-52.64,365.13,138.2,58.65,0.0,453.22,146.29,7.46,153.75,96.26,57.49,0.0,57.49,-9.0,66.49,0.0,0.0,66.49,93.04,7.15,7.04,5.53,59.44,3.52,94.12,37.87
2014-09-30,1642.9,62.93,1705.83,646.61,1.91,-85.96,398.64,140.92,63.5,0.0,448.04,92.17,10.86,103.03,109.26,-6.23,0.0,-6.23,-7.0,0.77,0.0,0.0,0.77,93.04,0.08,0.07,5.53,59.44,3.47,92.65,37.28
2014-12-31,1770.0,77.57,1847.57,610.19,0.51,33.6,453.24,159.17,70.66,0.0,494.62,25.58,10.68,36.26,139.84,-103.58,0.0,-103.58,-40.0,-63.58,0.0,0.0,-63.58,93.04,-6.83,-6.42,5.53,59.44,3.47,92.65,37.28
2015-03-31,2035.93,69.58,2105.51,724.66,9.88,-32.49,441.08,178.01,56.4,0.0,574.11,153.86,4.03,157.89,139.26,18.63,0.0,18.63,6.82,11.81,0.0,0.0,11.81,101.51,1.27,1.27,5.56,54.78,4.32,94.01,42.51
2015-06-30,1944.38,69.42,2013.8,725.99,10.13,-10.52,439.74,158.75,67.87,0.0,534.84,87.0,9.39,96.39,148.92,-52.53,0.0,-52.53,-9.3,-43.23,0.0,0.0,-43.23,101.51,-4.26,-4.26,0.0,0.0,0.0,0.0,0.0
2015-09-30,1881.78,62.23,1944.01,713.07,0.0,-29.25,423.28,159.12,67.63,0.0,534.14,76.02,13.88,89.9,148.96,-59.06,0.0,-59.06,-27.61,-31.45,0.0,0.0,-31.45,101.51,-3.1,-3.1,0.0,0.0,0.0,0.0,0.0
2015-12-31,1872.67,47.68,1920.35,597.17,0.08,67.61,406.1,155.6,66.73,0.0,536.95,90.11,43.97,134.08,142.79,-8.71,0.0,-8.71,-0.21,-8.5,0.0,0.0,-8.5,111.69,-0.83,-0.83,0.0,0.0,0.0,0.0,0.0
2016-03-31,1960.61,82.56,2043.17,674.45,0.0,23.88,400.79,166.9,72.75,0.0,599.33,105.07,17.55,122.62,133.46,-10.84,0.0,-10.84,-8.54,-2.3,0.0,0.0,-2.3,111.69,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2016-06-30,2024.4,46.86,2071.26,686.57,0.58,55.95,385.77,165.94,73.6,0.0,569.79,133.06,12.53,145.59,141.72,3.87,0.0,3.87,2.94,0.93,0.0,0.0,0.93,111.69,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2016-09-30,1985.21,48.71,2033.92,650.59,0.0,-9.19,360.26,172.71,73.82,0.0,634.73,151.0,18.73,169.73,139.68,30.05,0.0,30.05,-11.05,41.1,0.0,0.0,41.1,111.69,3.68,3.68,0.0,0.0,0.0,0.0,0.0
2016-12-31,1762.81,36.49,1799.3,612.16,0.0,-12.88,358.44,160.7,73.46,0.0,466.77,140.65,15.46,156.11,136.12,19.99,0.0,19.99,6.1,13.89,0.0,0.0,13.89,111.69,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-03-31,2055.02,63.1,2118.12,645.94,0.1,65.48,399.21,167.85,85.12,0.0,624.54,129.88,28.91,158.79,119.71,39.08,0.0,39.08,2.25,36.83,0.0,0.0,36.83,111.69,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2017-06-30,2049.47,68.86,2118.33,652.33,0.0,-118.34,428.82,177.69,77.0,0.0,624.48,276.35,23.51,299.86,116.56,183.3,0.0,183.3,63.06,120.24,0.0,0.0,120.24,111.69,10.77,10.77,0.0,0.0,0.0,0.0,0.0
2017-09-30,1791.53,30.16,1821.69,538.04,0.0,-9.18,360.62,165.42,79.72,0.0,480.61,206.46,22.88,229.34,119.3,110.04,0.0,110.04,34.5,75.54,0.0,-22.76,52.78,111.69,4.72,4.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,2003.79,65.6,2069.39,571.95,1.81,34.98,407.77,168.4,76.17,0.0,552.82,255.49,17.18,272.67,109.88,162.79,0.0,162.79,65.53,97.26,0.0,-7.32,89.94,111.69,8.71,8.05,0.0,0.0,0.0,0.0,0.0
2018-03-31,2087.28,128.67,2215.95,580.58,0.88,84.06,382.44,156.8,79.05,0.0,673.7,258.44,20.21,278.65,105.95,172.7,0.0,172.7,64.0,108.7,0.0,0.0,108.7,111.69,9.73,9.73,0.0,0.0,0.0,0.0,0.0
2018-06-30,2069.61,118.6,2188.21,662.87,0.49,-28.54,391.93,127.69,77.83,0.0,599.66,356.28,21.17,377.45,99.92,277.53,0.0,277.53,96.0,181.53,0.0,-18.87,162.66,111.69,14.56,14.56,0.0,0.0,0.0,0.0,0.0
2018-09-30,1949.77,139.12,2088.89,626.07,4.91,19.91,393.02,137.62,77.77,0.0,530.12,299.47,21.83,321.3,90.0,231.3,0.0,231.3,71.2,160.1,0.0,-3.58,156.52,111.69,14.01,14.01,0.0,0.0,0.0,0.0,0.0
2018-12-31,940.87,10.24,951.11,457.98,4.48,4.83,127.63,69.94,47.74,0.0,82.94,155.57,6.11,161.68,24.82,136.86,0.0,136.86,48.38,88.48,0.0,45.79,134.27,111.69,12.02,12.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,842.27,96.49,938.76,460.65,1.85,-25.53,108.35,57.71,47.56,0.0,103.99,184.18,69.78,253.96,10.8,243.16,0.0,243.16,89.66,153.5,0.0,74.12,227.62,111.69,20.38,20.38,0.0,0.0,0.0,0.0,0.0
2019-06-30,855.64,18.71,874.35,457.88,3.18,-21.06,103.56,61.71,54.49,0.0,75.54,139.05,6.76,145.81,21.87,123.94,0.0,123.94,44.0,79.94,0.0,113.52,193.46,111.69,17.32,17.32,0.0,0.0,0.0,0.0,0.0
