Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-09-30,851.18,34.0,885.18,428.77,13.19,16.95,107.2,67.67,57.98,0.0,76.34,117.08,5.3,122.38,16.45,105.93,0.0,105.93,-100.24,206.17,0.0,-4.64,201.53,111.69,18.04,18.04,0.0,0.0,0.0,0.0,0.0
2019-12-31,854.44,22.96,877.4,446.76,15.26,-8.93,106.56,64.1,57.92,0.0,83.76,111.97,11.75,123.72,25.65,98.07,0.0,98.07,35.0,63.07,0.0,-5.63,57.44,111.69,5.15,5.15,0.0,0.0,0.0,0.0,0.0
2020-03-31,770.47,16.17,786.64,422.01,16.59,-20.95,91.99,65.6,57.37,0.0,101.48,52.55,19.37,71.92,29.02,42.9,0.0,42.9,-73.69,116.59,0.0,-2.59,114.0,111.69,10.21,10.21,0.0,0.0,0.0,0.0,0.0
2020-06-30,393.39,6.06,399.45,207.41,2.99,-16.35,57.14,58.27,56.7,0.0,55.83,-22.54,13.31,-9.23,25.65,-34.88,0.0,-34.88,-12.07,-22.81,0.0,-4.07,-26.88,111.69,-2.4,-2.4,0.0,0.0,0.0,0.0,0.0
2020-09-30,599.63,11.38,611.01,281.36,8.12,46.29,85.03,58.83,57.3,0.0,63.32,10.76,17.28,28.04,21.59,6.45,0.0,6.45,1.66,4.79,0.0,-4.43,0.36,111.69,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2020-12-31,761.12,10.67,771.79,386.48,45.21,12.68,97.68,62.6,57.8,0.0,76.13,33.21,38.1,71.31,20.62,50.69,0.0,50.69,-2.41,53.1,0.0,-5.12,47.98,111.69,4.29,4.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,809.94,18.36,828.3,442.24,23.15,3.6,96.92,52.45,57.22,0.0,116.84,35.88,10.95,46.83,20.49,26.34,0.0,26.34,11.38,14.96,0.0,-4.92,10.04,111.69,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2021-06-30,832.42,9.55,841.97,469.82,64.04,-67.92,99.31,64.8,56.36,0.0,90.94,64.62,15.95,80.57,18.42,62.15,0.0,62.15,21.97,40.18,0.0,-4.24,35.94,111.69,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2021-09-30,1012.9,0.0,1012.9,522.88,70.1,6.4,0.0,69.28,57.44,0.0,211.47,75.33,27.16,102.49,18.22,84.27,0.0,84.27,29.87,54.4,0.0,11.78,66.18,111.69,5.92,5.92,0.0,0.0,0.0,0.0,0.0
2021-12-31,1064.75,0.0,1064.75,608.26,41.95,-27.18,0.0,69.43,58.25,0.0,246.94,67.1,11.14,78.24,18.22,60.02,0.0,60.02,21.51,38.51,0.0,0.0,38.51,111.69,3.45,3.45,0.0,0.0,0.0,0.0,0.0
2022-03-31,1187.44,22.31,1209.75,675.34,47.44,31.99,133.78,59.08,56.0,0.0,104.1,102.02,13.36,115.38,20.17,95.21,0.0,95.21,28.51,66.7,0.0,0.0,66.7,111.69,5.97,5.97,0.0,0.0,0.0,0.0,0.0
2022-06-30,1169.88,17.93,1187.81,693.91,14.18,-35.99,188.73,64.45,55.25,0.0,101.94,105.34,10.46,115.8,18.76,97.04,0.0,97.04,33.95,63.09,0.0,0.0,63.09,111.69,5.65,5.65,0.0,0.0,0.0,0.0,0.0
2022-09-30,1209.44,21.75,1231.19,652.3,2.92,0.32,191.92,67.67,55.91,0.0,107.88,152.27,16.68,168.95,22.93,146.02,0.0,146.02,50.12,95.9,0.0,0.0,95.9,111.69,8.59,8.59,0.0,0.0,0.0,0.0,0.0
2022-12-31,1149.46,18.74,1168.2,709.85,30.6,-45.64,166.24,69.8,55.94,0.0,119.81,61.6,13.81,75.41,23.35,52.06,0.0,52.06,19.54,32.52,0.0,0.0,32.52,111.69,2.91,2.91,0.0,0.0,0.0,0.0,0.0
2023-03-31,1186.54,21.47,1208.01,675.31,-3.06,20.37,133.72,64.7,55.7,0.0,157.38,103.89,20.59,124.48,24.15,100.33,134.21,234.54,57.74,176.8,0.0,0.0,176.8,111.69,15.83,15.83,0.0,0.0,0.0,0.0,0.0
2023-06-30,1117.14,0.0,1117.14,647.84,16.69,-14.72,0.0,64.4,56.75,0.0,241.49,104.69,35.13,139.82,38.91,100.91,-64.4,36.51,12.81,23.7,0.0,0.0,23.7,111.69,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2023-09-30,1087.28,15.79,1103.07,631.87,19.29,61.4,123.21,70.52,57.44,0.0,113.03,26.31,30.81,57.12,33.2,23.92,0.0,23.92,8.64,15.28,0.0,0.0,15.28,111.69,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2023-12-31,1130.1,90.88,1220.98,687.45,20.83,-5.4,123.37,66.18,58.64,0.0,118.44,151.47,40.85,192.32,26.32,166.0,0.0,166.0,50.92,115.08,0.0,0.0,115.08,111.69,10.4,10.4,0.0,0.0,0.0,0.0,0.0
2024-03-31,965.93,136.61,1102.54,573.95,1.33,15.59,115.07,51.97,52.22,0.0,105.94,186.47,28.16,214.63,19.51,195.12,0.0,195.12,58.04,137.08,0.0,-139.97,-2.89,111.69,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2024-06-30,873.72,0.0,873.72,545.56,2.5,-14.03,0.0,51.0,52.76,0.0,185.43,50.5,35.41,85.91,22.89,63.02,0.0,63.02,22.16,40.86,0.0,-10.59,30.27,111.69,2.72,2.7,0.0,0.0,0.0,0.0,0.0
2024-09-30,923.45,0.0,923.45,534.11,3.48,49.37,0.0,57.01,53.11,0.0,189.54,36.83,40.55,77.38,39.55,37.83,0.0,37.83,13.94,23.89,0.0,-9.6,14.29,111.69,1.28,1.27,0.0,0.0,0.0,0.0,0.0
2024-12-31,831.27,0.0,831.27,485.63,4.01,19.76,0.0,62.15,53.41,0.0,187.49,18.82,47.59,66.41,41.91,24.5,0.0,24.5,6.16,18.34,0.0,-5.42,12.92,111.69,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2025-03-31,103.89,0.12,104.01,0.0,0.0,-0.19,0.0,5.72,13.36,0.0,33.37,51.75,58.86,110.61,40.36,70.25,-156.89,-86.64,-13.61,-73.03,0.0,-8.21,-81.24,111.69,-7.35,-7.35,0.0,0.0,0.0,0.0,0.0
