Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Deferred Tax Assets [Net],Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,29.27,53.12,399.66,399.66,452.78,383.39,54.45,0.0,0.0,437.84,97.36,160.15,105.51,15.14,378.16,1312.0,493.78,13.55,17.99,0.0,525.32,39.79,0.0,3.96,681.45,0.0,100.47,341.45,3.23,185.4,0.0,630.55,1312.0,282.35,21.33,0.0,471.66,7.51,0.0,0.14,39.53,0.0,23.85,175.36,0.0,0.0,1.83,43.23,112.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,33.12,36.91,631.08,631.08,667.99,509.55,59.22,0.0,0.0,568.78,54.67,276.28,116.66,16.12,463.72,1742.85,478.22,111.3,36.84,0.0,626.36,41.68,0.0,1.56,763.26,0.0,151.07,381.68,4.65,442.13,0.07,979.59,1742.85,210.85,135.86,0.01,580.6,8.46,0.0,0.36,40.87,0.0,3.78,216.83,0.0,0.0,10.47,42.36,93.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,37.43,37.55,1032.97,1032.97,1070.52,1056.92,66.53,0.0,0.0,1123.45,73.96,313.6,208.44,22.25,618.25,2878.17,486.47,155.41,35.09,0.0,676.97,859.75,0.0,0.46,1607.79,0.0,198.5,387.31,341.92,342.65,0.0,1270.38,2878.17,179.39,84.3,0.01,698.33,26.81,0.0,0.47,859.09,0.0,0.12,244.0,0.0,0.0,3.8,65.95,70.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,37.5,37.5,1089.25,1089.25,1126.75,1836.14,91.88,0.0,0.0,1928.02,101.16,629.64,68.88,0.0,799.68,3895.98,508.7,574.29,60.79,0.0,1143.78,392.39,0.0,0.0,1581.88,0.0,259.42,380.56,183.77,1490.35,0.0,2314.1,3895.98,159.93,291.14,0.02,693.17,72.44,0.0,0.43,366.83,0.0,0.0,275.17,0.0,0.0,7.35,41.53,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,43.93,43.93,1659.18,1659.18,1703.11,1455.18,97.15,0.0,0.0,1552.33,51.49,580.61,157.43,51.4,840.93,4209.8,550.0,141.02,127.3,0.0,818.32,831.2,0.0,0.0,1725.46,0.0,302.27,498.52,303.83,1379.72,0.0,2484.34,4209.8,160.59,313.61,0.01,738.38,113.19,0.0,842.18,594.12,0.0,0.0,414.71,0.0,0.0,29.07,28.15,75.94,85.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,87.91,87.91,1729.74,1729.74,1817.65,1852.66,85.39,0.0,0.0,1938.05,164.58,656.49,151.01,77.14,1049.22,4911.37,779.37,141.96,100.28,0.0,1021.61,374.05,0.0,0.0,1454.5,0.0,551.91,726.93,70.39,2107.64,0.0,3456.87,4911.37,393.49,168.03,0.02,1380.79,81.17,43.96,386.71,136.98,0.0,0.0,962.67,0.0,0.0,5.3,21.17,58.84,85.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,87.91,87.91,1833.62,1833.62,1921.53,2068.5,89.95,0.0,0.0,2158.45,80.99,591.08,100.48,102.51,875.06,4959.43,837.05,135.73,29.33,0.0,1002.11,687.87,0.0,0.0,1707.7,0.0,287.01,747.66,383.7,1828.29,5.07,3251.73,4959.43,878.21,233.6,0.04,1333.75,57.77,43.96,526.06,450.92,0.0,0.0,442.62,0.0,0.0,5.11,4.39,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,92.36,92.36,2165.72,2165.72,2258.08,991.24,63.07,29.42,0.0,1083.73,445.42,582.58,1359.7,122.07,2509.77,5851.58,809.79,128.05,43.08,0.0,980.92,656.46,1782.76,0.0,3420.14,355.34,409.04,1024.95,437.82,112.54,91.75,2431.44,5851.58,1138.3,164.05,0.04,1445.75,30.62,43.96,252.46,429.8,355.34,0.0,649.63,1.03,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,92.36,92.36,3413.66,3413.66,3506.02,1100.0,82.78,136.0,0.0,1318.78,351.58,618.66,313.92,155.16,1439.32,6264.12,810.37,565.05,113.64,0.0,1489.06,657.12,1047.37,0.0,3193.55,125.0,550.03,1389.99,97.53,818.68,89.34,3070.57,6264.12,2763.11,134.26,0.04,1674.79,67.06,43.96,371.45,432.1,125.0,0.0,712.41,0.88,0.0,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,88.52,88.52,3269.17,3269.17,3357.69,1400.0,90.9,209.81,0.0,1700.71,638.11,958.76,201.95,158.68,1957.5,7015.9,833.88,516.62,236.15,0.0,1586.65,671.06,1115.32,0.0,3373.03,232.99,620.54,1807.51,188.22,712.99,80.62,3642.87,7015.9,3327.25,164.96,0.05,2188.43,48.67,42.2,859.29,447.85,140.0,0.0,909.35,0.92,224.1,41.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,85.72,85.72,3221.92,3221.92,3307.64,1060.0,117.34,306.7,0.0,1484.04,110.16,1371.15,573.46,236.07,2290.84,7082.52,1082.95,489.32,99.13,18.84,1690.24,671.15,1330.3,0.0,3691.69,0.0,872.2,1411.79,185.4,814.29,107.15,3390.83,7082.52,4101.76,241.51,0.05,2783.37,157.84,40.86,543.46,447.87,0.0,0.0,1119.62,0.58,514.99,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,85.72,85.72,3438.36,3438.36,3524.08,910.0,120.22,190.79,0.0,1221.01,316.59,1721.41,552.05,304.17,2894.22,7639.31,1208.27,440.97,291.39,78.93,2019.56,872.72,1217.61,0.0,4109.89,0.0,1173.97,1422.52,124.7,692.57,115.66,3529.42,7639.31,4107.76,297.26,0.08,2797.74,221.51,40.86,1926.24,491.57,0.0,0.0,1328.48,0.55,466.27,10.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,85.72,85.72,3930.01,3930.01,4015.73,760.0,146.18,204.67,0.0,1110.85,617.81,1769.22,497.12,317.51,3201.66,8328.24,1612.87,469.25,190.41,18.57,2291.1,718.09,1340.84,0.0,4350.03,0.0,1270.75,1872.77,72.81,619.77,142.11,3978.21,8328.24,2552.39,239.93,0.1,3657.07,746.82,40.86,2362.54,192.07,0.0,0.0,1628.39,1.75,142.23,33.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,101.0,183.0,7567.0,7567.0,7750.0,756.0,133.0,155.0,0.0,1044.0,40.0,2188.0,259.0,66.0,2553.0,11347.0,1733.0,3383.0,249.0,23.0,5388.0,593.0,941.0,423.0,7345.0,0.0,1355.0,1957.0,71.0,128.0,491.0,4002.0,11347.0,919.0,2296.88,0.0,3972.12,0.0,40.86,3.0,590.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,102.0,102.0,7867.0,7867.0,7969.0,682.0,64.0,139.0,0.0,885.0,313.0,2353.0,462.0,68.0,3196.0,12050.0,1947.0,2955.0,624.0,39.0,5565.0,594.0,905.0,425.0,7489.0,0.0,1452.0,2017.0,126.0,105.0,861.0,4561.0,12050.0,605.0,2446.04,0.0,3955.75,0.0,40.86,5.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,102.0,102.0,7870.0,7870.0,7972.0,458.0,67.0,4.0,0.0,529.0,907.0,2817.0,1575.0,103.0,5402.0,13903.0,2455.0,2526.0,821.0,68.0,5870.0,1441.0,76.0,364.0,7751.0,0.0,1866.0,2733.0,100.0,79.0,1374.0,6152.0,13903.0,573.0,3409.78,0.0,0.0,5195.21,40.86,5.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,153.0,153.0,7871.0,7871.0,8024.0,458.0,165.0,85.0,0.0,708.0,539.0,3297.0,1130.0,130.0,5096.0,13828.0,3250.0,2104.0,804.0,82.0,6240.0,1406.0,64.0,432.0,8142.0,0.0,1316.0,3161.0,163.0,2.0,1044.0,5686.0,13828.0,685.0,2955.54,0.0,0.0,4354.71,91.86,5.0,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,153.0,153.0,7633.0,7633.0,7786.0,384.0,231.0,89.0,0.0,704.0,703.0,4317.0,1615.0,158.0,6793.0,15283.0,3881.0,1717.0,638.0,84.0,6320.0,1441.0,71.0,194.0,8026.0,0.0,1943.0,4046.0,334.0,2.0,932.0,7257.0,15283.0,697.0,3820.83,0.0,0.0,5760.34,91.86,6.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,153.0,153.0,8048.0,8048.0,8201.0,0.0,97.0,1282.0,0.0,1379.0,1665.0,6451.0,1770.0,167.0,10053.0,19633.0,4164.0,1313.0,809.0,100.0,6386.0,1534.0,0.0,227.0,8147.0,840.0,2929.0,5567.0,825.0,138.0,1187.0,11486.0,19633.0,750.0,5155.12,0.0,0.0,8710.75,91.86,8.0,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,150.0,150.0,6918.0,6918.0,7068.0,0.0,87.0,2039.0,0.0,2126.0,566.0,6701.0,1325.0,158.0,8750.0,17944.0,4183.0,136.0,856.0,11.0,5186.0,3208.0,0.0,234.0,8628.0,0.0,1677.0,5713.0,739.0,14.0,1173.0,9316.0,17944.0,663.0,5929.0,0.0,0.0,10772.58,91.86,6.0,3202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,150.0,150.0,7380.0,7380.0,7530.0,0.0,8.0,1423.0,27.0,1458.0,1827.0,1451.0,4651.0,4.0,7933.0,16921.0,646.0,92.0,104.0,14.0,856.0,3513.0,0.0,121.0,4490.0,0.0,346.0,2249.0,192.0,28.0,9616.0,12431.0,16921.0,412.0,3677.0,0.0,0.0,8249.0,91.86,7.0,3506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
