Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1052.94,32.1,1085.04,505.76,135.32,3.63,53.59,39.81,0.0,279.65,67.28,61.81,129.09,58.56,70.53,0.0,70.53,22.94,47.59,0.0,47.59,88.52,1.06,1.06,31.48,71.13,11.88,92.96,26.84
2013-03-31,909.29,10.68,919.97,474.82,70.67,-22.41,64.79,41.13,0.0,314.29,-23.32,18.76,-4.56,58.54,-63.1,0.0,-63.1,-14.68,-48.42,0.0,-48.42,88.52,-1.09,-1.09,31.48,71.13,10.36,81.09,23.41
2013-06-30,1309.01,39.42,1348.43,509.78,258.85,-34.59,65.53,37.51,0.0,338.55,172.8,91.23,264.03,59.25,204.78,0.0,204.78,60.55,144.23,0.0,144.23,88.52,3.26,3.26,31.48,71.14,10.44,81.71,23.58
2013-09-30,1230.7,49.19,1279.89,578.52,145.65,-51.95,61.65,40.15,0.0,339.94,165.93,180.45,346.38,126.49,219.89,-19.86,200.03,34.9,165.13,0.0,165.13,88.52,3.73,3.73,31.48,71.14,10.53,82.45,23.79
2013-12-31,1117.59,28.01,1145.6,493.12,169.82,-49.78,65.42,44.28,0.0,324.05,98.69,22.09,120.78,29.88,90.9,0.0,90.9,18.46,72.44,0.0,72.44,88.52,1.64,1.64,31.49,71.14,10.08,78.9,22.77
2014-03-31,1157.55,36.8,1194.35,546.58,114.1,-17.37,65.27,47.15,0.0,378.23,60.39,12.97,73.36,16.57,56.79,0.0,56.79,22.86,33.93,0.0,33.93,85.72,0.79,0.79,30.09,70.19,11.32,88.58,26.41
2014-06-30,1360.44,31.1,1391.54,552.63,196.08,-33.87,75.12,41.05,0.0,418.98,141.55,16.82,158.37,0.88,157.49,0.0,157.49,50.68,106.81,0.0,106.81,85.72,2.49,2.49,30.09,70.2,11.32,88.6,26.4
2014-09-30,1358.63,23.83,1382.46,647.84,254.52,-104.4,82.88,48.75,0.0,407.73,45.14,197.0,242.14,29.86,212.28,0.0,212.28,10.83,201.45,0.0,201.45,85.72,4.7,4.7,30.09,70.2,11.26,88.13,26.26
2014-12-31,1246.23,27.11,1273.34,595.09,82.47,-4.37,77.26,49.6,0.0,396.83,76.46,20.27,96.73,-19.2,115.93,0.0,115.93,36.6,79.33,0.0,79.33,85.72,1.85,1.85,30.09,70.2,11.71,91.68,27.32
2015-03-31,1260.9,26.75,1287.65,643.2,60.32,-64.73,82.54,47.35,0.0,406.58,112.39,6.38,118.77,23.73,95.04,0.0,95.04,19.3,75.74,0.0,75.74,85.72,1.77,1.77,30.09,70.2,11.75,92.0,27.42
2015-06-30,1519.95,36.2,1556.15,706.78,94.24,-26.64,95.43,184.66,0.0,437.83,63.85,15.73,79.58,31.11,48.47,0.0,48.47,21.14,27.33,0.0,27.33,85.72,0.54,0.54,30.09,70.2,11.75,92.0,27.42
2015-09-30,1534.99,55.51,1590.5,708.47,53.08,61.73,101.64,149.53,0.0,415.99,100.06,231.9,331.96,29.97,301.99,0.0,301.99,18.14,283.85,0.0,283.85,85.72,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2015-12-31,1363.85,29.37,1393.22,752.26,72.11,-93.58,91.32,152.38,0.0,437.45,-18.72,16.2,-2.52,42.92,-45.44,0.0,-45.44,10.58,-56.02,0.0,-56.02,85.72,-1.1,-1.09,0.0,0.0,0.0,0.0,0.0
2016-03-31,1440.91,0.0,1440.91,596.78,60.63,1.13,110.13,172.53,0.0,435.39,64.32,210.51,274.83,109.51,165.32,0.0,165.32,19.69,145.63,0.0,145.63,85.72,3.4,2.86,0.0,0.0,0.0,0.0,0.0
