Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,10041.65,178.06,10219.71,5587.83,0.0,148.57,1437.31,219.79,1411.94,1414.27,332.38,1746.65,50.91,1695.74,0.0,1695.74,513.89,1181.85,0.0,1181.85,489.52,4.83,4.83,79.0,32.28,165.76,100.0,67.72
2013-03-31,18850.16,354.22,19204.38,9662.4,0.0,966.64,1439.09,288.9,2485.03,4362.32,292.39,4654.71,40.53,4614.18,0.0,4614.18,1437.67,3176.51,61.03,3237.54,489.52,13.23,13.23,79.0,32.28,165.76,100.0,67.72
2013-06-30,6352.55,105.57,6458.12,3482.1,0.0,151.95,1474.95,230.8,960.54,157.78,538.48,696.26,27.76,668.5,0.0,668.5,203.07,465.43,0.0,465.43,489.52,1.9,1.9,79.0,32.28,165.76,100.0,67.72
2013-09-30,8819.0,165.35,8984.35,5559.12,0.0,-227.25,1612.86,238.68,1627.69,173.25,497.9,671.15,24.66,646.49,0.0,646.49,190.54,455.95,0.0,455.95,489.52,1.86,1.86,79.0,32.28,165.76,100.0,67.72
2013-12-31,8462.38,172.47,8634.85,4939.59,0.0,-59.46,1525.55,241.61,1243.23,744.33,290.78,1035.11,32.28,1002.83,0.0,1002.83,308.02,694.81,0.0,694.81,489.52,2.84,2.84,79.0,32.28,165.76,100.0,67.72
2014-03-31,14754.89,276.62,15031.51,7480.62,0.0,1192.16,1320.42,271.83,2304.93,2461.55,288.87,2750.42,47.93,2702.49,-6.01,2696.48,851.89,1844.59,0.0,1844.59,489.52,7.54,7.54,90.41,36.94,154.35,100.0,63.06
2014-06-30,5067.59,87.38,5154.97,3200.36,0.0,-603.77,1577.07,272.54,763.39,-54.62,347.79,293.17,47.27,245.9,0.0,245.9,52.4,193.5,0.0,193.5,489.52,0.79,0.79,90.41,36.94,154.35,100.0,63.06
2014-09-30,6027.58,116.44,6144.02,3753.05,0.0,-319.27,1595.6,266.22,823.09,25.33,196.12,221.45,12.62,208.83,0.0,208.83,83.99,124.84,0.0,124.84,489.52,0.51,0.51,90.41,36.94,154.35,100.0,63.06
2014-12-31,6078.37,119.59,6197.96,3703.14,0.0,-373.91,1362.18,256.43,1212.75,37.37,274.1,311.47,5.23,306.24,0.0,306.24,93.64,212.6,0.0,212.6,489.52,0.87,0.87,90.41,36.94,154.35,100.0,63.06
2015-03-31,12368.43,317.6,12686.03,6601.73,0.0,958.91,915.15,282.13,2528.45,1399.66,16.02,1415.68,26.53,1389.15,0.0,1389.15,434.92,954.23,-65.88,888.35,489.52,3.63,3.63,90.41,36.94,154.35,100.0,63.06
2015-06-30,4280.02,87.68,4367.7,2826.64,0.0,-451.41,1434.21,242.52,741.15,-425.41,491.25,65.84,3.26,62.58,0.0,62.58,12.15,50.43,0.0,50.43,489.52,0.21,0.21,90.41,36.94,154.35,100.0,63.06
2015-09-30,5844.5,96.15,5940.65,4152.68,0.0,-242.68,1454.32,224.93,1014.25,-662.85,373.91,-288.94,4.37,-293.31,0.0,-293.31,-112.53,-180.78,0.0,-180.78,489.52,-0.74,-0.74,0.0,0.0,0.0,0.0,0.0
