Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Short Term Loans And Advances,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,244.76,244.76,5051.18,5051.18,5295.94,0.0,0.0,681.23,1.54,1760.99,3435.92,1139.94,6338.39,12315.56,1088.76,4.94,109.57,0.0,1203.27,28.98,641.26,17.92,1891.44,2103.88,4608.48,2659.64,0.0,10424.13,12315.56,815.79,1155.82,0.0,71.58,30.33,33.29,448.45,20.87,0.0,28.98,538.49,0.0,1052.12,142.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,244.76,244.76,5782.13,5782.13,6026.89,0.0,0.0,665.53,0.0,2133.79,4986.65,1325.45,8445.89,15138.31,1022.27,21.53,98.12,0.0,1141.92,8.95,646.82,0.0,1797.69,2916.11,5972.14,3177.86,0.0,13340.62,15138.31,609.68,1685.52,0.0,40.45,46.15,36.14,764.34,35.43,0.0,8.95,536.98,0.0,1274.51,128.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,244.76,244.76,7056.62,7056.62,7301.38,0.0,0.0,655.63,0.0,2852.23,5955.52,3649.32,12457.07,20414.08,953.58,28.26,191.27,0.0,1173.11,8.29,771.11,0.0,1952.51,3744.37,7168.06,4133.98,0.0,18461.57,20414.08,769.95,2287.08,0.0,70.1,85.92,92.97,568.71,140.92,0.0,8.29,558.24,0.0,3415.16,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,244.76,244.76,8543.5,8543.5,8788.26,0.0,0.0,148.78,0.0,3594.37,8303.5,5708.25,17606.12,26543.16,923.49,64.81,306.58,0.0,1294.88,8.29,994.61,0.0,2297.78,4217.67,9695.82,5808.91,0.0,24245.38,26543.16,976.05,2284.62,0.0,159.55,159.67,74.66,860.65,235.26,0.0,8.29,89.33,0.0,4522.98,59.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,489.52,489.52,10284.69,10284.69,10774.21,0.0,0.0,151.7,0.0,4483.83,12092.62,7608.68,24185.13,35111.04,900.68,80.14,658.47,0.0,1639.29,8.29,1394.45,0.0,3042.03,5736.4,11974.87,8386.02,0.0,32069.01,35111.04,1673.19,3206.62,0.0,188.52,209.04,139.48,817.53,121.56,244.76,8.29,95.18,0.0,5971.72,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,489.52,489.52,12449.29,12449.29,12938.81,0.0,0.0,207.15,0.0,5919.99,17437.33,4975.58,28332.9,41478.86,1367.17,102.79,1212.7,0.0,2682.66,52.34,1898.08,0.0,4633.08,7837.02,15975.5,10314.67,0.0,36845.78,41478.86,2546.25,5377.62,0.0,408.15,256.77,132.64,1569.74,214.8,244.76,52.34,149.37,0.0,2718.59,57.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,489.52,489.52,15427.84,15427.84,15917.36,0.0,0.0,201.74,0.0,7622.1,20401.64,4417.98,32441.72,48560.82,2289.11,125.85,1550.49,0.0,3965.45,79.84,1601.22,0.0,5646.51,9235.46,20688.75,9790.08,0.0,42914.31,48560.82,2538.13,6452.27,0.0,783.66,351.46,148.76,1231.59,335.12,244.76,79.84,127.75,0.0,3200.02,73.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,489.52,489.52,19664.32,19664.32,20153.84,9142.4,4923.23,14167.77,0.0,8095.42,14169.95,2673.31,24938.68,59260.29,3265.28,135.64,1723.4,10.36,5134.68,439.17,2163.55,7362.12,15982.43,10852.05,20103.5,9630.15,309.63,43277.86,59260.29,0.0,4243.07,2837.8,700.94,606.96,176.5,769.21,8456.79,244.76,439.17,102.14,882.91,2382.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,489.52,489.52,24883.69,24883.69,25373.21,7550.77,5005.68,12679.88,0.0,10271.31,15815.93,2635.69,28722.93,66776.02,4160.72,136.09,1324.63,22.98,5644.42,461.67,1546.24,9508.65,18061.08,13444.5,26336.13,6671.98,150.61,48714.94,66776.02,0.0,4884.27,4049.33,401.25,479.96,206.51,1006.53,13412.62,244.76,461.67,123.43,900.1,2111.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,489.52,489.52,29954.58,29954.58,30444.1,5789.68,5932.91,11851.79,1286.0,9675.24,13862.1,3009.22,27832.56,70128.45,4314.67,143.82,1133.51,38.08,5630.08,429.17,1550.69,10653.72,19168.99,11763.82,29234.49,7732.05,199.98,50959.46,70128.45,3441.04,3042.51,3245.41,319.86,374.71,202.43,438.68,11917.91,244.76,429.17,129.2,905.33,2029.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
