Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2007-03-31,504.25,504.25,0.0,0.0,26.02,7.77,456.01,14.45,19.12,33.57,0.0,33.57,33.57,10.12,23.45,0.0,23.45,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2007-06-30,321.95,321.95,0.0,0.0,16.5,6.45,290.79,8.21,11.91,20.12,0.0,20.12,20.12,5.75,14.37,0.0,14.37,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2007-09-30,359.67,359.67,0.0,0.0,20.49,10.05,325.16,3.97,20.44,24.41,0.0,24.41,24.41,7.87,16.54,0.0,16.54,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2007-12-31,419.91,419.91,0.0,0.0,25.91,8.83,392.81,-7.64,19.99,12.35,0.0,12.35,12.35,2.06,10.29,0.0,10.29,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2008-03-31,837.71,837.71,0.0,0.0,27.22,8.16,756.38,45.95,29.23,75.18,0.0,75.18,75.18,26.3,48.88,0.0,48.88,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2008-06-30,406.78,406.78,0.0,0.0,26.45,10.81,360.15,9.37,17.35,26.72,0.0,26.72,26.72,8.09,18.63,0.0,18.63,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2008-09-30,631.3,631.3,0.0,0.0,21.14,10.33,579.63,20.2,25.58,45.78,0.0,45.78,45.78,13.16,32.62,0.0,32.62,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2008-12-31,733.48,733.48,0.0,0.0,37.02,9.74,667.15,19.57,25.34,44.91,0.0,44.91,44.91,16.5,28.41,0.0,28.41,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2009-03-31,789.43,789.43,0.0,0.0,38.34,11.66,732.0,7.43,50.37,57.8,0.0,57.8,57.8,15.34,42.46,0.0,42.46,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2009-06-30,601.31,601.31,0.0,0.0,28.23,10.74,542.2,20.14,20.04,40.18,0.0,40.18,40.18,11.51,28.67,0.0,28.67,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2009-09-30,713.71,713.71,0.0,0.0,29.4,9.46,642.81,32.04,9.57,41.61,0.0,41.61,41.61,12.06,29.55,0.0,29.55,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2009-12-31,704.8,704.8,0.0,0.0,37.98,11.2,627.12,28.5,21.79,50.29,0.0,50.29,50.29,12.2,38.09,3.52,41.61,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2010-03-31,1063.49,1063.49,0.0,0.0,45.48,8.03,892.68,117.3,10.56,127.86,0.0,127.86,127.86,29.62,98.24,0.04,98.28,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2010-06-30,570.52,570.52,0.0,0.0,34.7,8.25,503.29,24.28,20.53,44.81,0.0,44.81,44.81,14.58,30.23,0.0,30.23,9.9,0.0,30.54,30.54,0.0,0.27,0.99,100.0,99.73
2010-09-30,533.56,533.56,0.0,0.0,30.73,8.36,470.89,23.58,18.7,42.28,0.0,42.28,42.28,13.21,29.07,0.0,29.07,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2010-12-31,598.46,598.46,0.0,0.0,37.37,9.43,515.41,36.25,19.56,55.81,0.0,55.81,55.81,12.79,43.02,0.0,43.02,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2011-03-31,1462.32,1462.32,0.0,0.0,46.23,15.88,1193.35,206.86,21.18,228.04,0.0,228.04,228.04,70.94,157.1,0.0,157.1,9.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
2011-06-30,627.32,627.32,0.0,0.0,40.31,9.5,507.78,69.73,33.04,102.77,0.0,102.77,102.77,28.63,74.14,0.0,74.14,9.9,0.0,74.9,74.9,0.0,0.27,0.99,100.0,99.73
2017-06-30,761.47,761.47,0.0,0.0,58.44,3.7,680.88,18.45,42.25,60.7,24.86,35.84,35.84,9.6,26.24,0.0,26.24,98.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,723.43,723.43,0.0,0.0,60.8,2.73,650.67,9.23,56.77,66.0,23.25,42.75,42.75,9.59,33.16,0.0,33.16,98.98,0.0,3.35,3.35,0.0,0.0,0.0,0.0,0.0
2017-12-31,908.59,908.59,0.0,0.0,46.19,3.19,751.05,108.16,55.18,163.34,4.33,159.01,159.01,46.86,112.15,0.0,112.15,94.05,0.0,11.36,11.36,0.0,0.0,0.0,0.0,0.0
2018-03-31,1502.9,1502.9,0.0,0.0,66.46,3.23,1197.88,235.33,72.47,307.8,12.09,295.71,295.71,76.4,219.31,0.0,219.31,94.05,3657.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
