Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances
2004-03-31,232.0,232.0,2346.6,2346.6,2578.6,16656.92,0.0,0.0,16656.92,0.0,0.0,466.89,557.89,19793.41,15.58,0.0,0.0,15.58,0.0,18571.97,0.0,0.0,636.84,574.81,9.79,1221.44,19793.41,0.0,0.0,0.0,0.0,0.0,0.0,91.0,18556.39,0.0
2005-03-31,232.0,232.0,2160.91,2160.91,2392.91,17538.05,0.0,0.0,18057.13,0.0,0.0,556.47,679.11,21129.15,15.23,0.0,0.0,15.23,0.0,19822.85,0.0,0.0,951.53,338.65,16.12,1306.3,21129.15,0.0,0.0,0.0,0.0,0.0,519.08,122.64,19807.62,0.0
2006-03-31,232.0,232.0,1863.76,1863.76,2095.76,19916.08,0.0,0.0,21022.54,0.0,0.0,396.82,439.54,23557.84,14.9,0.0,0.0,14.9,0.0,21915.42,0.0,0.0,1299.46,295.1,47.86,1642.42,23557.84,0.0,0.0,0.0,0.0,0.0,1106.46,42.72,21900.52,0.0
2007-03-31,232.0,232.0,1621.25,1621.25,1853.25,21794.17,0.0,0.0,23504.31,0.0,0.0,493.82,600.42,26225.97,14.57,0.0,0.0,14.57,0.0,16.57,0.0,0.0,972.54,25121.96,114.89,26209.4,26225.97,0.0,0.0,0.0,0.0,268.0,1710.14,106.6,2.0,0.0
2008-03-31,500.0,500.0,1925.76,1925.76,2425.76,24098.57,0.0,0.0,25953.22,0.0,0.0,617.77,813.8,29192.78,14.2,0.0,0.0,14.2,0.2,16.4,0.0,0.0,1502.19,27674.19,0.0,29176.39,29192.78,0.48,142.91,2.0,0.0,0.0,1854.65,196.04,2.0,0.0
2009-03-31,500.0,500.0,1980.7,1980.7,2480.7,27388.71,0.0,0.0,29645.26,0.0,0.0,773.72,985.36,33411.32,13.99,0.0,0.0,13.99,34.09,50.08,0.0,0.0,1012.74,32348.5,0.0,33361.24,33411.32,0.5,148.43,2.0,0.0,300.0,2256.55,211.63,2.0,0.0
2010-03-31,1091.0,1091.0,2314.48,2314.48,3405.48,33608.57,0.0,0.0,36075.6,0.0,0.0,900.49,1183.02,40664.09,13.69,0.0,0.0,13.69,1.18,16.87,0.0,0.0,1508.2,39139.03,0.0,40647.22,40664.09,0.64,223.73,2.0,0.0,0.0,2467.02,282.53,2.0,0.0
2013-03-31,2352.0,2352.0,3442.28,3442.28,5794.28,52291.63,4.79,0.14,55967.31,1026.0,0.0,7280.65,8393.45,70755.04,12.92,0.02,0.0,12.93,448.78,65589.69,0.0,0.0,404.77,17.92,4742.67,5165.36,70755.04,0.45,315.18,12.66,0.0,600.0,3670.75,86.8,12.66,65115.31
2014-03-31,3352.0,3352.0,3978.08,3978.08,7330.08,65042.43,3.32,0.27,69258.16,829.0,0.0,6217.42,7109.82,83930.02,12.59,0.02,0.0,12.6,441.04,75919.6,0.0,0.0,2021.96,1.77,5986.7,8010.42,83930.02,0.17,459.11,10.92,0.0,231.96,4212.14,63.4,10.92,75455.03
2015-03-31,3583.96,3583.96,4555.15,4555.15,8139.11,61784.14,2.23,0.29,66747.57,200.0,0.0,11976.4,12217.82,87646.99,11.99,0.01,0.0,12.01,464.38,80715.38,0.0,0.0,5.07,1.7,6924.84,6931.61,87646.99,0.35,485.99,9.32,0.0,542.5,4960.91,41.42,9.32,80229.67
2016-03-31,4526.46,4526.46,4998.89,4998.89,9525.35,75892.07,512.01,1.24,82051.32,5675.72,0.0,8911.87,14823.72,108400.39,11.74,0.02,0.0,11.76,887.18,97906.16,0.0,0.0,1211.21,1689.21,7593.81,10494.23,108400.39,400.14,505.95,7.87,0.0,2000.0,5646.0,236.13,7.87,96999.35
2017-03-31,6526.46,6526.46,5483.14,5483.14,12009.6,96710.27,1741.2,1.16,104842.55,5769.35,0.0,6979.59,12797.48,129649.63,11.5,0.01,0.0,11.52,1917.36,118562.46,1.33,0.0,7.52,2899.07,8179.26,11087.18,129649.63,0.09,377.92,6.54,1.33,0.0,6389.92,48.54,6.54,116627.04
2018-03-31,6526.46,6526.46,7038.75,7038.75,13565.21,114854.13,2050.29,1.51,123295.85,4966.79,0.0,20283.98,25471.07,162332.13,11.27,0.03,0.0,11.29,3978.37,148225.94,1.21,0.0,99.82,3328.1,10677.06,14106.19,162332.13,1.0,376.53,5.33,1.21,0.0,6389.92,220.31,5.33,144230.95
