Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2000-06-30,654.37,654.37,0.0,212.53,0.0,0.0,2.13,439.71,0.0,439.71,390.13,49.58,49.58,0.0,49.58,0.0,49.58,232.0,0.0,2.14,0.0
2000-09-30,671.58,671.58,0.0,216.74,0.0,0.0,1.84,453.0,66.65,519.65,385.64,134.01,134.01,0.0,134.01,0.0,134.01,232.0,0.0,577.6,0.0
2000-12-31,718.44,718.44,0.0,219.11,0.0,0.0,0.39,498.94,0.0,498.94,428.14,70.8,70.8,0.0,70.8,0.0,70.8,232.0,0.0,305.1,0.0
2001-03-31,746.43,746.43,0.0,238.68,0.0,0.0,4.09,503.66,0.0,503.66,433.91,69.75,69.75,27.47,42.28,0.0,42.28,232.0,0.0,182.2,0.0
2001-06-30,712.25,712.25,0.0,234.6,0.0,0.0,1.1,476.55,47.68,524.23,436.31,87.92,87.92,0.0,87.92,0.0,87.92,232.0,0.0,378.9,0.0
2001-09-30,502.43,502.43,0.0,0.08,0.0,0.0,5.4,496.95,0.1,497.05,423.73,73.32,73.32,0.0,73.32,0.0,73.32,232.0,0.0,316.0,0.0
2001-12-31,503.36,503.36,0.0,0.08,0.0,0.0,1.77,501.51,0.0,501.51,408.6,92.91,92.91,0.0,92.91,0.0,92.91,232.0,0.0,400.4,0.0
2002-03-31,687.15,687.15,0.0,235.82,0.0,0.0,0.98,450.35,0.0,450.35,374.6,75.75,75.75,25.24,50.51,0.0,50.51,232.0,0.0,217.7,0.0
2002-06-30,439.41,439.41,0.0,0.1,0.0,0.0,0.7,438.61,25.86,464.47,388.37,76.1,76.1,0.0,76.1,0.0,76.1,232.0,0.0,328.0,0.0
2002-09-30,483.8,483.8,0.0,0.1,0.0,0.0,0.8,482.9,0.0,482.9,395.74,87.16,87.16,0.0,87.16,0.0,87.16,232.0,0.0,375.6,0.0
2002-12-31,488.84,488.84,0.0,0.1,0.0,0.0,0.63,488.11,0.01,488.12,382.51,105.61,105.61,0.0,105.61,0.0,105.61,232.0,0.0,455.2,0.0
2004-03-31,437.48,437.48,0.14,0.1,0.0,0.0,55.52,381.72,11.34,393.06,300.49,92.57,92.57,7.11,85.46,0.0,85.46,232.0,0.0,368.3,0.0
2004-06-30,460.88,460.88,0.09,0.1,0.0,0.0,46.66,414.03,-3.3,410.73,312.91,97.82,97.82,7.67,90.15,0.0,90.15,232.0,0.0,3.89,0.0
2004-09-30,482.31,482.31,0.09,0.1,0.0,0.0,47.78,434.34,-0.11,434.23,317.89,116.34,116.34,9.12,107.22,0.0,107.22,232.0,0.0,4.62,0.0
2004-12-31,498.49,498.49,0.1,0.1,0.0,0.0,55.75,442.54,10.57,453.11,314.76,138.35,138.35,10.85,127.5,0.0,127.5,232.0,0.0,549.5,0.0
2005-03-31,487.78,487.78,0.12,0.1,0.0,0.0,52.52,435.04,41.04,476.08,315.94,160.14,160.14,12.56,147.58,0.0,147.58,232.0,0.0,636.1,0.0
2005-06-30,475.14,475.14,0.12,0.1,0.0,0.0,51.29,423.63,4.82,428.45,300.25,128.2,128.2,44.33,83.87,0.0,83.87,232.0,0.0,3.62,0.0
2005-09-30,513.78,513.78,0.08,0.1,0.0,0.0,50.72,462.88,-0.01,462.87,336.27,126.6,126.6,41.46,85.14,0.0,85.14,232.0,0.0,3.67,0.0
2006-03-31,526.53,526.53,0.16,0.1,0.0,0.0,397.48,128.79,0.82,129.61,0.0,129.61,129.61,43.64,85.97,0.0,85.97,232.0,0.0,3.71,0.0
2007-03-31,616.39,616.39,0.16,0.1,0.0,0.0,443.28,172.85,0.0,172.85,0.0,172.85,172.85,70.65,102.2,0.04,102.24,232.0,0.0,440.6,0.0
2007-06-30,589.42,589.42,0.13,0.1,0.0,0.0,436.84,152.35,0.0,152.35,0.0,152.35,152.35,51.8,100.55,0.0,100.55,500.0,0.0,201.1,0.0
2007-09-30,625.63,625.63,0.14,0.1,0.0,-3.61,42.01,586.99,0.0,586.99,427.23,159.76,159.76,54.33,105.43,0.0,105.43,500.0,0.0,210.8,0.0
2007-12-31,711.79,711.79,0.15,0.1,0.0,0.0,524.33,187.21,0.0,187.21,0.0,187.21,187.21,63.66,123.55,0.0,123.55,500.0,0.0,247.1,0.0
