Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2016-12-31,0.0,0.0,0.0,1014.05,85.14,407.75,0.0,280.85,410.59,143.49,267.1,0.0,267.1,267.1,1095.14,2.44,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,860.01,103.95,29.25,85.12,129.43,388.61,149.53,139.54,530.09,36.44,493.65,171.24,322.41,322.41,1095.14,2.94,2.94,86.26,61.17,0.51,0.36,1.16
2017-06-30,792.89,104.24,74.09,182.14,121.96,409.87,163.18,145.39,556.88,55.64,501.24,174.68,326.56,326.56,1095.14,2.98,2.98,175.19,105.46,0.93,0.56,1.1
2017-09-30,897.31,119.56,36.86,66.39,222.64,426.56,173.24,148.01,594.95,86.94,508.01,176.92,331.09,331.09,1192.8,3.02,3.02,279.15,146.72,1.43,0.76,1.05
2017-12-31,954.89,129.75,21.09,72.49,158.2,446.44,162.96,152.56,574.47,122.55,451.92,151.88,300.05,300.05,1095.14,2.74,2.74,386.29,184.12,1.67,0.8,0.92
2018-03-31,1178.52,136.47,9.57,26.04,203.38,487.19,188.6,174.37,703.81,109.09,594.72,206.87,387.86,387.86,1192.8,3.51,3.51,373.14,172.9,1.25,0.58,1.0
2018-06-30,1298.05,150.89,34.61,72.62,210.69,519.0,248.85,178.49,820.51,80.03,740.49,258.77,481.71,481.71,1192.8,4.04,4.03,388.34,194.25,1.26,0.64,1.12
2018-09-30,1399.84,159.44,12.54,33.81,230.44,528.19,234.16,199.74,873.99,124.18,749.81,262.16,487.65,487.65,1192.8,4.09,4.08,413.35,220.36,1.29,0.69,1.08
2018-12-31,1435.55,151.25,12.6,50.14,234.1,525.55,255.75,201.87,900.48,377.65,522.83,191.56,331.27,331.27,1192.8,2.78,2.77,831.02,236.71,2.41,0.7,0.73
2019-03-31,1593.79,155.54,11.66,71.7,387.83,575.21,269.93,222.17,1153.2,153.28,999.92,349.05,650.87,650.87,1193.08,5.46,5.45,819.56,228.32,2.04,0.58,1.28
2019-06-30,2281.71,190.16,28.7,130.73,331.02,1056.75,331.77,218.75,1355.07,125.36,1229.71,426.09,803.62,803.62,1609.83,4.99,4.97,1019.7,347.5,1.7,0.59,1.04
2019-09-30,2370.15,195.5,51.25,73.37,360.27,1161.23,332.71,249.67,1306.94,145.55,1161.39,189.59,971.8,971.8,1610.07,6.04,6.01,1064.21,336.88,1.76,0.56,1.21
2019-12-31,2371.15,200.6,53.14,92.74,357.72,1177.35,340.49,293.63,1263.88,294.88,969.0,237.96,731.03,731.03,1610.08,4.54,4.52,1181.96,491.44,1.93,0.81,0.89
2020-03-31,2463.24,246.54,30.16,106.35,500.18,1166.25,362.07,297.46,1520.69,827.36,693.33,176.04,517.29,517.29,1610.25,3.21,3.21,992.78,389.4,1.48,0.58,0.59
2020-06-30,2621.96,229.25,40.67,126.21,386.76,1206.56,389.4,224.7,1584.18,849.06,735.12,185.3,549.82,549.82,1610.28,3.41,3.41,1006.67,335.78,1.43,0.48,0.58
2020-09-30,2792.55,272.29,46.73,86.06,381.76,1274.54,414.78,262.56,1627.52,394.51,1233.01,312.99,920.01,920.01,1610.35,5.71,5.71,873.97,262.55,1.18,0.36,0.9
2020-12-31,2906.82,315.77,18.36,66.89,553.28,1236.1,434.76,276.18,1914.08,1068.73,845.35,212.76,632.59,632.59,1610.38,3.93,3.92,859.22,201.34,1.11,0.26,0.61
2021-03-31,2570.46,356.85,12.45,60.89,787.25,1243.65,425.69,389.09,1729.48,1594.31,135.17,32.14,103.03,103.03,1610.6,0.64,0.64,5757.76,2861.03,6.81,3.51,0.09
2021-06-30,2990.44,341.43,24.76,53.38,533.36,1295.94,499.79,276.56,1871.09,1374.88,496.21,123.13,373.08,373.08,1610.67,2.32,2.32,6440.38,2457.87,8.18,3.29,0.33
2021-09-30,2777.68,339.41,58.38,5.43,491.63,1245.47,545.68,332.13,1549.23,5577.92,-4028.69,-1020.09,-3008.6,-3008.6,1610.7,-18.68,-18.68,8763.6,2265.81,10.82,3.04,-2.64
2021-12-31,2975.34,394.42,38.67,0.23,712.29,1283.96,519.03,367.81,1950.15,805.71,1144.44,285.47,858.97,858.97,1610.72,5.33,5.33,9441.57,2413.13,10.81,3.01,0.72
2022-03-31,3440.44,403.05,18.71,9.37,964.4,1331.73,570.38,412.47,2521.39,4.72,2516.67,614.33,1902.34,1902.34,1610.77,11.81,11.81,6380.0,1564.23,6.46,1.66,1.47
2022-06-30,3551.84,442.24,31.64,29.65,329.69,1540.94,634.63,388.85,1820.63,642.43,1178.2,291.7,886.5,886.5,1610.79,5.5,5.5,6967.55,1749.07,7.25,1.92,0.63
2022-09-30,3264.62,455.54,13.84,39.45,476.41,1580.46,666.31,450.21,1552.89,1279.67,273.22,63.95,209.27,209.27,1610.82,1.3,1.3,6853.85,1678.16,7.19,1.86,0.15
2022-12-31,3260.29,486.38,14.14,46.83,1033.31,1727.21,686.71,504.85,1922.17,1541.5,380.68,90.11,290.57,290.57,1610.83,1.81,1.81,6964.76,1711.3,7.15,1.86,0.21
2023-03-31,3698.41,502.14,9.75,57.95,629.14,1796.48,727.42,577.84,1795.65,734.77,1060.88,252.59,808.29,808.29,1610.84,5.02,5.02,5298.62,1228.27,4.87,1.17,0.55
2023-06-30,3905.72,515.81,23.55,77.83,385.12,2032.29,811.7,501.73,1562.3,602.09,960.21,239.16,721.05,721.05,1610.86,4.48,4.48,6960.4,2140.71,6.76,2.18,0.48
2023-09-30,3888.25,531.09,13.83,58.77,540.25,2048.57,862.29,537.93,1583.4,636.15,947.25,226.08,721.17,721.17,1610.9,4.47,4.47,7873.83,2365.19,7.32,2.32,0.48
2023-12-31,4082.95,492.31,18.06,72.11,545.16,2140.07,898.72,516.49,1655.31,684.01,971.3,238.58,732.72,732.72,1610.91,4.55,4.55,8135.54,2439.57,7.02,2.21,0.48
