Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-06-30,165.85,165.85,52.81,10.66,50.79,51.59,3.24,54.83,2.1,52.74,52.74,17.15,35.59,35.59,48.76,7.3,0.0
2019-09-30,164.2,164.2,52.56,11.89,49.19,50.56,6.26,56.83,1.98,54.84,54.84,12.43,42.41,42.41,48.76,8.7,8.69
2020-06-30,143.06,143.06,52.71,10.03,40.31,40.01,9.03,49.03,2.03,47.0,47.0,10.74,36.26,36.26,48.79,7.43,7.43
2020-09-30,161.94,161.94,51.66,9.89,43.67,56.71,16.11,72.82,1.84,70.98,70.98,15.76,55.22,55.22,48.79,11.32,11.29
2020-12-31,179.57,179.57,53.35,9.81,54.17,62.23,30.18,92.41,1.79,90.62,90.62,16.31,74.3,74.3,48.79,15.23,15.15
2021-03-31,189.19,189.19,59.34,9.66,50.48,69.72,3.3,73.01,1.61,71.41,71.41,18.22,53.19,53.19,48.79,10.9,10.84
2021-06-30,191.29,191.29,60.55,9.72,46.5,74.53,30.5,105.03,1.67,103.36,103.36,19.43,83.92,83.92,48.83,17.19,17.11
2021-09-30,215.73,215.73,68.87,10.95,50.61,85.3,3.04,88.34,1.65,86.69,86.69,21.45,65.24,65.24,48.83,13.36,13.28
2021-12-31,226.61,226.61,70.17,12.39,50.55,93.5,3.15,96.65,1.67,94.98,94.98,22.83,72.15,72.15,48.9,14.76,14.66
2022-03-31,230.14,230.14,70.72,14.34,55.71,89.37,3.08,92.45,1.63,90.82,90.82,22.72,68.1,68.1,48.9,13.93,13.84
2022-06-30,226.41,226.41,77.49,12.46,54.58,81.89,3.32,85.21,1.6,83.6,83.6,21.28,62.32,62.32,48.93,12.74,12.65
2022-09-30,231.98,231.98,73.75,13.42,55.7,89.11,6.09,95.21,1.63,93.58,93.58,23.9,69.68,69.68,48.99,14.24,14.14
2022-12-31,233.48,233.48,71.94,13.93,57.61,90.0,5.57,95.57,1.69,93.88,93.88,22.9,70.98,70.98,48.99,14.49,14.39
2023-03-31,236.75,236.75,71.7,14.39,60.59,90.07,6.16,96.23,1.74,94.49,94.49,22.92,71.56,71.56,48.99,14.61,14.51
2023-06-30,243.57,243.57,74.74,13.62,63.29,91.92,7.54,99.46,1.66,97.8,97.8,24.57,73.23,73.23,49.01,14.94,14.85
2023-09-30,254.97,254.97,76.41,14.34,61.22,102.99,7.7,110.69,1.62,109.07,109.07,27.69,81.38,81.38,49.12,16.56,16.48
2023-12-31,268.88,268.88,78.55,15.11,66.95,108.26,7.82,116.08,1.79,114.29,114.29,28.74,85.55,85.55,49.14,17.37,17.27
2024-03-31,287.07,287.07,84.48,15.33,67.42,119.84,8.82,128.66,1.8,126.86,126.86,29.9,96.96,96.96,49.14,19.74,19.62
2024-06-30,308.01,308.01,89.32,14.2,76.72,127.76,9.4,137.16,1.83,135.33,135.33,33.43,101.9,101.9,49.19,20.72,20.61
2024-09-30,341.9,341.9,94.0,15.19,87.47,145.24,9.9,155.14,1.83,153.31,153.31,38.09,115.22,115.22,49.28,23.4,23.29
2024-12-31,347.55,347.55,95.35,16.23,89.07,146.9,12.04,158.94,1.8,157.13,157.13,39.31,117.82,117.82,49.37,23.89,23.79
2025-03-31,336.44,336.44,94.33,19.51,90.49,132.11,10.21,142.32,1.7,140.62,140.62,34.54,106.08,106.08,49.43,21.47,21.37
