Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Revaluation Reserves,Share Capital Suspense,Foreign Currency Monetary Item Translation Difference A/C,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,116.01,116.01,1644.15,1659.02,0.0,1775.03,691.57,232.73,0.0,0.0,924.3,38.23,990.18,19.69,297.0,1345.11,4044.44,1333.74,0.0,57.86,0.0,1391.6,1111.15,0.0,9.64,2541.88,0.0,499.7,400.48,233.31,368.64,0.44,1502.57,4044.44,528.62,35.63,3.42,217.46,10.95,54.6,121.38,953.86,0.0,0.0,29.48,14.88,0.0,0.0,79.91,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,116.01,116.01,1881.93,1896.25,0.0,2012.26,966.17,228.78,0.0,0.0,1194.95,86.45,1234.51,17.59,499.71,1838.25,5045.46,1335.63,5.32,133.93,0.0,1474.88,1189.79,0.0,24.38,2728.07,0.0,759.83,511.53,623.98,421.9,0.14,2317.38,5045.46,758.14,51.73,5.6,312.42,26.64,54.6,240.83,1047.67,0.0,0.0,39.03,14.32,0.0,0.0,99.23,0.0,0.0,42.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,233.4,233.4,2662.14,2675.47,0.0,2908.87,845.61,190.39,0.0,0.0,1036.0,37.78,1503.25,17.59,543.14,2101.76,6046.63,1343.66,5.32,205.46,0.0,1554.45,1669.09,0.0,18.05,3285.23,0.0,878.74,637.97,730.31,514.24,0.14,2761.4,6046.63,946.36,45.95,0.32,465.1,42.97,170.61,2030.85,1419.01,0.0,0.0,43.64,13.33,0.0,0.0,143.94,0.0,0.0,29.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,238.03,238.03,3302.01,3314.88,0.0,3552.91,1562.08,188.56,0.0,0.0,1750.64,73.92,1935.48,14.73,715.43,2739.57,8043.12,1522.03,19.42,329.72,0.0,1871.17,2237.46,0.0,17.55,4294.95,0.0,878.48,700.89,1326.07,842.59,0.14,3748.17,8043.12,1008.27,89.82,0.49,614.96,97.91,170.61,10285.25,1515.23,0.0,0.0,168.77,12.86,0.0,0.0,133.42,0.0,0.0,82.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,239.07,239.07,4098.53,4111.0,0.0,4350.07,2190.97,217.76,0.0,0.0,2408.73,396.09,2287.08,20.47,943.46,3647.1,10405.9,1674.6,36.36,649.94,0.0,2360.9,4215.06,0.0,13.53,6750.53,0.0,1084.11,1004.88,861.23,694.01,11.14,3655.37,10405.9,985.35,153.42,0.49,795.38,88.18,170.61,7669.9,1429.16,0.0,0.0,161.04,12.47,0.0,0.0,134.31,0.0,0.0,144.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,272.62,272.62,4959.26,4971.35,0.0,5243.97,3716.06,0.0,0.0,0.0,3716.06,336.7,3443.06,77.14,1277.56,5134.46,14094.49,2280.3,47.07,886.96,0.0,3214.33,5786.41,0.0,12.55,9031.56,0.0,1060.67,1043.65,1574.43,1384.04,0.14,5062.93,14094.49,1220.39,158.8,59.81,632.36,58.89,170.61,3218.81,4305.5,0.0,0.0,18.27,12.09,0.0,0.0,168.23,0.0,0.0,80.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,282.95,282.95,7527.6,7539.27,0.0,7822.22,2877.71,422.5,0.0,0.0,3300.21,2.44,3367.34,32.66,1796.54,5198.98,16329.42,2272.27,56.14,1374.31,0.0,3702.72,6398.02,0.0,4.12,10287.03,0.0,1188.78,1258.08,1743.23,1804.81,47.49,6042.39,16329.42,2307.7,148.56,76.18,719.37,42.07,170.61,12216.75,4806.15,0.0,0.0,182.17,11.67,0.0,0.0,254.04,0.0,0.0,98.61,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,293.62,293.62,9763.96,10019.75,0.0,10313.37,2311.95,354.38,187.25,421.38,3274.96,9.15,3952.67,729.45,1260.16,5951.43,19539.78,3001.57,131.34,534.01,239.67,3906.59,8205.36,1868.13,117.02,14097.1,720.27,1694.21,1260.31,614.64,837.94,315.31,5442.68,19539.78,1893.85,160.73,28.44,1052.06,47.84,170.61,15769.96,4856.88,97.67,622.6,0.0,255.79,0.02,0.0,1.66,368.3,24.12,275.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,294.52,294.52,11660.28,11876.57,0.0,12171.09,3173.83,527.13,197.1,482.66,4380.72,0.39,4796.18,1200.99,1362.61,7360.17,23911.98,4045.28,240.74,569.93,224.8,5080.75,9273.56,1476.68,36.45,15867.44,1036.9,2358.39,1988.36,1188.43,930.99,475.07,7978.14,23911.98,2307.66,266.57,45.26,1766.95,90.67,170.61,14400.45,5746.28,108.29,928.61,0.0,216.29,0.0,66.4,2.6,636.54,72.47,150.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,295.16,295.16,14352.92,14363.76,0.0,14658.92,3172.44,614.85,415.4,441.59,4644.28,54.63,5579.71,1052.17,1463.88,8150.39,27453.59,4751.06,206.8,495.54,367.94,5821.34,10571.5,2087.47,29.85,18510.16,1261.96,2419.77,2208.35,1781.41,763.4,508.54,8943.43,27453.59,87.2,459.52,44.15,2225.02,128.35,170.61,17677.77,7024.46,90.13,1171.83,0.0,10.84,0.0,0.0,0.96,706.86,46.24,141.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
