Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,-2.86,0.0,-2.86,0.0,-2.86,0.0,-2.86,-0.99,-1.87,-1.87,0.05,-74.85,-74.85
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.05,-0.07,-0.07,0.05,-2.63,-2.63
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.35,-0.46,0.0,-0.46,0.0,-0.46,-3.35,-3.81,-1.28,-2.53,-2.53,0.05,-101.2,-101.2
2015-12-31,810.05,810.05,197.32,397.01,-20.05,45.13,2.97,107.85,79.82,0.12,79.94,15.81,64.13,-1.19,62.94,21.76,41.18,41.18,125.35,0.66,0.66
2016-03-31,1001.63,1001.63,230.68,482.91,-17.63,55.25,3.3,123.27,123.85,0.03,123.88,15.94,107.94,-9.27,98.67,32.06,66.61,66.61,125.35,1.06,1.06
2016-06-30,1120.84,1120.84,245.95,546.52,-21.04,47.34,2.8,147.09,152.18,0.15,152.33,14.68,137.65,0.0,137.65,45.71,91.94,91.94,125.35,1.47,1.47
2016-09-30,889.99,889.99,150.68,411.6,52.33,49.84,2.72,128.17,94.65,4.15,98.8,16.06,82.74,-0.45,82.29,27.33,54.96,54.96,125.35,0.88,0.88
2016-12-31,888.92,888.92,190.81,434.59,-17.68,59.49,2.63,122.41,96.67,5.04,101.71,16.24,85.47,0.0,85.47,28.11,57.36,57.36,125.35,0.92,0.91
2017-03-31,1076.15,1076.15,231.69,542.16,-32.76,68.51,2.89,127.99,135.67,6.88,142.55,15.26,127.29,-2.07,125.22,38.78,86.44,86.44,125.35,1.38,1.38
2017-06-30,1055.45,1055.45,275.19,522.97,-65.29,68.57,3.15,124.61,126.25,9.69,135.94,16.14,119.8,0.0,119.8,39.53,80.27,80.27,125.35,1.28,1.28
