Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Preference Share Capital,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2012-03-31,15.24,77.7,91.49,91.49,169.19,36.34,0.0,4.18,1.77,42.29,128.99,96.84,71.88,3.7,301.4,512.88,186.25,0.29,32.12,218.66,0.0,6.96,7.72,243.04,98.63,148.31,9.32,7.82,5.76,269.84,512.88,46.4,5.1,250.95,0.0,0.0,62.46,9.7,191.59,0.64,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.24,77.7,181.6,181.6,259.3,68.7,0.0,0.0,2.8,71.5,177.84,132.24,56.9,3.2,370.19,700.99,234.26,1.29,72.78,308.33,0.0,30.35,7.82,358.32,156.19,156.7,13.62,12.42,3.75,342.67,700.99,125.51,12.04,339.37,0.0,0.0,62.46,11.82,316.93,0.45,9.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,15.38,77.84,280.58,280.58,358.42,188.17,11.82,0.0,3.93,203.92,312.18,227.45,164.12,6.97,710.72,1273.06,494.01,4.68,116.1,614.79,0.46,68.39,14.52,698.16,328.1,194.88,23.04,25.25,3.64,574.9,1273.06,287.25,14.19,543.32,0.0,0.46,62.46,0.0,678.88,0.56,14.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.51,82.13,645.14,645.14,727.27,303.68,10.27,44.66,5.13,363.73,431.64,230.07,133.14,6.7,801.55,1892.55,794.41,6.12,107.25,907.78,19.11,93.01,13.96,1033.87,475.5,285.05,55.56,30.94,11.64,858.68,1892.55,306.95,14.9,499.61,0.0,19.11,66.61,0.0,753.93,0.77,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.77,82.38,785.02,785.02,934.01,460.63,44.78,44.16,6.77,556.33,468.22,252.49,144.32,19.6,884.62,2308.35,1072.19,6.39,69.6,1148.17,26.12,127.68,9.04,1311.02,487.09,443.7,23.88,29.43,13.23,997.33,2308.35,184.92,35.81,650.11,0.0,26.12,66.61,0.0,793.87,2.19,30.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,105.76,105.76,1249.82,1249.82,1355.58,122.39,0.0,63.07,14.17,199.63,615.06,298.8,198.81,4.68,1117.34,2672.55,1186.01,7.24,143.26,1336.51,50.53,0.0,65.74,1516.24,501.21,561.96,2.42,0.28,90.45,1156.31,2672.55,188.62,856.0,674.5,73.97,3.41,0.0,63.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,106.03,106.03,1407.27,1407.27,1513.3,141.66,0.0,64.7,20.1,226.46,726.06,306.81,230.7,4.46,1268.02,3007.77,1440.55,7.14,163.18,1610.87,51.74,0.0,67.35,1778.61,575.78,555.14,0.92,0.83,96.51,1229.16,3007.77,207.49,872.3,2039.3,73.97,3.41,0.0,48.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,106.44,106.44,1484.46,1484.46,1590.9,258.66,0.0,60.12,29.22,348.0,657.68,477.4,237.9,6.45,1379.44,3318.33,1586.87,12.12,107.15,1706.14,58.32,0.0,71.17,1884.52,665.91,686.64,0.57,0.42,80.28,1433.81,3318.33,199.62,1156.1,786.0,73.97,58.32,0.0,48.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,106.91,106.91,1708.89,1708.89,1815.8,165.0,0.0,77.3,44.53,286.84,762.44,603.54,259.82,10.91,1636.72,3739.36,1684.44,9.74,66.53,1760.7,58.32,0.0,65.94,1954.71,893.47,778.04,0.93,0.49,111.72,1784.65,3739.36,342.92,990.9,1929.9,73.97,3.41,0.0,69.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,107.32,107.32,2604.92,2604.92,2712.24,382.64,26.87,91.71,60.1,561.32,876.9,1158.54,303.92,12.27,2351.63,5625.19,1809.16,8.88,324.17,2142.21,318.89,0.0,122.64,2583.74,1533.52,1279.82,38.78,44.85,144.48,3041.45,5625.19,629.35,1656.0,3325.0,73.97,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
