Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2015-12-31,445.06,5.04,450.1,278.84,5.35,-43.7,41.84,23.63,67.57,76.57,1.72,78.29,29.43,48.86,48.86,8.63,40.23,40.23,15.77,0.0,6.38,4.07
2016-03-31,480.21,-9.7,470.51,205.34,3.49,45.4,48.02,30.56,31.7,106.0,-6.73,99.27,32.66,66.61,66.61,14.28,52.33,52.33,15.77,785.02,0.0,0.0
2016-06-30,409.22,5.87,415.08,220.29,1.12,-9.36,51.49,24.59,63.1,63.84,1.95,65.8,27.84,37.96,37.96,7.96,30.0,30.0,98.75,0.0,0.0,0.0
2016-09-30,517.51,7.91,525.42,302.76,6.41,-26.85,53.27,25.33,79.49,85.01,7.61,92.62,24.65,67.97,67.97,17.14,50.83,50.83,98.75,0.0,5.45,5.13
2016-12-31,493.32,12.13,505.45,273.02,2.61,4.33,54.0,26.35,72.24,72.9,12.3,85.2,29.65,55.55,55.55,8.13,47.42,47.42,105.76,0.0,4.74,4.72
2017-03-31,466.65,0.0,466.65,219.62,2.82,-4.21,58.93,26.69,70.75,92.05,8.93,100.98,14.84,86.14,86.14,11.83,74.31,74.31,105.76,0.0,7.03,6.99
2017-06-30,473.05,0.0,473.05,229.08,4.78,11.98,55.79,28.16,74.01,69.25,7.44,76.69,17.75,58.95,58.95,16.3,42.64,42.64,105.76,0.0,4.03,4.01
2017-09-30,533.48,0.0,533.48,309.68,7.8,-36.28,58.2,28.37,80.53,85.18,6.59,91.77,18.28,73.49,73.49,20.73,52.76,52.76,106.03,0.0,4.99,4.96
2017-12-31,473.77,0.0,473.77,264.97,7.52,-27.74,60.08,29.92,82.32,56.7,9.8,66.5,16.73,49.78,49.78,13.88,35.89,35.89,106.03,0.0,3.38,3.37
2018-03-31,546.55,0.0,546.55,250.77,6.91,26.94,63.02,33.54,84.47,80.89,5.01,85.9,22.7,63.2,63.2,16.85,46.35,46.35,106.03,0.0,4.37,4.35
2018-06-30,531.1,0.0,531.1,283.86,2.7,8.13,68.7,37.29,89.43,40.99,2.58,43.57,21.75,21.82,21.82,5.89,15.93,15.93,106.03,0.0,1.5,1.5
2018-09-30,574.63,0.0,574.63,318.0,5.83,-15.01,67.88,38.9,122.77,36.26,10.51,46.77,24.02,22.74,22.74,5.11,17.63,17.63,106.44,0.0,1.66,1.66
2018-12-31,512.78,0.0,512.78,291.21,5.17,-22.31,64.06,41.78,88.97,43.89,1.41,45.31,23.1,22.21,22.21,4.72,17.48,17.48,106.44,0.0,1.65,1.64
2019-03-31,617.64,0.0,617.64,322.41,8.68,0.28,69.08,42.56,104.86,69.79,1.62,71.41,16.96,54.45,54.45,10.5,43.95,43.95,106.44,0.0,4.13,4.12
2019-06-30,541.26,0.0,541.26,344.01,3.15,-76.54,75.31,44.95,111.6,38.79,4.48,43.27,22.01,21.26,21.26,4.23,17.03,17.03,106.44,0.0,1.6,1.6
2019-09-30,705.86,0.0,705.86,474.56,9.53,-124.18,82.88,47.0,123.96,92.1,1.28,93.38,25.04,68.35,68.35,8.81,59.54,59.54,106.91,0.0,5.59,5.59
2019-12-31,720.99,0.0,720.99,369.15,1.95,-13.69,82.33,46.72,130.2,104.34,1.97,106.31,20.38,85.93,85.93,7.97,77.95,77.95,106.91,0.0,7.3,7.3
2020-03-31,829.23,0.0,829.23,417.04,1.24,-3.68,83.49,45.19,138.33,147.61,1.63,149.24,20.29,128.95,128.95,16.42,112.53,112.53,106.91,0.0,10.54,10.54
2020-06-30,970.41,0.0,970.41,438.07,23.29,-14.53,102.6,47.66,156.4,216.92,6.48,223.4,14.56,208.84,208.84,50.06,158.78,158.78,106.91,0.0,14.85,14.85
2020-09-30,1127.3,0.0,1127.3,555.19,14.01,-67.12,102.37,48.79,154.78,319.28,6.58,325.86,13.37,312.49,312.49,74.9,237.59,237.59,107.2,0.0,4.44,4.41
2020-12-31,1272.27,0.0,1272.27,667.49,21.67,-101.77,93.33,49.46,176.78,365.31,8.54,373.85,16.93,356.92,356.92,89.96,266.96,266.96,107.32,0.0,4.98,4.96
2021-03-31,1398.74,0.0,1398.74,714.6,37.26,-113.03,103.58,50.73,193.88,411.72,5.72,417.44,21.06,396.38,396.38,103.6,292.78,292.78,107.32,0.0,5.46,5.43
2021-06-30,1220.6,0.0,1220.6,739.71,15.65,-207.4,113.52,55.49,196.06,307.57,7.57,315.14,25.04,290.1,290.1,68.02,222.08,222.08,107.32,0.0,4.14,4.12
