Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,173.04,2.08,175.12,95.61,7.29,12.14,3.09,12.26,44.73,1.16,45.89,0.5,45.39,0.0,45.39,14.87,30.52,30.52,32.99,0.92,0.92,8.26,25.03,24.05,97.24,72.9
2013-03-31,190.32,0.26,190.58,107.48,7.39,13.09,3.07,20.24,39.31,4.72,44.03,0.07,43.96,0.0,43.96,13.37,30.59,30.59,32.99,0.93,0.93,9.26,28.06,23.72,99.94,71.9
2013-06-30,110.6,0.03,110.63,61.48,-6.13,16.96,3.14,17.31,17.87,1.87,19.74,0.25,19.49,0.0,19.49,6.33,13.16,13.16,32.99,0.4,0.4,9.26,28.06,23.73,99.99,71.93
2013-09-30,122.68,0.21,122.89,79.33,-12.47,13.19,3.23,18.6,21.01,1.7,22.71,0.12,22.59,0.0,22.59,7.31,15.28,15.28,32.99,0.46,0.46,9.26,28.06,23.73,100.0,71.94
2013-12-31,140.75,0.1,140.85,80.48,3.98,12.73,3.24,12.35,28.07,2.16,30.23,0.09,30.14,0.0,30.14,9.4,20.74,20.74,32.99,0.63,0.63,9.26,28.06,23.73,100.0,71.94
2014-03-31,130.28,1.04,131.32,85.55,-14.69,13.82,3.25,19.33,24.06,5.22,29.28,0.14,29.14,0.0,29.14,9.87,19.27,19.27,32.99,0.58,0.58,9.26,28.07,23.73,100.0,71.93
2014-06-30,119.56,1.53,121.09,62.0,8.81,17.5,4.06,10.76,17.96,3.35,21.31,0.12,21.19,0.0,21.19,6.97,14.22,14.22,33.0,0.43,0.43,9.9,29.99,23.1,100.0,70.01
2014-09-30,155.61,0.16,155.77,95.53,-7.4,14.23,4.0,18.58,30.83,4.56,35.39,0.02,35.37,0.0,35.37,11.5,23.87,23.87,33.0,0.72,0.72,9.9,29.99,23.1,100.0,70.01
2014-12-31,150.19,0.3,150.49,83.7,5.15,13.95,3.92,15.91,27.86,6.68,34.54,0.08,34.46,0.0,34.46,10.86,23.6,23.6,33.0,0.72,0.72,9.9,29.99,23.1,100.0,70.01
2015-03-31,191.9,3.61,195.51,117.54,-0.58,14.41,2.52,30.18,31.44,16.32,47.76,0.42,47.34,-2.8,44.54,15.15,29.39,29.39,33.0,0.89,0.89,9.9,29.99,23.1,100.0,70.01
