Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,180.7,180.7,1820.18,1820.18,2000.88,275.29,461.19,0.0,0.0,736.48,490.25,329.02,30.01,144.81,994.09,3765.91,1713.68,0.0,27.77,0.0,0.0,1741.45,626.94,0.0,3.14,2390.69,0.0,439.84,397.53,72.69,465.16,0.0,1375.22,3765.91,344.37,109.47,0.54,64.25,0.0,105.4,481.61,419.86,0.0,651.75,0.0,0.0,0.3,34.46,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,215.16,215.16,1782.68,1782.68,1997.84,804.22,372.54,0.0,0.0,1176.76,520.0,453.82,27.27,310.13,1311.22,4485.82,1508.19,0.0,54.2,0.0,0.0,1562.39,938.74,0.0,1.68,2521.97,0.0,488.64,440.43,751.67,283.11,0.0,1963.85,4485.82,300.94,5.68,0.6,85.27,0.0,105.4,757.26,803.13,0.0,729.37,0.0,0.0,13.66,0.0,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,215.16,215.16,1952.54,1952.54,2167.7,805.85,341.09,0.0,0.0,1146.94,648.64,427.52,37.88,327.36,1441.4,4756.04,1464.2,0.0,86.77,0.0,0.0,1550.97,713.74,0.0,7.02,2289.87,0.0,560.82,601.35,46.06,1257.94,0.0,2466.17,4756.04,965.34,10.58,6.11,80.61,13.78,105.4,1299.08,563.67,0.0,1174.94,0.0,0.0,2.18,0.0,18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,215.16,215.16,2177.68,2177.68,2392.84,685.53,315.85,0.0,0.0,1001.38,356.24,613.82,41.22,379.81,1391.09,4785.31,1407.52,0.0,107.22,0.0,0.0,1514.74,1350.28,0.0,3.7,2893.35,0.0,506.48,668.55,94.48,622.45,0.0,1891.96,4785.31,287.64,53.83,5.29,77.93,35.49,105.4,1190.98,1190.96,0.0,1316.6,0.0,0.0,3.01,0.0,24.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,234.0,234.0,3337.62,3337.62,3571.62,321.69,303.32,0.0,0.0,625.01,2023.59,911.88,58.78,351.79,3346.04,7542.73,1343.2,0.0,169.38,0.0,0.0,1512.58,3741.4,0.0,0.53,5279.6,0.0,657.64,639.5,277.63,688.36,0.0,2263.13,7542.73,530.8,110.37,11.64,66.79,25.15,105.4,1006.16,3542.61,0.0,1370.39,0.0,0.0,12.24,0.06,25.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,235.23,235.23,3386.68,3386.68,3621.91,569.08,297.06,0.0,0.0,866.14,3107.02,1729.63,93.7,372.71,5303.06,9791.11,1544.98,0.0,298.77,0.0,0.0,1843.75,4473.73,0.0,0.0,6511.52,0.0,969.8,1001.73,638.75,669.31,0.0,3279.59,9791.11,394.96,178.03,26.62,92.75,40.37,105.4,570.82,4269.11,0.0,4761.21,0.0,0.0,79.04,0.0,194.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,243.32,243.32,4031.75,4031.75,4275.07,715.15,304.29,0.0,0.0,1019.44,2231.36,1035.52,117.93,353.19,3738.0,9032.51,1592.44,0.0,237.65,0.0,0.0,1830.09,4905.59,0.0,0.0,6849.75,0.0,611.19,581.6,712.65,277.32,0.0,2182.76,9032.51,560.26,150.18,21.8,89.63,25.18,105.4,1807.43,4262.73,0.0,1721.28,0.0,0.0,35.58,0.0,114.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,254.82,254.82,4485.86,4485.86,4740.68,2586.45,159.71,21.77,95.11,2863.04,122.74,988.04,474.66,306.38,1891.82,9495.54,1587.58,0.0,299.53,0.0,0.0,1887.11,4901.44,189.23,16.77,6994.55,0.25,696.3,724.48,798.76,218.59,62.61,2500.99,9495.54,1514.89,146.8,29.85,41.73,11.45,105.4,2408.59,4262.11,0.25,2529.61,9.31,0.0,40.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,254.82,254.82,4680.69,4680.69,4935.51,2202.57,88.67,82.35,92.86,2466.45,256.86,1719.73,1090.08,324.23,3390.9,10792.86,1810.03,0.0,265.38,0.0,0.0,2075.41,4613.62,194.31,6.31,6889.65,0.25,1253.22,1490.45,891.85,229.31,38.13,3903.21,10792.86,1344.62,150.7,39.05,56.03,102.05,105.4,2211.31,4019.98,0.25,3801.49,14.16,0.0,87.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,254.82,254.82,5052.5,5052.5,5307.32,1072.92,124.75,84.91,111.32,1393.9,1384.14,1217.07,1492.39,303.73,4397.33,11098.55,1911.67,0.0,137.3,0.0,0.0,2048.97,3962.08,267.15,2.78,6280.98,0.25,927.47,2484.88,1091.98,293.17,19.82,4817.57,11098.55,2744.45,80.19,41.22,28.57,18.06,105.4,2225.16,3368.44,0.25,2855.55,13.76,0.0,27.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,254.82,254.82,5446.41,5446.41,5701.23,1735.51,215.61,3.6,78.57,2033.29,1299.18,1373.0,388.04,338.77,3398.99,11133.51,1872.06,0.0,158.62,0.0,0.0,2030.68,4257.64,332.32,16.14,6636.78,0.25,810.56,2401.78,976.85,246.99,60.3,4496.73,11133.51,2949.33,72.8,0.01,10.02,48.17,105.4,2951.38,3664.0,0.25,1963.7,11.99,910.56,33.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,254.82,254.82,5788.45,5788.45,6043.27,1739.4,191.23,1.67,78.65,2010.95,976.46,1848.41,372.84,616.71,3814.42,11868.64,1900.5,0.0,62.83,0.89,0.0,1964.22,4363.85,421.32,12.7,6762.09,0.0,1809.03,2486.32,574.3,199.0,37.9,5106.55,11868.64,2829.66,54.07,0.39,11.02,92.98,105.4,3710.45,3762.99,0.0,2193.24,6.94,1905.1,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,254.82,254.82,7831.43,7831.43,8086.25,1540.56,156.34,10.91,98.85,1806.66,1565.74,685.58,804.09,170.04,3225.45,13118.36,1906.7,10.38,131.55,0.06,0.0,2048.69,5860.84,2.35,461.52,8373.4,0.0,1095.1,2553.97,600.48,0.81,494.6,4744.59,13118.36,3147.83,3192.42,0.0,0.0,65.79,105.4,2920.12,1072.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
