Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,422.53,422.53,1084.34,1084.34,1506.87,0.41,133.45,0.0,0.0,133.85,607.39,159.69,186.78,100.41,1054.28,2695.0,541.65,98.39,251.83,891.87,619.33,67.81,0.0,0.0,1579.0,0.0,322.58,272.87,404.61,115.93,0.0,1116.0,2695.0,1004.34,1.2,221.62,0.0,0.0,619.33,0.0,0.0,18.12,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,422.53,422.53,1655.21,1655.21,2077.74,0.39,144.29,0.0,0.0,144.68,570.93,146.52,280.9,84.31,1082.66,3305.08,1288.1,99.78,456.26,1844.14,687.88,36.17,0.0,0.0,2568.19,0.0,334.31,260.85,22.11,119.62,0.0,736.89,3305.08,197.78,1.07,365.01,0.0,0.0,687.88,0.0,0.0,17.3,0.0,204.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,422.53,422.53,3007.25,3007.25,3429.78,558.02,255.92,0.0,0.0,813.94,0.0,183.72,232.09,187.37,603.18,4846.9,1760.52,99.78,57.8,1918.1,1604.88,14.54,0.0,0.0,3537.52,0.0,383.1,689.85,74.03,162.4,0.0,1309.38,4846.9,492.84,54.73,862.35,0.0,0.0,1604.88,0.0,0.0,156.01,0.0,18.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,422.53,422.53,7204.53,7204.53,7627.06,0.39,305.99,0.0,0.0,306.38,0.0,206.53,435.28,184.95,826.76,8760.2,2135.49,100.11,634.99,2870.59,4403.3,5.36,0.0,0.0,7279.25,0.0,499.28,556.62,119.7,305.35,0.0,1480.95,8760.2,1554.81,47.83,4213.58,0.0,0.0,4403.3,0.0,0.0,145.48,0.0,111.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,422.53,422.53,11425.66,11425.66,11848.19,0.39,462.92,0.0,0.0,463.31,0.0,354.67,420.19,123.58,898.44,13209.94,3536.29,100.99,525.34,4162.62,6332.45,3.24,0.0,0.0,10498.31,0.0,518.1,443.66,1362.78,387.09,0.0,2711.63,13209.94,1449.49,58.82,2257.48,0.0,0.0,6332.45,0.0,0.0,187.76,0.0,189.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,422.53,422.53,13935.05,13935.05,14357.58,8.69,571.38,0.0,0.0,580.07,0.0,372.22,430.6,198.13,1000.95,15938.6,4003.3,101.62,1108.39,5213.31,6928.87,12.52,0.0,0.0,12154.7,0.0,545.66,164.94,2719.15,354.15,0.0,3783.9,15938.6,1936.69,49.07,2035.23,0.0,0.0,6928.87,0.0,0.0,315.51,0.0,159.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,422.53,422.53,17701.44,17701.44,18123.97,0.39,713.72,0.0,0.0,714.11,60.08,477.66,508.6,339.54,1385.88,20223.96,6054.63,109.46,1112.96,7277.05,10949.17,2.49,0.0,0.0,18228.71,0.0,451.74,151.83,927.53,464.15,0.0,1995.25,20223.96,1132.68,42.93,2790.16,0.0,0.0,10949.17,0.0,0.0,302.48,0.0,727.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,845.06,845.06,21688.13,21688.13,22533.19,0.0,944.7,23.79,0.0,968.49,0.39,368.24,615.57,567.08,1551.28,25052.96,7199.7,54.51,594.82,7849.03,2.08,0.0,616.73,129.77,8597.61,9332.51,762.38,208.89,5632.91,286.22,232.44,16455.35,25052.96,4211.63,33.0,3686.09,0.0,422.53,2.08,0.0,9332.51,184.79,723.39,172.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,845.06,845.06,26036.2,26036.2,26881.26,0.0,1108.81,17.15,0.0,1125.96,0.39,410.29,563.15,503.94,1477.77,29484.99,8465.72,47.1,444.96,8957.78,2.59,0.0,875.8,14.61,9850.78,12692.26,797.94,332.45,5255.32,233.43,322.81,19634.21,29484.99,3892.26,63.61,3570.31,0.0,422.53,2.59,0.0,11312.65,195.36,936.77,173.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,845.06,845.06,31430.68,31430.68,32275.74,0.0,1279.86,28.23,0.0,1308.09,0.39,484.2,572.12,824.87,1881.58,35465.41,8473.69,10.05,1081.85,9565.59,2.7,0.0,1898.29,239.19,11705.77,14537.18,1111.09,402.87,6942.1,373.32,393.08,23759.64,35465.41,6319.65,55.46,2711.9,0.0,422.53,2.7,0.0,12386.03,913.24,737.07,325.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
