Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,2215.93,2215.93,33.36,-0.98,157.24,59.37,1535.89,431.05,31.1,462.16,27.83,434.33,0.0,434.33,113.07,321.26,321.26,48.48,33.13,33.13
2021-06-30,2133.18,2133.18,51.08,-0.4,131.21,66.59,1605.92,278.79,30.19,308.98,38.76,270.22,0.0,270.22,66.61,203.61,203.61,48.34,21.06,21.06
2021-09-30,1699.48,1699.48,82.05,-5.45,150.25,70.99,1194.73,206.91,33.94,240.85,31.07,209.78,0.0,209.78,46.75,163.04,163.04,48.34,16.86,16.86
2021-12-31,1818.44,1818.44,73.41,-3.41,148.68,82.31,1344.95,172.5,35.14,207.65,29.74,177.91,-3.08,174.83,45.85,128.98,128.98,48.34,13.34,13.34
2022-03-31,2268.08,2268.08,108.53,3.08,156.28,61.74,1597.23,341.22,33.13,374.35,27.3,347.04,0.0,347.04,81.85,265.19,265.19,48.34,27.43,27.43
2022-06-30,2476.68,2476.68,87.3,-13.03,175.01,63.4,1740.99,423.02,31.95,454.97,26.94,428.03,0.0,428.03,106.94,321.09,321.09,48.34,33.21,33.21
2022-09-30,1777.17,1777.17,43.38,3.65,161.89,62.02,1308.28,197.96,51.9,249.86,23.56,226.3,0.0,226.3,61.98,164.33,164.33,48.34,17.0,17.0
2022-12-31,1898.81,1898.81,49.4,3.28,153.64,61.25,1415.64,215.6,42.13,257.73,24.81,232.92,0.0,232.92,58.78,174.14,174.14,48.34,18.01,18.01
2023-03-31,1994.92,1994.92,51.77,4.96,156.72,58.99,1491.63,230.86,54.92,285.77,26.91,258.86,0.0,258.86,66.66,192.21,192.21,48.34,19.88,19.88
2023-06-30,2152.41,2152.41,49.63,3.73,168.12,60.24,1616.23,254.46,51.11,305.57,26.61,278.97,0.0,278.97,70.97,207.99,207.99,48.34,21.51,21.51
2023-09-30,1573.79,1573.79,90.77,-3.62,161.53,61.74,1131.41,131.96,61.4,193.36,27.74,165.62,0.0,165.62,42.35,123.27,123.27,48.34,12.75,12.75
2023-12-31,1806.42,1806.42,66.33,7.98,168.2,61.03,1335.9,166.98,57.78,224.76,24.46,200.3,8.3,208.61,53.22,155.39,155.39,48.34,16.07,16.07
2024-03-31,2255.35,2255.35,78.85,-7.49,166.56,61.22,1618.4,337.82,55.0,392.81,25.0,367.82,1371.96,1739.78,249.0,1490.78,1490.78,48.34,154.18,154.18
2024-06-30,1896.54,1896.54,58.07,0.38,171.91,63.24,1419.56,183.37,108.14,291.51,28.07,263.44,-49.41,214.04,62.08,151.96,151.96,48.34,15.72,15.7
2024-09-30,1128.08,1128.08,48.71,-0.13,145.79,63.15,816.57,54.0,131.08,185.08,21.42,163.67,35.61,199.28,84.46,114.82,114.82,48.36,11.87,11.87
2024-12-31,1500.53,1500.53,91.56,1.0,139.71,61.19,1075.95,131.12,122.23,253.36,20.73,232.63,0.0,232.63,64.04,168.59,168.59,48.37,17.43,17.42
2025-03-31,1990.41,1990.41,104.18,0.93,117.93,57.25,1418.92,291.2,138.89,430.08,15.47,414.61,37.37,451.98,80.75,371.24,371.24,48.37,38.37,38.35
