Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Raw Materials,Trade/Other Goods,Equity Share Application Money,Deferred Tax Liabilities [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,41.24,41.24,2005.32,2005.32,2046.56,135.98,0.0,0.0,155.7,138.93,62.38,188.03,91.22,480.56,2682.82,145.66,0.0,2.59,0.0,0.0,148.26,1517.17,18.2,5.28,1688.91,0.0,153.35,204.02,27.92,0.0,993.91,2682.82,309.4,12.33,5.79,143.84,0.0,0.0,33.94,1494.61,0.0,0.0,0.0,0.0,608.62,9.18,25.47,0.0,0.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,41.24,41.24,2095.52,2095.52,2136.76,517.47,0.0,0.0,537.99,4.62,60.86,276.5,78.5,420.49,3095.24,168.07,0.0,11.17,0.0,0.0,179.24,1547.57,26.03,1.36,1754.19,0.0,181.86,286.63,38.6,0.0,1341.04,3095.24,212.42,35.74,25.7,61.16,3.94,0.0,37.19,1523.27,0.0,0.0,0.0,0.0,833.95,34.12,31.34,0.0,0.0,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,41.25,41.25,1503.69,1503.69,1544.95,471.22,0.0,0.0,487.38,12.99,117.55,263.15,53.56,447.25,2479.58,107.54,0.0,7.76,0.0,0.0,115.3,1344.82,16.73,0.62,1477.46,0.0,166.78,214.63,23.75,0.0,1002.11,2479.58,190.07,35.59,23.55,75.24,26.86,0.0,70.11,1315.86,0.0,0.0,0.0,0.0,596.96,24.68,180.69,0.0,0.0,16.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,43.36,43.36,1891.81,1891.81,1935.17,104.91,0.0,0.0,116.51,149.14,90.46,242.32,81.64,563.56,2615.24,93.21,0.0,12.16,0.0,0.0,105.37,1345.89,10.43,0.01,1461.71,0.0,187.69,283.92,3.88,0.0,1153.53,2615.24,499.87,85.53,23.97,91.91,23.1,0.0,61.55,1316.93,0.0,0.0,0.0,0.0,678.04,7.07,60.45,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,43.36,43.36,2084.89,2084.89,2128.24,89.94,0.0,0.0,100.06,114.33,80.36,294.49,171.74,660.92,2889.22,119.68,2.44,6.35,0.0,0.0,128.48,1349.47,16.69,0.01,1494.65,0.0,236.41,408.28,22.21,0.0,1394.58,2889.22,703.48,15.11,34.83,79.71,18.56,0.0,164.36,1317.46,0.0,0.0,0.0,0.0,727.68,10.4,0.34,0.0,0.0,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,43.4,43.4,2299.6,2299.6,2343.0,120.94,0.0,0.0,135.68,50.0,105.42,178.77,140.22,474.41,2953.1,137.11,2.82,18.33,0.0,0.0,158.25,1349.62,18.74,0.01,1526.61,0.0,319.48,351.68,110.43,0.0,1426.49,2953.1,649.16,12.35,17.28,89.34,5.62,0.0,35.0,1317.61,0.0,0.0,0.0,0.0,644.89,0.49,16.98,0.0,0.0,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,43.4,43.4,2776.43,2776.43,2819.83,117.29,0.0,0.0,134.66,1.61,99.0,284.38,237.96,622.96,3582.95,153.13,5.25,111.1,0.0,0.0,269.47,1431.93,22.3,0.0,1723.7,0.0,453.13,463.38,400.29,0.0,1859.24,3582.95,1057.97,14.85,17.28,91.85,5.72,0.0,12.83,1527.12,0.0,0.0,0.0,0.0,542.44,1.62,0.17,0.0,5.5,17.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,97.8,97.8,2805.8,2805.8,2903.6,0.6,0.0,14.6,15.2,0.0,389.8,21.4,240.9,652.1,3570.9,144.4,10.4,0.8,0.0,0.0,155.6,582.3,12.9,2.3,816.6,403.2,1103.0,619.1,153.9,1.8,2754.3,3570.9,1234.9,250.0,34.5,102.2,43.3,47.8,12.9,520.1,303.2,100.0,0.0,63.5,473.3,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,95.9,95.9,2899.2,2899.2,2995.1,1.0,0.0,16.0,17.0,0.0,172.5,169.4,167.9,509.8,3521.9,169.8,7.4,20.1,0.0,0.0,197.3,592.3,13.6,0.0,900.8,467.9,993.0,678.4,76.1,4.8,2621.1,3521.9,1208.8,52.7,34.5,166.6,54.1,47.93,8.6,526.2,267.9,200.0,0.0,97.6,400.9,24.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,95.4,95.4,3257.4,3257.4,3352.8,1.5,0.0,20.6,22.1,0.0,226.4,164.3,242.9,633.6,4008.5,219.9,6.1,6.9,0.0,0.0,232.9,599.5,12.8,0.0,1248.8,469.7,958.5,717.1,239.4,92.6,2759.7,4008.5,3157.7,34.9,34.5,116.5,51.3,47.68,8.3,535.4,269.7,200.0,0.0,403.6,282.4,45.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
