Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-06-30,614.58,0.0,614.58,333.09,33.07,-72.59,109.01,35.79,167.52,8.69,31.73,40.42,7.26,33.16,-15.08,18.08,4.95,13.13,13.13,994.6,0.13,0.0
2021-09-30,802.62,0.0,802.62,278.07,87.57,4.74,117.11,37.54,204.27,73.32,60.9,134.22,15.11,119.11,0.0,119.11,27.89,91.22,91.22,994.6,0.92,0.78
2021-12-31,433.28,117.38,550.66,274.83,54.05,-52.49,84.32,5.93,130.24,53.78,55.67,109.45,11.54,97.91,2.61,100.52,13.26,87.26,87.26,1185.91,0.74,0.0
2022-03-31,1127.09,0.0,1127.09,117.69,335.01,90.17,114.86,51.38,287.11,130.87,75.29,206.16,19.64,186.52,0.0,186.52,35.08,151.44,151.44,1185.91,1.28,1.28
2022-06-30,746.47,0.0,746.47,280.13,138.58,6.83,132.84,44.78,254.21,-110.9,106.61,-4.29,20.31,-24.6,0.0,-24.6,-7.48,-17.12,-17.12,1185.91,-0.14,-0.14
2022-09-30,828.87,0.0,828.87,298.6,147.99,-23.1,137.36,47.11,221.19,-0.28,117.7,117.42,28.56,88.86,-6.96,81.9,34.57,47.33,47.33,1193.32,0.4,0.4
2022-12-31,813.29,0.0,813.29,278.85,137.59,-26.36,131.39,47.19,264.55,-19.92,53.88,33.96,33.22,0.74,0.0,0.74,3.16,-2.42,-2.42,1193.32,-0.02,-0.02
2023-03-31,1054.58,0.0,1054.58,308.9,124.53,95.94,146.91,53.01,288.75,36.54,62.88,99.42,33.78,65.64,0.0,65.64,23.94,41.7,41.7,1193.32,0.35,0.35
2023-06-30,846.43,0.0,846.43,326.33,151.75,-65.05,159.05,50.37,257.76,-33.78,26.68,-7.1,33.8,-40.9,0.0,-40.9,-7.54,-33.36,-33.36,1193.32,-0.28,-0.28
2023-09-30,994.24,0.0,994.24,356.76,156.09,-11.59,151.44,50.83,255.38,35.33,89.08,124.41,28.22,96.19,0.0,96.19,19.03,77.16,77.16,1322.95,0.61,0.61
2023-12-31,1024.14,0.0,1024.14,444.94,171.21,-120.72,150.56,51.56,252.62,73.97,33.11,107.08,17.42,89.66,0.0,89.66,15.32,74.34,74.34,1322.95,0.56,0.56
2024-03-31,1525.3,0.0,1525.3,417.52,145.86,135.74,152.88,52.5,283.66,337.14,53.19,390.33,27.66,362.67,0.0,362.67,89.59,273.08,273.08,1322.95,2.06,2.06
2024-06-30,1063.2,0.0,1063.2,405.76,176.44,-132.35,186.96,51.85,274.76,99.78,36.76,136.54,24.88,111.66,0.0,111.66,26.39,85.27,85.27,1322.95,0.64,0.64
2024-09-30,1284.39,0.0,1284.39,380.22,232.81,-71.41,176.72,53.61,313.16,199.28,106.38,305.66,29.95,275.71,0.0,275.71,65.65,210.06,210.06,1323.14,1.59,1.59
2024-12-31,1248.32,0.0,1248.32,474.23,174.42,-117.13,173.55,55.46,323.91,163.88,24.7,188.58,29.17,159.41,0.0,159.41,40.61,118.8,118.8,1323.58,0.9,0.9
2025-03-31,1689.8,0.0,1689.8,336.72,149.93,236.32,198.96,61.17,351.29,355.41,39.51,394.92,30.56,364.36,0.0,364.36,87.09,277.27,277.27,1324.35,2.09,2.09
