Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,780.6,780.6,2483.77,2483.77,3264.37,0.0,14659.3,0.0,0.0,14659.3,440.0,9.02,620.42,1860.95,19784.62,20.68,0.01,3.72,0.0,0.0,24.4,2.29,0.0,26.7,0.0,0.0,76.1,19681.83,0.0,19757.93,19784.62,44.53,0.03,0.0,0.0,0.0,0.0,0.0,0.0,791.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,780.6,780.6,2998.3,2998.3,3778.9,0.0,18718.39,0.0,0.0,18718.39,660.0,15.52,515.23,2210.01,24707.31,24.13,0.02,1.41,0.0,0.0,25.55,1.52,0.0,1444.29,0.0,0.0,485.45,22777.56,0.0,23263.02,24707.31,59.22,0.14,0.0,0.0,1417.22,0.0,0.0,0.0,1019.26,1417.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,780.6,780.6,3417.73,3417.73,4198.33,0.0,23534.21,0.0,0.0,23534.21,505.0,9.98,581.36,2214.55,29947.1,23.73,0.02,40.64,0.0,0.0,64.39,15.42,0.0,1404.8,0.0,0.0,1913.64,26628.65,0.0,28542.29,29947.1,64.52,0.05,0.0,0.0,1324.99,0.0,0.0,0.0,1118.22,1324.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,780.6,780.6,3232.11,3232.11,4012.71,0.0,29702.43,0.0,0.0,30459.37,578.58,43.52,670.95,1748.58,36220.67,55.33,0.04,8.26,0.0,0.0,63.63,17.28,0.0,1275.45,0.0,0.0,2297.27,32647.95,0.0,34945.22,36220.67,110.8,7.75,0.0,0.0,1194.54,0.0,0.0,756.95,455.54,1194.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,858.66,858.66,4509.05,4509.05,5367.71,0.0,33086.21,0.0,0.0,33938.31,1196.58,85.48,1401.09,3643.36,42949.38,70.22,0.04,7.64,0.0,0.0,77.9,35.03,0.0,1260.33,0.0,0.0,1253.04,40436.01,0.0,41689.05,42949.38,631.81,4.44,0.0,0.0,1147.4,0.0,0.0,852.11,960.21,1147.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,858.66,858.66,5331.42,5331.42,6190.08,0.0,43635.96,0.0,0.0,44603.98,1300.0,42.26,2394.45,5173.71,55967.76,56.58,0.05,24.27,0.0,0.0,80.9,11.33,0.0,1097.1,0.0,0.0,1886.04,52984.62,0.0,54870.66,55967.76,1388.98,2.94,0.0,0.0,1004.86,0.0,0.0,968.02,1437.0,1004.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,987.46,987.46,10092.88,10092.88,11080.33,0.0,55318.23,0.0,0.0,55322.32,630.0,59.4,1901.94,4906.94,71309.6,62.77,4.33,22.81,0.0,0.0,89.91,11.46,0.0,1011.23,0.0,0.0,1390.31,68908.06,0.0,70298.37,71309.6,1776.53,5.73,0.0,0.0,909.86,0.0,0.0,4.09,2315.6,909.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,987.46,987.46,11801.16,11801.16,12788.62,0.0,61173.02,0.0,49.76,61222.78,375.0,0.0,11625.58,12501.27,86512.67,62.17,3.08,3.01,0.0,0.0,68.26,12.77,364.18,74441.43,47.16,0.0,2831.89,1200.0,7992.19,12071.24,86512.67,1411.41,82.28,0.0,0.0,789.65,0.0,47.16,0.0,500.69,789.65,73206.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,987.46,987.46,13757.46,13757.46,14744.92,0.0,76553.68,26.19,61.78,76641.65,2500.0,0.0,14502.37,17342.02,108728.59,68.24,2.22,7.92,0.1,0.0,78.48,10.05,247.92,91032.19,47.16,0.0,5311.48,2967.5,9188.38,17514.52,108728.59,4783.44,260.43,0.0,0.0,710.43,0.0,47.16,0.0,339.65,710.43,89985.31,181.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,987.46,987.46,16466.92,16466.92,17454.38,0.0,90960.38,80.25,188.45,91229.08,2480.0,0.0,19116.4,21823.83,130507.29,67.59,3.71,8.75,0.0,0.0,80.05,9.51,130.76,115408.3,47.16,0.0,1484.26,1915.95,11651.62,15098.99,130507.29,1980.25,377.39,0.0,0.0,613.45,0.0,47.16,0.0,227.43,613.45,114574.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
