Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets
2021-03-31,824.69,824.69,378.3,378.3,1202.99,23.88,0.0,2.91,2.91,3236.35,1537.99,4774.34,6004.12,21.58,0.0,80.83,102.41,5430.22,5532.63,159.89,311.6,471.49,6004.12
2022-03-31,859.01,859.01,1118.61,1118.61,1977.62,0.0,0.0,0.53,0.53,5751.84,2317.75,8069.58,10047.73,124.73,0.0,23.77,148.5,9247.36,9395.86,146.52,505.35,651.87,10047.73
2023-03-31,874.02,874.02,1565.14,1565.14,2439.16,0.0,0.0,2.28,2.28,7982.46,3065.66,11048.12,13489.56,159.39,1.22,1.4,162.0,12389.06,12551.06,279.3,659.19,938.49,13489.56
2024-03-31,875.16,875.16,1821.5,1821.5,2696.66,0.0,350.0,22.84,372.84,10186.8,3702.15,13888.95,16958.46,159.24,1.03,2.48,162.75,15407.64,15570.38,356.06,1032.01,1388.07,16958.46
2025-03-31,923.03,923.03,3364.65,3364.65,4287.68,0.0,350.0,26.02,376.02,12904.06,3893.18,16797.24,21460.94,161.56,0.0,0.0,161.56,19464.02,19625.58,239.05,1596.31,1835.36,21460.94
