Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-06-30,133.25,133.25,32.96,31.84,3.37,36.61,28.47,1.53,30.0,0.15,29.85,0.0,29.85,10.73,19.11,19.11,9.54,3.85,3.83
2018-09-30,147.74,147.74,37.89,37.92,3.68,39.11,29.15,4.88,34.03,0.1,33.93,0.0,33.93,13.89,20.05,20.05,10.04,0.0,4.01
2018-12-31,145.79,145.79,33.42,34.23,4.1,40.99,33.05,0.0,33.05,0.08,32.97,0.0,32.97,10.17,22.8,22.8,10.04,4.57,4.57
2019-03-31,154.43,154.43,34.81,32.97,4.28,44.0,38.37,14.26,52.62,0.18,52.44,0.0,52.44,12.94,39.5,39.5,10.04,7.91,7.89
2019-06-30,156.96,156.96,39.48,36.5,6.72,39.8,34.46,0.83,35.29,1.46,33.83,-6.86,26.97,8.65,18.32,18.32,10.04,3.65,3.64
2019-09-30,172.28,172.28,42.66,38.16,7.5,45.18,38.78,0.98,39.76,1.67,38.09,0.0,38.09,6.42,31.68,31.68,10.04,6.31,6.3
2019-12-31,172.91,172.91,42.65,38.06,8.15,44.01,40.04,1.78,41.83,1.84,39.99,0.0,39.99,7.69,32.3,32.3,10.04,6.44,6.42
2020-03-31,163.16,163.16,42.46,34.94,8.48,48.81,28.48,25.72,54.2,1.6,52.6,-17.66,34.94,5.18,29.76,29.76,10.13,5.93,5.9
2020-06-30,110.78,110.78,31.62,36.16,7.63,34.35,1.02,2.37,3.4,1.33,2.07,0.0,2.07,-0.12,2.19,2.19,10.14,0.43,0.43
2020-09-30,242.55,242.55,64.16,38.43,8.73,61.7,69.53,1.83,71.35,1.26,70.09,0.0,70.09,17.73,52.36,52.36,10.19,11.52,11.44
2020-12-31,224.43,224.43,58.97,41.57,8.66,51.88,63.35,2.37,65.71,1.22,64.49,0.0,64.49,15.79,48.7,48.7,10.22,9.56,9.53
2021-03-31,238.36,238.36,57.77,40.68,11.18,59.45,69.28,42.08,111.36,1.97,109.39,0.0,109.39,15.09,94.3,94.3,10.22,18.5,18.4
2021-06-30,264.1,264.1,61.56,46.45,10.56,77.98,67.56,3.28,70.84,5.01,65.83,15.9,81.73,22.21,59.52,59.52,10.23,11.64,11.59
2021-09-30,241.96,241.96,57.45,39.6,11.74,74.73,58.43,3.3,61.73,2.27,59.46,0.0,59.46,14.99,44.47,44.47,10.23,8.7,8.65
2021-12-31,212.24,212.24,45.63,46.33,11.54,72.5,36.23,1.45,37.68,4.22,33.46,0.0,33.46,8.6,24.86,24.86,10.23,4.86,4.84
2022-03-31,217.99,217.99,53.08,44.35,11.95,74.84,33.77,44.49,78.26,5.37,72.88,0.0,72.88,9.77,63.11,63.11,10.23,12.33,12.28
2022-06-30,257.02,257.02,57.29,57.23,20.37,81.47,40.65,2.42,43.08,7.5,35.58,0.0,35.58,7.2,28.38,28.38,10.23,5.54,5.52
2022-09-30,280.06,280.06,64.36,55.27,20.4,85.36,54.66,2.93,57.59,6.92,50.67,0.0,50.67,12.86,37.82,37.82,10.24,7.39,7.36
2022-12-31,264.55,264.55,60.34,58.6,21.95,80.12,43.55,6.79,50.34,5.97,44.38,0.0,44.38,11.55,32.83,32.83,10.24,6.41,6.39
2023-03-31,264.41,264.41,53.55,57.06,22.23,86.07,45.49,9.14,54.63,6.3,48.32,0.0,48.32,8.39,39.93,39.93,10.24,7.8,7.78
2023-06-30,256.29,256.29,52.79,58.47,19.99,86.77,38.28,2.78,41.06,5.83,35.23,0.0,35.23,9.1,26.13,26.13,10.24,5.1,5.09
2023-09-30,285.46,285.46,56.29,64.03,21.37,97.66,46.1,2.01,48.11,5.62,42.49,0.0,42.49,11.21,31.28,31.28,10.24,6.11,6.09
2023-12-31,269.41,269.41,52.13,62.96,24.14,95.49,34.69,5.19,39.88,5.24,34.63,0.0,34.63,7.93,26.7,26.7,10.24,5.21,5.19
2024-03-31,292.27,292.27,59.27,61.13,25.24,97.95,48.68,2.02,50.7,5.65,45.05,0.0,45.05,13.27,31.78,31.78,10.25,6.2,6.18
2024-06-30,286.14,286.14,58.16,64.09,24.76,95.62,43.51,2.83,46.34,4.61,41.72,0.0,41.72,10.44,31.28,31.28,10.25,6.11,6.07
2024-09-30,321.57,321.57,63.56,69.48,26.01,106.51,56.01,3.59,59.6,4.73,54.87,0.0,54.87,12.6,42.26,42.26,10.25,8.24,8.21
2024-12-31,296.88,296.88,58.63,69.72,26.85,103.43,38.25,3.03,41.29,4.49,36.8,0.0,36.8,9.4,27.4,27.4,10.25,5.35,5.32
2025-03-31,311.95,311.95,64.13,68.69,27.28,126.38,25.47,7.6,33.06,4.43,28.64,0.0,28.64,4.78,23.85,23.85,10.36,4.65,4.63
