Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Raw Materials,Capital Goods,Short Term Borrowings,Intangible Assets Under Development,Non-Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools"
2004-03-31,31.14,31.14,17.11,17.11,48.25,0.0,0.0,2.11,17.26,2.96,26.66,46.88,97.23,24.26,0.0,0.27,24.53,0.27,0.0,24.8,0.74,31.53,17.4,22.77,0.0,72.44,97.23,7.63,0.0,23.42,74.21,0.0,0.0,2.11,0.0,11.56,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,31.14,31.14,23.56,23.56,54.69,0.0,0.0,2.71,19.74,6.38,36.48,62.6,120.0,34.77,0.0,1.09,35.86,0.41,0.0,36.27,0.31,41.14,14.11,28.18,0.0,83.74,120.0,6.71,0.0,38.08,108.7,0.0,0.0,2.71,0.0,13.3,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,31.14,31.14,34.8,34.8,65.94,0.0,0.0,4.53,31.52,5.94,38.66,76.12,146.6,32.08,13.21,3.15,48.44,1.06,0.0,49.5,0.14,46.64,14.55,35.77,0.0,97.1,146.6,12.29,0.0,44.3,152.27,0.0,0.0,4.53,0.0,14.62,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,31.14,31.14,61.42,61.42,92.56,0.0,0.0,5.65,34.32,14.41,29.84,78.57,176.78,45.77,17.41,9.47,72.65,1.84,0.0,74.48,0.37,60.18,20.1,21.64,0.0,102.29,176.78,11.47,0.0,57.25,219.63,0.0,0.0,5.65,0.0,10.41,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,31.14,31.14,87.82,87.82,118.96,0.0,0.0,8.17,34.15,10.37,34.44,134.29,261.41,74.54,24.28,1.68,100.5,2.95,0.0,103.73,0.17,104.11,21.2,32.21,0.0,157.68,261.41,15.82,0.0,67.57,291.54,0.0,0.29,8.17,0.0,21.71,16.51,55.33,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,31.14,31.14,120.42,120.42,151.56,0.0,0.0,9.95,34.79,10.17,32.16,90.2,251.7,66.99,30.32,1.06,98.37,5.05,0.0,103.7,0.0,84.58,22.35,41.08,0.0,148.0,251.7,21.02,0.0,85.49,339.72,0.0,0.29,9.95,0.0,10.24,4.15,13.08,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,31.14,31.14,142.84,142.84,173.97,0.0,0.0,10.49,29.59,9.37,32.29,105.22,289.68,62.84,27.18,0.41,90.42,5.27,0.0,95.98,0.06,120.03,13.43,60.18,0.0,193.7,289.68,13.32,0.0,81.84,296.13,0.0,0.29,10.49,0.0,9.01,1.49,33.97,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,31.14,31.14,149.32,149.32,180.46,0.0,6.86,8.36,39.97,18.67,25.52,109.59,298.41,72.71,18.05,4.2,102.6,0.0,0.0,152.78,0.57,104.15,20.22,11.47,9.22,145.63,298.41,22.93,0.0,87.38,321.85,0.0,0.29,1.5,49.9,14.87,4.96,25.43,7.64,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,31.14,31.14,157.93,157.93,189.07,0.0,6.89,10.61,44.67,25.35,26.01,130.18,329.86,76.72,23.15,1.06,110.34,0.0,0.0,161.17,0.02,123.54,23.55,7.04,14.54,168.7,329.86,59.19,0.0,104.24,410.21,0.0,0.29,3.72,50.54,18.65,9.06,34.16,9.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,31.14,31.14,160.71,160.71,191.85,0.0,4.85,9.32,47.11,28.68,19.01,153.31,354.48,72.49,26.65,4.47,120.4,0.0,0.0,175.13,0.31,134.72,20.49,8.09,15.74,179.35,354.48,33.02,0.0,156.56,494.74,0.0,0.29,4.47,54.44,14.65,7.42,58.51,16.79,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
