Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,293.41,0.0,293.41,267.43,-5.95,4.29,0.22,0.0,2.78,24.65,0.01,24.66,0.02,24.64,24.64,6.06,18.58,0.0,18.58,34.89,5.33,5.2,1.22,35.1,2.26,100.0,64.9
2012-12-31,508.56,0.0,508.56,451.62,25.83,4.93,0.23,0.0,1.96,23.99,5.72,29.71,0.01,29.71,29.71,9.62,20.09,0.0,20.09,34.91,5.76,5.62,1.23,35.15,2.26,100.0,64.85
2013-03-31,836.0,0.47,836.47,816.94,-13.58,4.06,0.25,0.0,4.44,24.37,7.23,31.6,0.01,31.59,31.59,10.66,20.93,0.0,20.93,34.91,6.0,5.88,1.23,35.15,2.26,100.0,64.85
2013-06-30,33.24,0.0,33.24,0.0,0.0,5.71,0.31,0.0,3.25,23.97,1.65,25.62,0.04,25.58,25.58,8.81,16.77,0.0,16.77,34.96,4.81,4.7,1.12,31.96,2.38,100.0,68.04
2013-09-30,38.44,0.23,38.67,0.0,0.0,5.7,0.57,0.0,3.53,28.87,1.66,30.53,0.02,30.51,30.51,10.58,19.93,-0.01,19.92,34.96,5.7,5.57,1.11,31.89,2.38,100.0,68.11
2014-03-31,39.4,6.11,45.51,0.0,0.0,5.15,0.78,0.0,2.61,36.97,1.47,38.44,1.2,37.24,37.24,11.03,26.2,0.0,26.2,34.98,7.5,7.49,1.06,30.31,2.44,100.0,69.69
2014-06-30,42.65,0.6,43.25,0.0,0.0,6.12,0.91,0.0,2.94,33.28,1.42,34.71,0.37,34.34,34.34,11.93,22.41,0.0,22.41,35.01,6.4,6.4,0.91,26.04,2.59,100.0,73.96
2014-09-30,50.71,5.12,55.83,0.0,0.0,5.98,0.9,0.0,10.74,38.21,0.04,38.25,0.74,37.51,37.51,14.19,23.32,0.0,23.32,35.01,6.66,6.66,0.91,26.04,2.59,100.0,73.96
2014-12-31,42.77,1.38,44.15,0.0,0.0,6.49,0.84,0.0,3.75,33.07,0.04,33.11,1.6,31.51,31.51,11.1,20.41,0.0,20.41,35.03,5.83,5.83,0.91,26.08,2.59,100.0,73.92
2015-03-31,43.6,6.72,50.32,0.0,0.0,7.4,0.94,0.0,8.62,33.36,1.1,34.46,1.94,32.52,32.52,13.48,19.04,0.0,19.04,35.03,5.45,5.45,0.91,26.08,2.59,100.0,73.92
