Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,41.25,3.21,44.46,0.0,0.0,7.2,0.7,0.0,1.98,34.58,0.04,34.62,1.71,32.91,32.91,11.21,21.7,0.0,21.7,35.03,6.2,6.2,0.91,26.08,2.59,100.0,73.92
2015-09-30,46.37,5.51,51.88,0.0,0.0,7.76,0.73,0.0,11.07,32.32,0.04,32.36,1.55,30.8,30.8,10.94,19.87,0.0,19.87,35.03,5.67,5.67,0.91,26.08,2.59,100.0,73.92
2015-12-31,34.95,6.46,41.41,0.0,0.0,8.11,0.83,0.0,34.07,-1.59,0.04,-1.55,4.07,-5.62,-5.62,-5.14,-0.48,0.0,-0.48,35.03,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2016-03-31,44.41,3.55,47.96,0.0,0.0,9.3,1.06,0.0,39.81,-2.2,0.04,-2.16,4.0,-6.16,-6.16,-2.51,-3.65,3.64,0.0,35.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,47.2,1.36,48.56,0.0,0.0,11.17,0.87,0.0,7.99,28.54,0.89,29.43,4.08,25.34,25.34,9.39,15.95,0.0,15.95,35.03,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2016-09-30,51.83,6.37,58.2,0.0,0.0,12.54,0.94,0.0,10.0,34.71,0.04,34.75,7.42,27.33,27.33,10.11,17.23,0.0,17.23,35.03,4.92,4.92,0.0,0.0,0.0,0.0,0.0
2016-12-31,53.17,3.49,56.66,0.0,0.0,13.83,1.02,0.0,10.26,31.55,0.01,31.56,10.46,21.1,21.1,8.4,12.7,0.0,12.7,35.03,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2017-03-31,61.07,0.0,61.07,0.0,0.0,15.25,1.36,0.0,13.27,31.18,6.24,37.42,16.0,21.42,21.42,9.52,11.91,0.0,11.91,35.03,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2017-06-30,69.46,0.0,69.46,0.0,0.0,16.55,1.33,0.0,9.98,41.6,0.1,41.7,20.7,21.01,21.01,7.52,13.48,0.0,13.48,35.03,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2017-09-30,80.63,0.0,80.63,0.0,0.0,15.9,1.39,0.0,9.06,54.29,2.58,56.87,21.61,35.27,35.27,9.43,25.84,0.0,25.84,35.03,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2017-12-31,90.7,0.0,90.7,0.0,0.0,17.16,1.49,0.0,13.07,58.98,6.44,65.42,25.88,39.54,39.54,10.36,29.18,0.0,29.18,35.03,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2018-03-31,101.84,0.0,101.84,0.0,0.0,20.91,1.5,0.0,20.83,58.6,9.49,68.09,31.0,37.09,37.09,11.6,25.5,0.0,25.5,35.03,1.46,1.45,0.0,0.0,0.0,0.0,0.0
2018-06-30,102.07,0.0,102.07,0.0,0.0,25.26,1.41,1.02,7.18,67.2,5.48,72.68,35.41,37.27,37.27,10.31,26.96,0.0,26.96,35.03,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2018-09-30,111.42,0.0,111.42,0.0,0.0,22.8,1.4,0.0,16.04,71.18,6.54,77.72,39.82,37.9,37.9,11.59,26.31,0.0,26.31,35.03,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2018-12-31,130.81,0.0,130.81,0.0,0.0,25.54,0.91,4.48,12.4,87.48,3.9,91.38,46.54,44.83,44.83,11.73,33.1,0.0,33.1,35.03,1.89,1.88,0.0,0.0,0.0,0.0,0.0
2019-03-31,134.01,9.61,143.61,0.0,0.0,23.83,1.16,0.27,13.51,104.85,0.64,105.49,48.12,57.38,57.38,15.07,42.31,0.0,42.31,35.03,2.42,2.4,0.0,0.0,0.0,0.0,0.0
2019-06-30,135.12,4.03,139.14,0.0,0.0,27.89,2.03,3.72,7.92,97.59,2.75,100.34,53.79,46.55,46.55,14.1,32.44,0.0,32.44,35.03,1.85,1.84,0.0,0.0,0.0,0.0,0.0
2019-09-30,147.12,0.0,147.12,0.0,0.0,24.96,2.07,0.0,16.93,103.16,0.25,103.4,54.85,48.55,48.55,14.38,34.17,0.0,34.17,35.03,1.95,1.94,0.0,0.0,0.0,0.0,0.0
2019-12-31,141.9,4.65,146.55,0.0,0.0,22.71,2.17,5.24,9.48,106.95,0.59,107.54,54.28,53.26,53.26,13.03,40.23,0.0,40.23,35.03,2.3,2.28,0.0,0.0,0.0,0.0,0.0
2020-03-31,136.72,8.7,145.42,0.0,0.0,22.03,2.21,13.52,13.7,93.96,0.35,94.31,53.05,41.26,41.26,12.38,28.88,0.0,28.88,35.03,1.65,1.64,0.0,0.0,0.0,0.0,0.0
2020-06-30,137.19,0.22,137.41,0.0,0.0,14.47,1.87,16.6,5.84,98.63,0.33,98.96,52.19,46.77,46.77,11.78,35.0,0.0,35.0,35.03,2.0,1.99,0.0,0.0,0.0,0.0,0.0
2020-09-30,140.91,5.75,146.67,0.0,0.0,19.69,1.95,0.15,6.66,118.22,0.36,118.58,48.76,69.83,69.83,17.94,51.89,0.0,51.89,35.03,2.96,2.94,0.0,0.0,0.0,0.0,0.0
2020-12-31,142.84,5.66,148.49,0.0,0.0,21.88,1.93,9.11,10.08,105.49,0.72,106.21,52.63,53.58,53.58,13.77,39.81,0.0,39.81,35.06,2.27,2.26,0.0,0.0,0.0,0.0,0.0
2021-03-31,132.62,9.15,141.76,0.0,0.0,26.54,2.78,20.41,14.63,77.4,0.31,77.71,54.94,22.77,22.77,5.94,16.83,0.0,16.83,35.06,0.96,0.95,0.0,0.0,0.0,0.0,0.0
2021-06-30,153.18,3.12,156.3,0.0,0.0,27.91,1.67,7.95,12.55,106.22,0.38,106.6,55.95,50.65,50.65,12.78,37.87,0.0,37.87,35.06,2.16,2.14,0.0,0.0,0.0,0.0,0.0
2021-09-30,158.71,8.76,167.47,0.0,0.0,37.11,0.74,6.46,12.71,110.44,3.32,113.77,57.13,56.63,56.63,15.18,41.45,0.0,41.45,35.07,2.36,2.34,0.0,0.0,0.0,0.0,0.0
2021-12-31,177.3,15.25,192.55,0.0,0.0,36.57,2.04,17.61,16.19,120.15,3.17,123.32,57.87,65.45,65.45,16.93,48.51,0.0,48.51,35.12,2.76,2.74,0.0,0.0,0.0,0.0,0.0
2022-03-31,222.89,6.78,229.67,0.0,0.0,49.86,2.86,42.57,26.73,107.66,0.99,108.65,64.45,44.2,44.2,10.15,34.05,0.0,34.05,35.13,1.94,1.92,0.0,0.0,0.0,0.0,0.0
2022-06-30,212.12,5.05,217.17,0.0,0.0,59.52,2.57,18.95,18.18,117.96,0.81,118.77,72.12,46.65,46.65,12.06,34.59,0.0,34.59,35.15,1.97,1.95,0.0,0.0,0.0,0.0,0.0
2022-09-30,262.15,6.93,269.08,0.0,0.0,82.15,5.77,-0.17,32.6,148.73,1.91,150.65,89.3,61.34,61.34,20.51,40.83,0.0,40.83,35.15,2.32,2.3,0.0,0.0,0.0,0.0,0.0
2022-12-31,294.28,6.96,301.24,0.0,0.0,104.01,13.12,21.89,39.47,122.77,1.05,123.81,100.2,23.61,23.61,5.81,17.8,0.0,17.8,35.17,1.01,1.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,346.39,10.14,356.53,0.0,0.0,109.35,17.52,7.06,44.06,178.54,1.26,179.8,121.51,58.29,58.29,9.97,48.31,0.0,48.31,41.23,2.61,2.58,0.0,0.0,0.0,0.0,0.0
2023-06-30,386.02,6.47,392.48,0.0,0.0,124.33,13.84,17.49,49.86,186.97,1.08,188.05,130.64,57.4,57.4,14.46,42.95,0.0,42.95,41.23,2.08,2.06,0.0,0.0,0.0,0.0,0.0
2023-09-30,431.56,12.44,444.0,0.0,0.0,120.5,21.22,15.53,78.13,208.63,1.1,209.73,146.12,63.61,63.61,15.9,47.72,0.0,47.72,41.23,2.31,2.3,0.0,0.0,0.0,0.0,0.0
2023-12-31,466.87,9.18,476.05,0.0,0.0,122.13,23.22,31.15,67.7,231.86,1.28,233.15,165.07,68.08,68.08,16.77,51.31,0.0,51.31,41.25,2.49,2.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,453.28,11.53,464.81,0.0,0.0,135.1,21.75,4.07,54.78,249.12,1.49,250.61,177.74,72.87,72.87,16.78,56.09,0.0,56.09,82.49,0.68,0.67,0.0,0.0,0.0,0.0,0.0
2024-06-30,513.88,8.72,522.6,0.0,0.0,126.85,19.28,38.46,61.15,276.86,2.95,279.81,197.28,82.53,82.53,20.32,62.22,0.0,62.22,82.49,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2024-09-30,543.86,10.32,554.18,0.0,0.0,122.74,21.07,12.38,52.32,345.67,3.7,349.37,234.48,114.89,114.89,28.62,86.27,0.0,86.27,82.49,1.05,1.04,0.0,0.0,0.0,0.0,0.0
2024-12-31,590.78,9.98,600.76,0.0,0.0,130.2,21.63,12.81,45.43,390.7,3.54,394.24,250.13,144.11,144.11,35.99,108.12,0.0,108.12,82.51,1.31,1.3,0.0,0.0,0.0,0.0,0.0
2025-03-31,698.7,33.85,732.55,0.0,0.0,157.79,24.32,22.34,48.32,479.78,3.22,483.0,272.31,210.69,210.69,52.4,158.29,0.0,158.29,82.51,1.92,1.91,0.0,0.0,0.0,0.0,0.0
