Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Deferred Tax Liabilities [Net],Inventories,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,5.0,5.0,0.09,0.09,0.0,5.09,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.06,5.16,0.07,0.0,0.0,0.0,0.07,0.0,0.01,0.09,0.0,0.1,0.43,4.05,0.0,5.07,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.02,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.0,5.0,0.15,0.15,0.0,5.15,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,5.17,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.29,3.96,0.36,5.08,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.0,5.0,0.15,0.15,0.0,5.15,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,5.18,0.08,0.0,0.0,0.0,0.08,0.01,0.0,0.09,0.0,0.0,0.06,3.85,0.29,5.1,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,5.0,5.0,0.17,0.17,0.0,5.17,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,5.2,0.08,0.0,0.0,0.0,0.08,0.01,0.0,0.09,0.0,0.03,0.18,2.41,0.25,5.12,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.0,9.0,20.43,20.43,0.0,29.43,0.0,0.0,0.0,0.0,60.0,0.0,0.0,62.18,91.62,0.02,0.0,0.0,0.0,0.02,0.0,0.22,13.44,0.0,0.0,2.1,52.27,13.8,78.18,91.62,0.0,0.0,0.0,0.0,13.2,0.0,2.18,13.2,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,27.0,27.0,121.88,121.88,0.0,148.88,21.75,0.0,0.0,21.78,0.0,0.33,1.87,56.98,227.64,0.91,0.0,0.0,0.0,0.91,0.0,0.28,31.69,0.0,13.53,89.24,68.15,0.0,195.95,227.64,0.0,0.0,0.0,0.0,30.5,0.0,54.78,30.5,0.0,0.0,0.03,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,27.75,27.75,236.4,236.4,0.0,264.15,0.0,0.0,0.0,0.0,0.0,5.68,2.96,122.47,387.38,1.84,0.0,0.0,0.0,1.84,0.04,0.0,40.43,0.0,6.47,25.88,193.58,0.0,346.95,387.38,20.05,0.0,0.0,0.0,38.55,0.0,113.83,38.55,0.0,0.0,0.0,121.01,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,34.87,34.87,739.64,739.64,0.0,774.51,0.0,0.0,0.12,0.12,0.14,0.0,0.43,4.39,779.03,3.35,0.1,0.0,0.0,3.45,24.5,1.38,137.94,40.0,3.07,183.61,167.26,2.83,641.09,779.03,0.79,0.76,0.0,0.0,56.49,40.0,3.82,56.49,52.12,0.0,0.01,244.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,34.89,34.89,774.71,774.71,0.0,809.6,0.0,0.0,0.13,0.16,0.0,0.0,1.66,15.05,824.8,3.76,0.09,0.0,0.0,3.84,5.12,3.07,268.67,0.0,2.38,166.96,199.38,3.12,556.13,824.8,0.89,0.0,0.0,0.0,56.49,0.0,13.38,56.49,200.14,0.0,0.02,184.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,34.91,34.91,842.97,842.97,0.0,878.34,0.0,1.45,0.0,1.45,0.0,0.36,0.62,12.1,891.89,4.28,0.22,0.0,0.0,4.5,0.03,0.12,338.91,0.0,39.4,139.1,123.08,13.16,552.98,891.89,14.51,0.18,0.0,31.24,37.7,0.0,11.12,57.62,276.64,0.46,0.0,238.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
