Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Deferred Tax Liabilities [Net],Inventories,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,34.98,34.98,919.02,919.02,0.0,954.3,0.0,3.4,0.0,3.69,0.0,0.6,0.55,12.22,970.21,4.18,7.03,0.0,0.0,11.21,0.0,0.16,561.74,0.0,7.86,16.88,219.9,5.82,408.47,970.21,58.09,0.15,0.0,0.0,37.7,0.0,11.07,37.7,512.67,0.3,0.29,158.02,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,35.03,35.03,998.11,998.11,0.0,1033.14,37.5,3.45,0.0,40.95,0.0,0.9,46.1,58.43,1132.52,2.73,5.37,0.0,0.0,8.1,0.22,17.13,668.81,89.27,26.0,29.41,288.17,7.32,463.71,1132.52,85.57,0.15,0.0,0.0,37.7,89.27,11.44,37.7,605.66,0.0,0.0,23.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,35.03,35.03,1051.0,1051.0,0.0,1086.03,101.68,2.38,0.0,104.07,11.56,1.16,89.84,113.79,1303.88,4.03,3.7,0.0,0.0,7.73,0.39,0.18,972.68,82.5,8.12,16.44,158.31,65.84,331.2,1303.88,258.55,0.26,0.0,19.39,25.05,82.5,11.23,40.27,924.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,35.03,35.03,1108.78,1108.78,0.0,1143.81,500.83,1.64,16.62,519.09,78.14,8.74,210.46,301.71,1964.62,10.12,2.32,0.27,0.0,12.71,0.87,0.0,1635.39,40.0,0.73,9.92,257.33,21.25,329.23,1964.62,18.01,0.47,0.0,35.21,25.56,40.0,4.38,40.78,1581.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,35.03,35.03,1192.1,1192.1,0.0,1227.13,247.62,7.21,5.73,260.56,1209.89,11.58,79.88,1301.35,2789.04,9.68,2.06,0.0,0.0,11.73,14.94,30.9,57.57,133.79,0.58,35.67,2559.85,1.58,2731.47,2789.04,84.63,0.44,0.0,0.0,0.0,133.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,35.03,35.03,1313.38,1313.38,3.06,1351.47,49.95,4.0,6.74,60.7,2042.38,10.85,66.45,2119.69,3531.85,8.4,1.71,0.0,0.08,10.19,19.14,27.58,56.92,187.51,4.55,34.98,3246.27,1.62,3474.94,3531.85,730.08,0.78,0.0,0.0,0.0,178.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,35.03,35.03,1441.8,1441.8,5.79,1482.62,150.0,12.49,7.37,169.86,1912.3,10.22,28.55,1951.07,3603.55,6.38,22.61,0.0,0.2,29.18,12.01,25.09,66.29,423.64,1.77,54.57,3055.67,1.62,3537.26,3603.55,573.23,0.97,0.0,0.0,0.0,423.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,35.06,35.06,1584.33,1584.33,7.88,1627.27,649.28,10.2,10.31,669.79,1963.88,10.19,239.7,2213.77,4510.83,5.91,18.59,0.0,0.07,24.57,21.31,23.42,69.29,701.92,1.56,163.89,3564.21,9.97,4441.54,4510.83,704.88,0.16,0.0,0.0,0.0,701.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,35.13,35.13,1743.82,1743.82,10.51,1789.45,433.09,10.12,13.55,456.76,2917.46,33.42,246.91,3197.79,5444.01,25.34,2.03,0.0,1.24,28.61,29.32,42.25,100.18,644.17,8.16,92.7,4577.09,21.7,5343.82,5444.01,1069.33,0.15,0.0,0.0,0.0,83.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,41.23,41.23,3303.94,3303.94,25.35,3370.51,438.61,11.77,17.69,468.07,4949.77,95.14,408.93,5453.84,9292.42,265.77,5.39,2.52,7.37,281.05,36.51,124.81,442.37,359.95,32.14,1458.21,6929.22,70.53,8850.06,9292.42,1267.8,1.44,0.0,0.0,0.0,359.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,82.49,82.49,3446.77,3446.77,31.44,3560.7,0.0,18.56,20.0,38.56,7110.65,99.37,306.94,7516.95,11116.21,299.49,19.73,0.08,9.04,328.35,56.49,112.56,497.39,581.56,103.26,228.84,9623.28,81.88,10618.81,11116.21,1749.45,1.29,41.25,0.0,0.0,581.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,82.51,82.51,3882.33,3882.33,0.0,3964.84,0.0,57.18,31.7,88.88,11764.6,92.15,489.21,12345.96,16399.68,280.83,26.64,0.12,0.0,307.58,70.7,108.35,486.63,699.43,47.83,1260.06,13789.51,116.22,15913.05,16399.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
